::SedmidubskyBDZ08 ::22850545 
::15310225abs ::Bouganim 
::compcon ::Bloom 
::Amir ::22851084abs 
::1160 ::Zhuge 
::KahveciS01 ::Cheong 
::Mehr ::Cal 
::Shantanu ::1456 
::Murat ::Y 
::Barton ::Matt 
::Eunus ::HeinzKRS08 
::ZhouOT05 ::SmithC96 
::4497467 ::Fixed 
::FernandezS98 ::German 
::Telecommunications ::GeZ08 
::Renner01 ::295 
::Allocation ::comp 
::Amir ::Vaisman 
::Marinoiu ::Coordinated 
::Using ::KlemettinenMRTV94 
::Dialect ::Till 
::Victor ::Theoni 
::PreparataS85 ::Baxter 
::Traffic ::Easy 
::Korolova ::Mumtaz 
::Assuring ::Filippo 
::Ontology ::212 
::1506 ::Verifying 
::AutoLag ::Tetsuya 
::KamathR98 ::LakshmananSGK98 
::566 ::Nicole 
::15310485 ::4497465 
::Interesting ::Emmanuel 
::MD ::Shasha 
::Jrg ::HardwickSRM97 
::CeriW91 ::Miller95 
::constrained ::WhiteDJ96 
::Wisnesky ::MannilaR87 
::Kinji ::Mariano 
::Salvatore ::Levandoski 
::LiBRHCN05 ::Csar 
::Sashikanth ::267 
::22850417abs ::4497507 
::Mason ::348 
::Transformations ::Bayardo 
::Dadam ::PreparataS85 
::Koki ::1349 
::ONeilG95 ::RamanathZFH05 
::Light ::McCann 
::155 ::Cong 
::1120 ::557 
::Tsumura ::155 
::Rosy ::Kanamori 
::4497606 ::Marc 
::Matching ::260 
::Folding ::Polynomial 
::toms ::Revisited 
::System ::Relations 
::4497570 ::Nassima 
::ChenR94a ::MaierS86 
::Huan ::Pontieri 
::Petko ::Verification 
::1287 ::Explicit 
::Factorization ::Rys01 
::4497579 ::4497431 
::716 ::P192 
::TanizakiMS05 ::Warping 
::Vijayshankar ::Ixent 
::sigir ::Manikutty 
::155 ::MED 
::JefferyAFHW06 ::1316 
::Schenkel ::GongYQZ05 
::Topsakal ::Liu96 
::1397 ::15310225abs 
::designed ::Block 
::Hailong ::To 
::Kishan ::Ilyas 
::445 ::932 
::usenix ::JinXDW02 
::Anh ::4497416 
::Koudas ::Outsourced 
::New ::336 
::IoannidisP95 ::Sweeney 
::PopekK79 ::Matt 
::4497562 ::PetitTBK96 
::P550 ::XuLXM06 
::1379 ::HwangC05 
::SizovSTW02 ::NAPA 
::1450 ::15310166abs 
::Heerde ::Times 
::AbulBN08 ::Furche 
::Dan ::Schroeder 
::Paradigm ::Developed 
::Sequences ::P601 
::Nambiar ::1426 
::ieeecomputersociety ::4497487 
::1082 ::Nakhe 
::864 ::CareyD96 
::1454 ::GyllstromADI08 
::Samaras ::22851140 
::Towards ::Captivity 
::Marinoiu ::Mahajan 
::Mapping ::22850106abs 
::PapakonstantinouGGU95 ::ChenDER05 
::Cunningham ::HuangSW94 
::Scale ::Essence 
::BunemanDS95 ::Chitta 
::cacm ::AmzaCZ05 
::SistlaW95 ::Replica 
::Dinesh ::Processes 
::between ::1337 
::4497584 ::Practical 
::Representing ::Navigation 
::Rajagopalan ::Evimaria 
::71 ::Replication 
::123 ::Kashyap 
::Federations ::Songyun 
::SistlaYV97 ::Fukuda 
::P076 ::BancilhonDK92 
::Multi ::ChengDNPKWAAFSSS97 
::MehrotraG93 ::74 
::Srilekha ::Hsu95 
::Cunningham ::Sequences 
::XinH08 ::Moon 
::Jiawei ::Neighborhood 
::Dirk ::Ferlez 
::1516 ::Projected 
::ZhouOT05 ::Photos 
::CoT ::Juliana 
::IR ::Mirek 
::Zheng ::583 
::GukalOR96 ::Bar 
::Victor ::Stonebraker94 
::Jindan ::Elhadji 
::tkde ::336 
::Rebecca ::ChangMZS98 
::Source ::Perrin90 
::Qigang ::362 
::ShalemB08 ::ChenDYR08 
::Sashikanth ::P220 
::good ::1461 
::X05q ::Haas 
::Mylopoulos ::4497469 
::Auctions ::Nakhe 
::Sandeep ::433 
::AcharyaGJKST08 ::GhaffarA97 
::Chiew ::ChenC08 
::Smriti ::LevyMSS95 
::Masahiko ::Declustering 
::Captivity ::Balakrishnan 
::Record ::1258 
::Managed ::Goldin 
::Gencai ::Improving 
::Integrating ::WangZZ06 
::P494 ::1102 
::Convertible ::BouganimFPV01 
::Duplicates ::75 
::ONeilQ97 ::ZhouP08 
::X06a ::Grabs 
::4497420 ::243 
::Nasi ::4497537 
::MotwaniNT08 ::Kit 
::4497516 ::15310081abs 
::Jin ::Xiong 
::AssfalgKKKPR08 ::Raghavan 
::Workflows ::Trombetta 
::415 ::912 
::Commutative ::Ann 
::Zeiss ::NgH94 
::Venkataraman ::AntovaJKO08 
::Checkpoint ::982 
::Serap ::FlescaFG02 
::Wichterich ::4497404 
::4497453 ::Asl 
::Guy ::Bates 
::Krishnapuram ::Russakovsky 
::22850916abs ::cj 
::edbt ::Chengyu 
::Interpreted ::Lochovsky 
::244 ::440 
::Levy ::Clifton 
::Twee ::Stream 
::Vetle ::Vijayshankar 
::MohanHLPS92 ::CoT 
::1507 ::mms 
::Farfn ::Fang 
::Bulk ::22850878abs 
::Brenninkmeijer ::Delcambre 
::Hadjieleftheriou ::1286 
::Arnon ::Saikat 
::Gudes ::Lychagin 
::Mumick ::Rezgui 
::Rost ::Basit 
::Pawel ::Strict 
::Gattu ::Dan 
::Christian ::276 
::Liqin ::PietzuchLSRWS06 
::Huaiyu ::BirdCDLZ06 
::Mendez ::4497473 
::ZhaoIG08 ::Inference 
::Simple ::Yoon 
::15310282 ::WilkinsonN90 
::Meng ::Hambrusch 
::734 ::Click 
::Trial ::Timos 
::914825 ::dood 
::Mathew ::Tim 
::477 ::Meta 
::Pekka ::Media 
::XiongMA05 ::15310453 
::283 ::Songyun 
::Revision ::BlumrichLADFS94 
::Nicoleta ::Mirette 
::Practice ::1424 
::Sequence ::XiongMA05 
::Correction ::TaniguchiS05 
::Haas ::Kementsietsidis 
::IP ::GionisMT05 
::Hanson87 ::Rule 
::426 ::Masato 
::Generation ::MIC 
::spieSR ::AhmadABM08 
::Shape ::148 
::300 ::Novel 
::15310463abs ::Ceri 
::4497568 ::493 
::Rajamani ::Five 
::4497594 ::Postgres 
::P503 ::Flow 
::1361 ::YangW01 
::Matthew ::Laks 
::4497563 ::KhalifaJPWKS02 
::15310335 ::Ma 
::acr ::Muthukrishnan 
::Haojun ::Uchiyama 
::Shaull ::Updates 
::Rosaci ::1358 
::Olu ::Tanin 
::BernsteinGW93 ::Boualem 
::Anti ::It 
::AlexanderR06 ::57 
::Consistent ::22851135 
::Schmidt ::CarminatiFB05 
::Dayal ::Gting 
::443 ::Citizens 
::Morzy93 ::Profiles 
::Thakkar ::Damdinsuren 
::ZhouZVQ08 ::Commodity 
::Yiheng ::Bentley75 
::Sourav ::22850131abs 
::Munagala ::About 
::Using ::Maxim 
::P268 ::Olteanu 
::Nrvg ::4497410 
::Taniguchi ::4 
::Kit ::DeWittKLPY94 
::22851145abs ::Chendong 
::Anastassia ::162 
::Stabbing ::19 
::Security ::Daudjee 
::AutoLag ::Kien 
::Haiyan ::Snodgrass87 
::10010661abs ::Erik 
::Webs ::Modern 
::695 ::KaushikSBG02 
::Papaemmanouil ::Farnoush 
::4497573 ::DaynesC01 
::DakkaI08 ::GoldsteinRS98 
::Hieu ::WangY02 
::l ::ShrivastavaMR08 
::Marinoiu ::Weaver 
::Vinayak ::Next 
::Songyun ::About 
::GriffinL95 ::ConsensRV08 
::AraiDGK06 ::Leymann98 
::WongA85 ::Bosworth 
::Warehouses ::V 
::Commodity ::22851141 
::Maarten ::MukherjeeRS05 
::DesphandeGMH05 ::PnP 
::Bowers ::StonebrakerADLO94 
::LeFevre ::CarterBZ95 
::Cornelius ::Yongluan 
::Propagation ::914823 
::P094 ::22850217abs 
::P402 ::Va 
::914841 ::WachterR92 
::LaiTB05 ::Kunath 
::Scene ::Rys 
::Cattell94 ::Cart 
::StonebrakerADLO94 ::HeLC05 
::Zhiyong ::Metric 
::CORBA ::Seung 
::Navigation ::15310212abs 
::Grouping ::Tien 
::Jianjun ::BayerM72 
::Lomet92 ::Checker 
::Kotagiri ::BunemanDS95 
::Bundles ::Katayama 
::AgarwalADGNRS96 ::Principled 
::Rosy ::icde 
::Cal ::FischerK05 
::Dimitrios ::LiuC08 
::Gertz ::Andrea 
::X05q ::Orlando 
::Ramy ::Riemenschneider 
::WangM05 ::Rakesh 
::Subhash ::Clifton 
::Stanley ::Cochinwala 
::1623 ::Phrase 
::Assurance ::Frequent 
::PopekK79 ::Cecilia 
::4497635 ::Annita 
::CormodeIKM02 ::15310064abs 
::Weifeng ::Queues 
::Maxim ::Bishwaranjan 
::285 ::Faloutsos 
::Estimation ::Subbarao 
::Graphitti ::914811 
::22850576 ::Rsch 
::4497506 ::rules 
::Ong ::235 
::Error ::101 
::Ali ::Variable 
::HeLC05 ::Pennekanti01 
::AutoLag ::Jos 
::4497494 ::Mu 
::Michalis ::Minh 
::370 ::YiuM06 
::Cluster ::BoberC92 
::Driven ::Deshpande 
::Wiederhold ::Tan 
::765 ::Big 
::Anup ::Alejandro 
::General ::Outliers 
::ChaudhuriKPS95 ::Jonathan 
::497 ::Lin 
::h ::db 
::Siersdorfer ::Stephan 
::4497476 ::SilbersteinBEMY06 
::Click ::Agrawal 
::LindsayHM86 ::Zhiyong 
::Coskun ::French 
::459 ::1408 
::4497488 ::939 
::Volumes ::Accuracy 
::Gil ::Tobias 
::1139 ::AnciauxBHPA08 
::Querying ::BaralisCMPRR97 
::Widom ::Evaggelia 
::4497549 ::XSEED 
::Tan ::Ziarko91 
::P602 ::NguyenD08 
::NgR95 ::Transcoding 
::Customer ::Kun 
::Papapetrou ::FAST 
::445 ::LeslieJBY95 
::Berners ::Johann 
::4497398 ::Tania 
::4497544 ::Hoare69 
::Boris ::Early 
::Thu ::Ramamirtham 
::Lois ::Yuqing 
::Durmaz ::Sujeet 
::Sriram ::Balazinska 
::Scheduling ::Markos 
::Computation ::Imran 
::ijcai ::Analytical 
::Phrase ::Chen05 
::Fung ::ChaudhuriDK06 
::1473 ::Surajit 
::Mumtaz ::KanagalD08 
::4 ::crossref 
::Lynch83 ::Integrate 
::Shurug ::BerchtoldBKK97 
::CORBA ::Kapantaidakis 
::RamanSQRDKNS08 ::Jrgen 
::Anish ::Elmagarmid 
::Optimizer ::KellerB96 
::MIX ::KeCN06 
::M ::Semantics 
::Savasere ::Campi 
::Hanson87 ::Muhammad 
::Multicast ::Chung 
::Bamieh ::Kumar05 
::NabeelB08 ::501 
::KoudasS05 ::Ayad 
::ChangM88 ::Preaggregation 
::Java ::Edmunds 
::designed ::Integratio 
::MalkemusPBC05 ::Availability 
::KhoussainovaBS08 ::Soo 
::Structural ::Bttcher 
::0 ::4497452 
::Trial ::Lei 
::K ::22850516abs 
::Clusterin ::Sanjay 
::HeXYY05 ::Inseok 
::228 ::Demonstration 
::RX ::Ippokratis 
::AdaliCCES96 ::Iman 
::767 ::SPARK 
::Philipp ::741 
::4497486 ::Autonomy 
::Yasin ::Govindan 
::Toolsuite ::1110 
::1084 ::Ranking 
::Commerce ::827 
::Designing ::22851106 
::667 ::ChawatheAW98 
::FaloutsosRM94 ::1584 
::Jabeen ::OrjiS93 
::Toivonen ::Heinlein 
::393 ::535 
::Usama ::Edison 
::Hibino ::Commit 
::Kristian ::BrunoGM02 
::Gawlick ::Collections 
::KhalifaJPWKS02 ::Market 
::1439 ::Gertz 
::191 ::574 
::22850779abs ::Approximately 
::Mining ::WangBTD08 
::P514 ::Salt 
::Kien ::Barton 
::Predicate ::Zhiyong 
::22851102abs ::Mukesh 
::10010215abs ::Bonnet 
::Yaping ::465 
::Shen ::262 
::Nithya ::AgrawalH05 
::22850174abs ::EffelsbergH84 
::ChuK89 ::ChengDNPKWAAFSSS97 
::1334 ::914847 
::SilbersteinBY06 ::Bhalotia 
::Neighbor ::4497515 
::Wenxin ::914854 
::2 ::914843 
::RajaramanSU95 ::Il 
::914867 ::AgrawalCGMM08 
::4497573 ::Myoung 
::Theory ::Speeds 
::Exactly ::Local 
::22850298abs ::BunemanDHS96 
::P334 ::55 
::Jiawei ::Xiong 
::Encoded ::22850190 
::Mauricio ::Wiederhold93 
::Unsafe ::Joon 
::4497576 ::Greene89 
::Dependable ::Multicast 
::Selectivity ::LangOS96 
::Constantly ::P316 
::Wrapper ::PitouraT08 
::Fabian ::Probabilistic 
::Leo ::WuDY06 
::215 ::706 
::231 ::good 
::Saydean ::631 
::won ::Edmunds 
::Natural ::streams 
::Cordova ::466 
::70 ::Sample 
::Approach ::sosp 
::22 ::lisa 
::Draper ::4497617 
::Gounaris ::Terzis 
::Susan ::Powerful 
::15310005abs ::Enumeration 
::P568 ::Omar 
::P066 ::Sivasubramaniam 
::Murali ::GukalOR96 
::Kambhampati ::Nagavamsi 
::Vectors ::Zhou 
::498 ::McKenna 
::Historical ::Fingertips 
::763 ::Loosely 
::ADT ::Feifei 
::4497473 ::4497605 
::Databases ::Weining 
::Acharya ::Sketch 
::RamamrithamSSTX96 ::4497501 
::Ning ::IshikawaKOYKK98 
::15310129abs ::DuKS92 
::Chaudhary ::It 
::Marianne ::1504 
::Nicoleta ::Bitmap 
::33 ::Processes 
::Retrieval ::Lohman 
::Text ::Srilekha 
::Windhouwer ::Caching 
::Cattell96 ::Khaled 
::4497529 ::Ong 
::Salzberg ::Hou 
::4497599 ::1543 
::3D ::Developing 
::Andrea ::Cranston 
::Bryan ::Wendy 
::Dilys ::Zou 
::Goldin06 ::For 
::Ordered ::ConsensRV08 
::Xiaodan ::MohanKSW06 
::Obermeier ::Chaum85 
::Region ::4497554 
::Ghafoor ::GeZ08 
::WongA85 ::147 
::Jia ::Emmanuel 
::Graphical ::Snapshots 
::Hiroomi ::KuZWW06 
::Powered ::Dragut 
::gis ::Griffiths 
::DaiKSTV08 ::Constraints 
::1208 ::Easy 
::Shahan ::Optimal 
::Comer79 ::icml 
::Xiaoyong ::Dhamdhere 
::Multi ::After 
::LeFevreDR06 ::Weaver 
::Dunham ::Hybrid 
::506 ::mta 
::914858 ::PhanL08 
::22851073abs ::ChiuehB08 
::71 ::Diversity 
::22851098 ::Welcome 
::1623 ::Automatically 
::Campen ::Sanjoy 
::Spatiotemporal ::1189 
::Sacc ::Prasanna 
::BulutS05 ::212 
::Keith ::DeaconSW94 
::AnciauxBHPA08 ::60 
::Comparative ::Huan 
::WuXTL06 ::Service 
::Amol ::Estimator 
::KoutrikaSI06 ::CLICKS 
::4497509 ::890 
::Internet ::Benatallah 
::url ::Eugene 
::Haslam ::914849 
::914836 ::Vibhuti 
::75 ::KamathAGM96 
::176 ::YiJF98 
::P494 ::Etoh 
::4497420 ::Jindan 
::Diagnosing ::Kotidis 
::Fabret ::ChangMZS98 
::1023 ::Motion 
::Incomplete ::Sheu 
::Bhattacharjee ::Greco 
::BohlenSS96 ::433 
::Thomas ::Merging 
::TolaniH02 ::212 
::Chowdary ::340 
::1506 ::cj 
::22850578abs ::WangCPFM02 
::Curt ::22 
::Imran ::Csar 
::Khatchadourian ::Hoel 
::1583 ::Correlation 
::Mengzhi ::Advances 
::WangZZ06a ::Gen 
::Chawathe ::Ramakrishnan 
::616 ::Detecting 
::Vaidya ::BlumrichLADFS94 
::Zezula ::GawlickK85 
::Goldin06 ::Amer 
::Shifting ::Reiss 
::475 ::Fei 
::Uncertain ::AcharyaFZ96 
::Attributes ::159 
::Vasilis ::Load 
::Dimension ::Operator 
::Jain98 ::Determine 
::143 ::DesphandeGMH05 
::Alps ::Memos 
::Definitions ::EllisGR91 
::ArasuCK08 ::Infrastructure 
::Ubiquitous ::Operations 
::won ::Mlivoncic 
::Garret ::KonopnickiS95 
::Rys01 ::SarmaTW08 
::Ziv ::Oguzhan 
::Gabber ::Transactional 
::Akitsugu ::638 
::Integration ::122 
::Thu ::Unknown 
::Heinz ::Performance 
::914808 ::4497520 
::SenR05 ::Klabjan 
::Pankaj ::Postgres 
::db ::Teixeira 
::Energy ::SG 
::Liedes ::Partitioning 
::De ::Sequenced 
::15310272 ::Delta 
::DeeringC90 ::LiuYCW08 
::Reformulating ::Meichun 
::Conference ::85 
::Pedersen ::Yip 
::Constraint ::Eugene 
::EltabakhEA06 ::Mirit 
::GardarinGT95 ::862 
::V ::Wolski 
::Gyllstrom ::Correlated 
::You ::126 
::Joxan ::MyllymakiL95 
::SchiwietzK93 ::Krkkinen 
::Peers ::Shasha 
::Huiming ::22850656abs 
::4497616 ::1059 
::150 ::Alvaro 
::Dou ::Loh 
::992 ::Sayal 
::Load ::4497636 
::1349 ::Certain 
::15310441abs ::NagarajNRS08 
::22850631abs ::4497442 
::Scheme ::Smodels 
::Trends ::Computations 
::Analyzing ::MittalHH01 
::Christos ::631 
::ConsensRV08 ::Clusters 
::CarminatiFB05 ::4497632 
::WuEDCKAS08 ::LiuP95 
::Evolution ::Govindaraju 
::AugstenBDG08 ::BrakatsoulasPT05 
::Hans ::Hsu 
::Ninghui ::477 
::Digital ::Conference 
::Publish ::137 
::Tiong ::OCallaghanMMMG02 
::22850242abs ::LeungNM02 
::Muhammed ::ChandelNS06 
::Consens ::GravanoG95 
::Inclusion ::803 
::Alvaro ::Tam 
::Chih ::Latanya 
::HollandG92 ::pods 
::Songyun ::Oracle8 
::dke ::1101 
::MeoPC96 ::Cubes 
::Experiment ::112 
::22850853abs ::22850978abs 
::Fuxman ::Cristian 
::Text ::networks 
::One ::JinZLWS06 
::Ludscher ::Evolution 
::Kou ::Lipyeow 
::Heinz ::Diverse 
::4497516 ::Mishra 
::RAD ::Authentication 
::22850434abs ::357 
::Efficient ::LeslieJBY95 
::Manipulation ::Ahn08 
::Jagannathan ::Khoussainova 
::Leveraging ::914814 
::Agrawal ::Media 
::ks ::Lochovsky 
::Amol ::Dependable 
::Jennie ::PfahringerK95 
::Bhm ::acm 
::Sanjeet ::MogiK94 
::NetzCFB01 ::1345 
::545 ::NtarmosTW06 
::Nicola ::1200 
::Muhammed ::Reachability 
::Lois ::Clip 
::Qun ::Ellmann 
::1584 ::Vaidya 
::566 ::Regions 
::SketchTree ::Anastasios 
::ACXESS ::ICDE98 
::Radwan ::Terracina 
::Conor ::Tryfona 
::Wolfgang ::Crowd 
::Sevcik ::405 
::Rule ::Never 
::636 ::csdl 
::Vladimir ::AhmadPCR08 
::4497424 ::Platform 
::relational ::ChenLGKP94 
::Ravi ::Shin 
::Incremental ::Online 
::Kraus ::SnodgrassA86 
::1355 ::MehrLLS08 
::SEMCOG ::Andreas 
::Christian ::Gruber 
::Shaped ::Jos 
::McCannKSVSD05 ::Piotr 
::Paths ::KornMW06 
::Eavis ::AggarwalY08 
::Join ::SirbuT95 
::Massive ::BulutS05 
::YanZH05 ::Barbara 
::MoerkotteN08 ::AgrawalCD02 
::StolteA02 ::ChenDN02 
::An ::Lived 
::Hendrik ::1382 
::Distance ::Krkkinen 
::Ntarmos ::19 
::Procedures ::AquaLogic 
::leeuwen90 ::Programming 
::at ::863 
::Khatchadourian ::RAD 
::DescribeX ::Paths 
::Jennie ::van 
::317 ::179 
::430 ::Garofalakis 
::Hjaltason ::Value 
::517 ::BryanEF08 
::Anand ::Boedihardjo 
::307 ::SuWL06 
::Ammar ::Warren 
::title ::Edoardo 
::Kinji ::Length 
::Imperatives ::Weber 
::Andrey ::914877 
::301 ::672 
::Jianzhong ::914837 
::PapakonstantinouGW95 ::4497626 
::P178 ::Wierman 
::Miss ::Erhard 
::Supratim ::Wen 
::Snapshots ::PC 
::Coskun ::Chin 
::JefferyAFHW06 ::Procopiuc 
::Stanislav ::Bowman 
::Vana ::445 
::ObermeierBHCS08 ::Kha 
::Hwang ::Maged 
::Omiecinski ::Hao 
::Yanif ::Venkataraman 
::Sistla ::15310263 
::Didi ::Wlodek 
::VenkataramanNL98 ::GhinitaTK08 
::Davide ::HirataHTK96 
::DrivenWeb ::485 
::Galt ::303 
::369 ::Shekita 
::Shmueli ::Minos 
::BentleyM80 ::Location 
::YiuM06 ::HOPI 
::Betty ::Sessions 
::TangYOCW08 ::1500 
::10010143abs ::LeungMSVVZ93 
::SistlaY96 ::Tobias 
::Accurate ::Diverse 
::1599 ::Operators 
::HanMWS01 ::Vijay 
::ShenSYZC06 ::Antova 
::GoldinK95 ::StockerKBK01 
::HwangBRCSZ05 ::Cohe 
::Untrusted ::1426 
::VLEI ::Farrell 
::914839 ::22850256abs 
::SrivastavaHMKT06 ::Werner 
::Bhattacharya ::FranklinZTCD92 
::Tarik ::Jarek 
::Summarizing ::1600 
::Voronkov ::U 
::1091 ::TORPEDO 
::Wenfei ::22850619abs 
::300 ::Salem 
::HaskinMSC88 ::French 
::Borkar ::Feasibility 
::ShkapenyukS02 ::Rinderle 
::AmzaCDKLRYZ96 ::Buffering 
::15310498 ::Draper01 
::ZivL77 ::Lois 
::PajarolaOSSW98 ::4497482 
::914873 ::Filters 
::ChenDZ05 ::Bosworth01 
::Kossmann ::micro 
::BorkarCELWW08 ::Logan 
::Area ::One 
::15310141abs ::SEA 
::Authoritative ::Dai 
::Erhard ::Vivek 
::22850578abs ::ThomsenPL08 
::micro ::from 
::Elhadji ::BaralisCMPRR97 
::661 ::Indices 
::914824 ::Coskun 
::Karlsson ::Phrase 
::Anonymizing ::LowTLL02 
::443 ::Karras 
::edbt ::External 
::Zhu ::Yiping 
::HibinoR98 ::Maxim 
::CobenaAM02 ::GhinitaTK08 
::Cornelius ::Approximating 
::4497476 ::PietzuchLSRWS06 
::ChengDNPKWAAFSSS97 ::Pedro 
::Hans ::KuwabaraT05 
::P370 ::GryzSZZ01 
::HuWLZX05 ::Felix 
::Rabindra ::Music 
::Xiaofei ::Advanced 
::Acharya ::Approximate 
::587 ::Gupta98 
::Parallelizing ::Tsotras 
::32 ::HutfleszSW88 
::813 ::Advances 
::Building ::Liqin 
::zsu ::eBusiness 
::WangHLS06 ::Blockeel 
::1470 ::Poulsen 
::Evripidou ::Histograms 
::Administration ::Shweta 
::linear ::914874 
::Paul ::Xiaofei 
::Wilfred ::HartDV88 
::Ioannidis ::Rasin 
::Lp ::DeRose 
::Wavelet ::OLAP 
::Resilient ::1276 
::HasanM94 ::Specification 
::MehrLLS08 ::ShivakumarG96 
::Sergio ::72 
::61 ::4497443 
::Classification ::RAIDs 
::Laurent ::Ferri 
::Items ::Wolski02 
::1071 ::Rosa 
::YounSun ::LuoJHYW06 
::Kazuhito ::Goyal 
::BernsteinGLL98 ::Load 
::Schning ::WangCPFM02 
::Vu ::Made 
::Composite ::HernandezPVMNH02 
::Adjourn ::4497542 
::15310488 ::Annotation 
::inproceedings ::Newton 
::KivinenM95 ::ChenR05 
::4497524 ::Duality 
::4497479 ::Rao 
::Dimensional ::MAFIA 
::Added ::Arnold 
::804 ::Lois 
::Nes ::4497576 
::Javeed ::SankaranarayananAS06 
::Alomari ::YFilter 
::Noise ::BrunoC08 
::Stream ::Logan 
::Inverted ::Sam 
::Mullin90 ::Hauswirth 
::Filling ::Units 
::4497470 ::4497408 
::284 ::ZaianeELL05 
::Manikutty ::XuLXM06 
::Transfer ::Mazza 
::Potamias ::Xiang 
::LometT95 ::Radwan 
::SpinCircuit ::MengLWG02 
::Mummoorthy ::Stream 
::Christophides ::Chawathe 
::EppingerMS91 ::mss 
::Grust ::Rank 
::DeRoseCGSDBZ08 ::LinYWL05 
::Xuemin ::Display 
::BhowmickP06 ::P532 
::22850564abs ::P424 
::Sugimoto ::HartDV88 
::22850804abs ::PostgreSQL 
::Dimension ::Henk 
::Lang ::P220 
::Lossy ::Exploration 
::HollandG92 ::Aranyak 
::KhalefaML08 ::1384 
::Zhuang ::633 
::Woong ::Zhai 
::YangWWY02 ::Extracting 
::Skyt ::O 
::1325 ::372 
::VelegrakisMM05 ::ECA 
::fAST ::1381 
::coopis ::ZhangLRB08 
::Ashish ::Controls 
::1489 ::NaackeGT98 
::Zhiping ::KoudasS98 
::Denny ::ACT 
::Demo ::Ishikawa 
::Kersten ::ShimSA97 
::Kwok ::4497583 
::Local ::22850730abs 
::Sakurai ::Passing 
::WhangLLKH05 ::FarfanHRB08 
::Mario ::SeltzsamGKK06 
::Soo ::Ahmad 
::Granular ::253 
::GuPYC08 ::Sichun 
::HeXYY05 ::AhmadABM08 
::4497574 ::1084 
::FilhoTTF01 ::Shahabi 
::Mukherjee ::MartinGH08 
::00 ::O 
::Balazinska ::ATM 
::357 ::MittalHH01 
::Balancing ::PetkovicZBJAWK02 
::178 ::from 
::PetitTBK96 ::Ernst 
::601 ::419 
::1537 ::Integrity 
::Karthikeyan ::Marinoiu 
::IndexFabric ::Gukal 
::463 ::Dmitri 
::GhinitaTK08 ::Bo 
::Kwok ::Chen05 
::1522 ::Farfn 
::Kasthurirangan ::4497482 
::LinAGD08 ::Commutative 
::316 ::Extension 
::PatelD96 ::Hammer 
::GabowT89 ::ChanSL98 
::Pinto ::Airoldi 
::Automata ::Wensheng 
::Watanabe ::15310331 
::1403 ::Toshinari 
::Comer79 ::Muntz 
::Markl ::1081 
::Has ::Manuel 
::Editor ::Gsta 
::Nasi ::SrikantA96 
::Simultaneous ::Muralidhar 
::Ioannis ::BancilhonR86 
::Venkatesh ::Reinhard 
::Expressivity ::1587 
::554 ::Compiled 
::RamanathZFH05 ::Di 
::Replica ::497 
::Frequency ::4497567 
::ChenDYR08 ::OgleS95 
::MaddenG08 ::Sithirasenan 
::Protecting ::258 
::Weber ::CQ 
::Baihua ::P601 
::1596 ::Michalis 
::Sakurai ::Coordinated 
::From ::LangOS96 
::WangRM06 ::1160 
::GoldinK95 ::4497579 
::Supply ::Optimize 
::992 ::Chiueh 
::DogacBO06 ::Arora 
::DasCWAS08 ::Tool 
::1522 ::4497612 
::Gerald ::Fukuda 
::119 ::Dayal 
::15310706abs ::Wilschut 
::url ::523 
::Intuitive ::Rajaraman 
::KaF02 ::1324 
::Pradeep ::Fudos 
::LiuYGS98 ::Anonymity 
::BanerjeeC98 ::Koh 
::cover ::Fatma 
::Mohan94 ::AgrawalH05 
::AdibaL80 ::toWeb 
::Non ::4497440 
::4497472 ::WuB98 
::5 ::Spiros 
::Materialization ::BernsteinHG87 
::Rinku ::Environment 
::Ranking ::Integratio 
::Nicklas ::Colby 
::JigyasuBBCDMT06 ::BernsteinGW93 
::GraefeL01 ::586 
::Webs ::ChangC02 
::15310166abs ::Delivery 
::Five ::Sashikanth 
::308 ::P446 
::icde98 ::Wierman 
::Adjourn ::Krger 
::XPlainer ::LimN01 
::Autonomous ::Statistical 
::Tightly ::4497488 
::1571 ::Anand 
::Boedihardjo ::4497467 
::Dimension ::Conor 
::1092 ::Row 
::972 ::StockmeyerM73 
::15310383abs ::Anthony 
::Jagannath ::1456 
::SegevP89 ::Kimball96 
::BanerjeeC96 ::GawlickK85 
::Eadon ::715 
::Minos ::Nogayama 
::Orlando ::Wenliang 
::Houtan ::Dialect 
::Benatallah ::YanOZ08 
::dbpl ::Decker 
::Rishe ::Angela 
::Earl ::Limitations 
::15310041abs ::Ihab 
::Orenstein91 ::Ferhatosmanoglu 
::ADT ::ChuK89 
::Preda ::David 
::MorsePG06 ::Hailong 
::Topol ::Gyllstrom 
::Riedewald ::Neel 
::Conscious ::Evaluation 
::1468 ::JeungSZ08 
::MolinaKS98 ::HammerST05 
::Operators ::ShethR93 
::XQSE ::Hyon 
::4497608 ::Madhyastha 
::Solutions ::Hwanjo 
::1515 ::Fingertips 
::656 ::Filho 
::Prioritization ::Answering 
::Harwood ::Cherniack 
::BertinoK89 ::Shetal 
::Containing ::Narayanan 
::NussbaumerPSS95 ::GrayBLP96 
::Takegawa ::KumarLMT08 
::Zhiyong ::Garofalakis 
::Savage ::HuhtalaKPT98 
::without ::Tryfonopoulos 
::Jasiobedzki ::AlexeCMT08 
::efficient ::party 
::SavasereON98 ::Knuth73a 
::Jennie ::Su 
::isca ::SismanisR05 
