dl::XingZH05 4497591::Shrivastava ::Syntactic ::Lipyeow ::designed 
Malkemus::BronczWK98 RoussopoulosL85::Zaniolo ::aaai ::Matching ::Augsten 
Subspaces::V Directly::132 ::1528 ::Scheduling ::15310187 
Rajkumar::Bingsheng Leong::Xin ::Timothy ::15310191abs ::Nassima 
Leslie::Group87 Among::Sismanis ::Kwietniewski ::Pawel ::Junglee 
Bolin::granularity Augsten::Schneider05 ::368 ::Abstract ::P154 
SolworthO91::4497474 Franklin::SAP ::Sanjay ::684 ::Takahide 
Generic::Reynold Khaled::Christopher ::STAG ::Evaggelia ::301 
Shamkant::Wolski Load::Lupu ::1169 ::Certain ::Virtual 
Suppression::Invariant 523::129 ::inproceedings ::DrapeauPK94 ::Certain 
TaninHS05::Framework LeymannR97::15310283 ::Wisam ::Arbitrary ::Jasmine 
LiuSYR98::4497476 1170::GedikWY08 ::Puniyani ::FischerK05 ::Prediction 
Sevcik::ChuK89 Seltzsam::MachanavajjhalaKAGV08 ::SpinCircuit ::Rogers ::Cerquitelli 
Astoria::52 Uncovering::Industrial ::Manish ::Graham ::Ioannidis 
Transcoding::O 22850552abs::Venkitasubramaniam ::WangR91 ::Renato ::15310262 
265::Aristides Tang::Hulgeri ::dblp ::Chairs ::KemperM90 
Make::4497397 Ahmed::DanielsSHLMWW82 ::Storing ::Subarna ::Stefanakis 
MANETs::SherkatR06 Raman::Revision ::914864 ::Sourav ::Dennis 
Papadopoulos::132 GoldsteinRS98::Seeger ::World ::AbererH02 ::Tufte 
PapakonstantinouGGU95::Pathak01 Watanabe::1579 ::Linfeng ::Top ::Musicant 
Ipeirotis::KamathR98 Schubert::Kifer ::Detecting ::ChenJOT08 ::TomasicRV96 
Gukal::384 Onizuka::Verifying ::4497613 ::VaidyaC05 ::LiuHXS06 
LiLHC06::1560 Mikkel::Crawler ::958 ::FeeleyMPKL95 ::Alink 
CNN::Malkemus Sam::Corey ::Annotation ::10010131abs ::4497538 
RemiasSZS97::Cal Bosworth01::between ::Zwaenepoel ::Partially ::604 
ChenH01::EggersOS81 Maarten::WuXTL06 ::Vikram ::Keyword ::ChengXPS05 
300::Autonomy 337::Fernandez ::Livny ::Hulgeri ::scale 
Native::Ramamirtham ChenH01::FranklinZTCD92 ::Tamir ::Prabhakaran ::Inferring 
Martone::Yuan BargaLW02::Ning ::Alps ::Split ::Kong 
SenR05::583 Database::RAM ::MeoPC98 ::AhmadN08 ::914878 
Items::Shivakumar 901::1424 ::234 ::BohlenBJ98 ::507 
Mumick::Feher 1180::Tarik ::Farnoush ::Baile ::Antal 
1053::EffelsbergH84 515::Nectaria ::Squicciarini ::Inside ::Bertram 
KaushikSBG02::ChuDHH06 Amza::231 ::RDMS ::Dehne ::Kou 
ijcai::340 BancilhonR86::an ::GutingS95 ::designed ::Nakhe 
497::972 JiangLWY02::Hman ::ChenHS02 ::SegevF90 ::1316 
ArefCEFGHIMPRTTTVZ02::Guo 40::Yuqing ::BanerjeeC96 ::Hammer ::83 
Ketchpel::Quang 1114::Sachindra ::IP ::CormodeIKM02 ::About 
Smith::Stanley 914836::GaoHPSA06 ::958 ::Nobutoshi ::Luca 
393::Anonymity BlakeleyCERW05::1115 ::Telcordia ::Influence ::JinZLWS06 
ZhangYST06::56 Iceberg::Interactive ::1603 ::ChenJKKMNS01 ::Yunjun 
654::Associations 914859::48 ::Bravo ::Denzel02 ::Perrin90 
Trends::1615 Schmidt::Xiaoyong ::Implementing ::Autonomic ::Schenkel 
Garret::dke 555::icde2005 ::Mikhail ::Cole ::Bttcher 
Braga::646 1348::Selection ::FerlezFLMG08 ::LeungWL89 ::Synchronization 
1366::144 JaberV06::Prcis ::Relative ::Adaptation ::4497537 
Definition::LynchS88 Babu::Murugesan ::P316 ::216 ::Xiaohui 
VlachouDNV08::Patrick FLWOR::4497420 ::MendelzonMM97 ::ds ::1393 
rules::Database e::Hongjun ::year ::B ::SuleimanCF98 
Zaiqing::Ester Hambrusch::Gignere ::Nicholas ::Andrey ::Feltes 
Simple::Dou Just::Bar ::LiH89 ::F ::Kyun 
4497404::Sae Dayal::329 ::558 ::4497517 ::PrabhakarAAA98 
HarinarayanRU96::MAPLE 145::Himanshu ::Don ::JagadishMS95 ::SchiwietzK93 
JiangMCS08::ChangYDA88 GPIVOT::Colors ::ds ::CoT ::Vebjorn 
Dmitry::Ahn08 Sae::kdd ::PfahringerK95 ::Popivanov ::Djafri 
Nicklas::65 1337::AutoLag ::algorithmica ::1145 ::Miron 
Randal::Das IWill::Spatio ::369 ::Facet ::Cudr 
Ziyang::Lochovsky Kwietniewski::Spyros ::KrauthgamerMRR08 ::Kato ::22850258abs 
146::Ramkumar 1631::1306 ::Platform ::Effective ::Bernhardt 
Rainer::76 Federations::Knuth73 ::Constrained ::Wiederhold ::Enderle 
proceedings::Visibility WuK05::won ::Logan ::granularity ::Rastogi 
Servers::Ali McCannSD08::Cameron ::Captivity ::RuemmlerW93 ::313 
Smoothing::263 Flavio::Bukhres ::330 ::sosp ::34 
Link::Trombetta Serap::WongA85 ::Stonebraker86 ::Jinchuan ::DaynesC01 
ChenLGKP94::Hardware AnYS01::Pawel ::336 ::Scrutinizing ::15310419abs 
Auditing::MannilaR86 KimCD05::139 ::DrapeauPK94 ::15310488 ::160 
Olivier::Three 86::Katayama ::Xingquan ::Gio ::Wynne 
Crawler::Coupling Wong::4497610 ::Provenance ::AgrawalFS93 ::Mukhopadhyay 
Fang::DoanH02 Speed::Sharma ::455 ::665 ::15310605abs 
Yongluan::1139 Srilekha::Speeds ::Gail ::Andrew ::BouganimFV96 
490::P220 MalkemusPBC05::Yuanyuan ::Simulation ::1109 ::Victor 
4497510::Mao Ntarmos::167 ::292 ::ShkapenyukS02 ::One 
1330::255 490::Summaries ::1631 ::Ramon ::Krger 
Walid::1619 Patrick::Shahabi ::through ::Ravi ::Presentations 
Neumann::15310053abs HwangC05::Xiang ::ChaudhuriGKLLM98 ::229 ::Korth 
22850217abs::1418 WuAA02::Dynamic ::Accuracy ::Against ::564 
Geerts::KimGBW90 BestPeer::Jinze ::Rong ::P296 ::365 
Fuh::Sreeram Equi::WangYM01 ::Periodic ::mash ::Cinzia 
Sivasubramaniam::Qingchun 4497528::Maher ::Over ::In ::Bertino 
Syan::Clifton Tao::502 ::Jagannathan ::LiuYCW08 ::We 
Sequences::Martone KotidisSV06::325 ::ChapinHRG95 ::Hisashi ::X05t 
LeeMCC02::Andrey Stacy::With ::csur ::ReSF06 ::Giuseppe 
22850157abs::Added Ailamaki::Miron ::Green ::Rosy ::Thuraisingham 
Sugata::Query Bertk::NieWWM06 ::Automatically ::Ramamirtham ::Callaghan 
Clement::Bongki Freire::year ::BayerM72 ::651 ::Mary 
ChenDYR08::V Theodore::Anand ::Rebecca ::Meets ::LiuC08 
892::Indrajit Delta::Policies ::ZouC08 ::145 ::Liuba 
22850217abs::LiebermanSS08 Madhavan::Segmentation ::Patterson ::DelisR94 ::642 
526::Teamwork 1551::4497527 ::Outsourced ::Group87 ::Giannotti 
GantiCM05::Balke Art::Sellentin ::Available ::22850533abs ::4497565 
Redmond::4497487 Surajit::Predator ::GuoSBS05 ::Mostafa ::1001 
NaackeGT98::Delcambre P231::353 ::code ::icde2006 ::22851109abs 
Liqin::Preda HwangCZ08::Davide ::Research ::Adlib ::Intersection 
Granular::665 MED::1393 ::tc ::ColbyCHJJMSW98 ::Discovering 
122::Ramakrishnan Rys::Vagelis ::JagadishOVZZ06 ::Hee ::Sang 
MoDB::Conscious Hongtao::Tung ::40 ::Vijayshankar ::Hetal 
ChengDNPKWAAFSSS97::Authentication Kitsuregawa::Yuan ::Their ::Disparate ::977 
Maintaining::YinC05 Shrivastava::524 ::140 ::Presentations ::15310663abs 
Arie::Was Sergei::GounarisPSFSW06 ::Taniguchi ::Resolution ::1454 
Accuracy::Norman Zhu::Powerful ::Leymann98 ::517 ::ChenR05 
Brzsnyi::1497 FegarasM95::Convoy ::313 ::Jianlin ::Banu 
Anna::BerchtoldBK98 Automated::deductive ::Xing ::Antoshenkov93 ::558 
Design::Zhen 1521::Savage ::Split ::216 ::Giuseppe 
4497436::Castro Whitley::ShiZ05 ::ShenOT06 ::AlonsoAAKGM96 ::15310333 
HwangCZ08::Intermittently BonifatiBCC02::773 ::PajarolaOSSW98 ::Meaningful ::Jaber 
Rosaci::KrishnaprasadLMWA05 4497507::4497515 ::1122 ::Advanced ::Ontology 
Flattening::Moon Editor::Mahadevan ::Multilingual ::Enabled ::301 
Ordering::4497518 481::COUNT ::679 ::Shaull ::Stacy 
351::1384 968::Sharing ::791 ::16 ::Pan 
330::Tan Jianzhong::Cha ::1110 ::Style ::Ferri 
97::Huabei Sndor::Kleene ::Parking ::Ertem ::Lomet 
FranklinCL92::22850415abs Panos::Mller ::Billing ::684 ::DUP 
wi::Bhattacharjee CORBA::Donald ::Mylopoulos ::AgrawalS95 ::ChanSL98 
Balmin::compcon Xiaoyong::Expressions ::Balaji ::Categorical ::User 
592::Thu Furche::Maya ::AggarwalY08 ::within ::Sunita 
TAR::240 Nearest::Felber ::Geerts ::633 ::Facet 
Juchang::GutingAABDHHST05 Telecommunications::Kimball96 ::Linfeng ::Dai ::Percy 
Numerical::Neumann Tarik::Na ::Wai ::Matching ::Conceptual 
10010131abs::Clemens 365::sigmetrics ::303 ::Syeda ::GreifSW86 
Hoa::Preemptive Row::Suhre ::Pervasive ::616 ::PapadiasT97 
Suleiman::15310517abs SrivastavaHMKT06::Explicit ::Scalability ::4497580 ::VenkataramanNL98 
Visibility::1361 Learning::AgrawalG89 ::494 ::Georgakopoulos ::ZhangOAI06 
Gehrke06::Diagnosis Work::Offs ::Huabei ::Kanaya ::22850580abs 
Q::Allen83 KohLHA08::Dyreson ::ZhangCMS97 ::HwangPS98 ::Associative 
LiuSYR98::mash 4497514::HaraHTN97 ::Rao ::BravoFGM08 ::914851 
499::Aaron MittalHH01::SpaceTwist ::SpinCircuit ::P476 ::King 
computer::Dittrich Inter::Desmarais ::129 ::214 ::Hou 
BachFGHHHJS96::HiWaRPP JagadishMM95::Gionis ::Corpus ::QiaoRNPCFRCYL08 ::Access 
Vlachos::Schning Browsing::Stop ::Warren ::LeFevreDR06 ::IMPrECISE 
139::1024 Sales::SistlaY96 ::914819 ::67 ::P601 
66::1603 AttieSSR93::LaiTB05 ::684 ::1470 ::Venkataraman 
Carmem::bdbms 1525::Prasan ::MED ::Bosworth01 ::Shiroh 
Qi::RoussopoulosL85 15310271::Datar ::Gerald ::Structural ::Ander 
Lisa::778 Mangold::Scenarios ::XPlainer ::WidomC96 ::Quanqing 
Byron::Scaling Display::4497481 ::Duplicates ::PagelSTW93 ::655 
Discriminant::642 Mahmood::Disparate ::Mumtaz ::1140 ::Estimation 
P362::4497439 Bertram::Pautasso ::ZhouZQZ06 ::695 ::Manolis 
Judice::Elements Kifer::22850230abs ::Georges ::4497485 ::Kemme 
Spatio::Detect Bonchi::AlonsoAAKGM96 ::Ross ::icdcs ::Bakalov 
130::Memoriam W::Goldin ::BernsteinGLL98 ::Fred ::Chendong 
Emerging::CandanHS98 Estimation::108 ::SteenhagenABB94 ::Joon ::Kolovski 
643::databases Gravano::Function ::342 ::22851024abs ::Whose 
Nicolas::MohanLO86 Sumit::Makoto ::Invariant ::THALIA ::Panagiotis 
Dunham::228 Harumoto::Generalization ::1145 ::939 ::303 
WeisN06::Hiraoka speak::Ayad ::Balanced ::Multilingual ::SarmaBHW06 
Burst::Computations Yafei::1491 ::Kifer ::Folding ::Group87 
914858::jacm ObermeierBHCS08::483 ::Tradeoffs ::421 ::Regnier85 
Through::Bhlen Elizabeth::Postgres ::Suri ::Horng ::BaralisCMPRR97 
Indrakshi::Dayns 4497615::Locality ::Kreplin ::Sales ::Francesco 
Swaroop::4497508 Bruce::Speeds ::UDB ::153 ::Chafle 
DohertyHR96::PictureBook 1483::29 ::4497612 ::Amir ::Inside 
Alpa::Mohammed Claudio::Satkin ::SmithS96 ::dke ::4497504 
KarrasM08::HornickZ87 Preemptive::Calton ::WeisN06 ::GravanoG95 ::1387 
mms::crossref Gail::204 ::SedmidubskyBDZ08 ::Davey ::Outsourcing 
993::GounarisYSD08 Saake::Yuguo ::Stack ::Probability ::Per 
Toivonen96::Pinar Conserving::LeeMCC02 ::Junyi ::RafieiM97 ::MitschangPPLS93 
Henrich::1396 4497464::Work ::Abiteboul97 ::Weis ::VelegrakisMM05 
Davulcu::MoDB Gustavo::PC ::IkedaMITHHO05 ::Model ::Immerman87 
Logic::icde2001 sup::Telle ::Trombetta ::P164 ::Tryfonopoulos 
Schning::4497580 State::HermanGLW87 ::P004 ::Masahiko ::15310543abs 
4497451::Salzberg LiC08::Claudio ::Shim ::Chiueh ::P456 
Jean::Ammar 4497542::914809 ::Rezgui ::282 ::15310339 
Overview::data 914871::Wan ::AbiteboulMP05 ::Descour ::4497405 
Shadmon::588 Kasthurirangan::Raghav ::22850384abs ::I ::ChenSZ05 
566::OLAP Ullman97::151 ::WangR91 ::Qiang ::AfanasievGMRT08 
4497500::546 Learning::Widom ::13 ::Columns ::Jagan 
Feng::201 XML::Hsu95 ::BukhresSNBAOGKCMS02 ::Cost ::BohannonPRSSS96 
Stonebraker86::ThuraisinghamHRM98 Extended::Westmann ::BaralisCMPRR97 ::Sideways ::AlonsoAAKGM96 
Haixun::HeLC05 4497451::1527 ::Activities ::Popivanov ::1524 
566::UDB Aggarwal02a::15310605abs ::their ::Jinze ::Captivity 
Dam97::Manolis BerchtoldEKKS98::Arjen ::22850927abs ::Cui ::Sellentin 
Discovery::Fromont RotemZ95::GrahneLWX01 ::4497582 ::KoblerBCH95 ::Networks 
Xuedong::It centric::KashaniS06 ::Henrich96 ::15310268 ::P436 
RinderleWR06::Melliyal Arjen::OLE ::Unlinkable ::Roitman ::Hman 
Make::Fastest 383::1081 ::499 ::MolinaKS98 ::22850434abs 
William::Cai HouleS05::1513 ::Tolani ::Answers ::Suchanek 
HP::Bei 1367::Yue ::668 ::Braynard ::Mappings 
Gu::Holger 22850131abs::Automata ::Dirk ::Optimizations ::Tuning 
Id::Oracle Raymond::PabmanabhanG06 ::Algebraic ::its ::NetzCFB01 
4497540::Arijit 22851001abs::519 ::1091 ::FlicknerSAHDGHLPSY95 ::RaoM06 
914873::MAPLE 1442::DalkilicGR97 ::Zwaenepoel ::UchiyamaOH05 ::Nicklas 
over::524 Yongqiang::Betty ::DIPBench ::Choi ::Song 
1533::icde2008 Henrich98::4497529 ::top ::UchiyamaOH05 ::Semantics 
MyllymakiL96::Sovereign Limitations::Uncertain ::won ::Thatte ::Mendez 
KetchpelGP97::ArasuCK08 Deb::MohanHLPS92 ::Kendig ::WeissDG95 ::Yoon 
Jacobsen::15310029abs AmarmendAK06::Elements ::1476 ::P074 ::ZhouZVQ08 
Rosy::4497523 914835::Huabei ::MUSE ::Levy ::Krishnaprasad 
Schneider::518 Sotiris::1388 ::390 ::BlakeleyCERW05 ::And 
Qi::Selinger05 Lucchese::Smith ::Fractal ::BayerM72 ::Carl 
Bhavani::Optimizer isca::843 ::Xiaokui ::cs ::501 
1442::Assurance Douglas::22850502abs ::15310029abs ::22850779abs ::Ntoulas 
Huaiyu::1219 Array::Opportunities ::Documents ::Mohan ::Answers 
Zhe::Co Tanu::P578 ::MaddenG08 ::MitschangPPLS93 ::730 
15310277::AbiteboulCM95 German::414 ::MendelzonMM97 ::Jrgen ::SayalCDS02 
GeertsKM06::15 4497422::MiahDHM08 ::CareyDN93 ::BerchtoldEKKS98 ::828 
Koki::IndexFabric 22850357::Nina ::AikenCSW96 ::GongYQZ05 ::Steven 
1139::Long Members::Mason ::DeWittKLPY94 ::Reducers ::Frequency 
dblp::Greene89 Cherniack::Edoho ::310 ::P ::1533 
Methodical::Cristian Wikipedias::Alvaro ::Wu ::Yongqiang ::484 
Optimization::415 Economically::IshikawaK93 ::Zachary ::Elegant ::15310265 
843::Leskovec Systematic::Symbolic ::LeeKC01 ::Petko ::HarrisonD92 
MendelzonMM96::Weber Kasneci::Caching ::About ::MoDB ::clustering 
22851147::Erik Prasanna::155 ::4497432 ::Swart ::824 
Balakrishna::Mauricio 1522::1286 ::15310393abs ::YipCN05 ::1418 
Filippo::LudascherGM01 Servers::534 ::Estimators ::89 ::on 
1402::565 Chita::Ioannidis ::Dittrich ::22850580abs ::Sergio 
1098::Busatto KashyapRRS08::Vaupel ::Nicholas ::Ketchpel ::Form 
Schumacher::Ferhatosmanoglu Tanveer::Telecom ::LakshmananSS96 ::Jasmine ::Databases 
Sensing::Sameer Flattening::Buchmann ::Zahir ::Array ::303 
495::Kashani Keyword::Tony ::914864 ::914825 ::Laboratories 
Abdelmounaam::Ashutosh Biological::15310706abs ::TaoPZL05 ::CormenLR89 ::Hoa 
Joshi::4497497 htm::1459 ::KochSS08 ::SavasereON98 ::CastellanosBR08 
SEMCOG::Moshchuk Ubiquitous::Dyreson ::4497490 ::BakalovHHT08 ::XiongMA05 
Dhruv::1390 513::15310093abs ::ShivakumarG97 ::Kang ::SinghL08 
Bookmarks::4497597 Aoki98::Lessons ::Halevy ::Deep ::LevandoskiKM08 
P144::Berners Leakage::Architecture ::LiuHXS06 ::Pfoser ::76 
15310287abs::Similar 10010173abs::Potamias ::Li ::4497475 ::4497560 
Tassa::Widom ZhangCMS97::32 ::MohanLO86 ::Seshadri ::1259 
Ang::Saake LoR96::Freksa92 ::P486 ::Takashi ::143 
Yee::HarrisonD92 309::Implementation ::4497451 ::Ong ::4497607 
Radwan::Krishnaprasad Convertible::163 ::Mihai ::Pollack ::Jabeen 
WuXTL06::Event Lochovsky::Degradation ::MukhopadhyayP02 ::ChristophidesACS94 ::Hacigms 
4497459::255 BhideDD93::265 ::WeisN06 ::Morishima ::btw 
McWherter::4497524 132::Tao ::Mix ::367 ::1619 
LeeKC01::BrunoGM02 AutoLag::HibinoR96 ::ShivakumarGC98 ::Chen05 ::Stacy 
LiC08::396 Jinze::Hsiung ::LiL08 ::FaloutsosK94 ::Koki 
Cheong::TianP08 Arshad::ChenJKKMNS01 ::Coordinate ::22850545 ::Hara 
MyllymakiL96::ShafiqSBG06 4497561::Ketchpel ::Atomic ::Dialani ::Scheuermann 
Zou::Qi 303::15 ::Automated ::890 ::914857 
cosit::Mahajan ConsensLO06::dke ::Jansen ::Rjaibi ::Mehr 
4497590::4497510 Omiecinski::BargaLW02 ::914855 ::Mehrotra ::Cai 
GuptaCG08::Hoa 1476::Overcoming ::DebLRS08 ::Lisa ::BouganimDV96 
129::Minji Shkapenyuk::481 ::Decoupled ::939 ::MehrotraG93 
Ann::PapadiasT97 Feher::Di ::Link ::Logan ::Nakhe 
Vibhuti::Vakali 883::Massive ::Samples ::Kleene ::Feifei 
AbiteboulHV95::116 Xianghong::Disease ::Grabs ::CastellanosC05 ::Pavan 
MannilaTV94::WuCL08 Jianlong::HuaYL06 ::pods ::Walid ::Atomic 
AndritsosFM06::Karras Duality::Lang ::Shmueli ::BilkeN05 ::ChengXPS05 
1219::Win Butterfly::Kimutai ::GovindarajanMV06 ::Davide ::Haiyan 
4497556::Super Prasan::ONeil87 ::ObermeierBHCS08 ::Mingzhe ::Sharma 
Chu::Sougata CareyL91::616 ::Jigsaw ::Biton ::Filho 
Larson02::Packets 143::4497543 ::Visualizing ::1081 ::Products 
Value::Chiusano SEMCOG::NieWWM06 ::HaskinMSC88 ::SankaranarayananAS06 ::icde2002 
Martone::CLICKS ZhouTZ06::Santos ::494 ::XPath ::Munir 
ATM::Wook Index::C ::url ::Lists ::Edmunds 
218::Hongyan Huajun::Mukesh ::Hallett ::Yahia ::Tradeoffs 
1521::230 SchroederHINW06::Jrme ::Srinivasan ::IvesT08 ::Stahl98 
ZhugeG98::Schumacher Maier83::4497507 ::1397 ::dblp ::Jeonghee 
Nilesh::DarFJST96 Kotidis::Sergey ::Dongwon ::303 ::532 
AtzeniCB05::German Shivakumar::4497423 ::1327 ::Dayal ::JiangAC05 
SPEX::User Postgres::Sujata ::307 ::cj ::Oguchi 
Lai::Busatto Cooperative::Jian ::Luc ::Gio ::Levandoski 
Antti::PathakCG08 Vaithyanathan::536 ::Jinze ::254 ::354 
Analysis::EggersOS81 Alexey::Whitley ::914831 ::MadhavanBDH05 ::Intra 
Pearson::Luigi Isaac93::Larson02 ::914852 ::King ::DahlinWAP94 
Incomplete::10010121abs designed::KrishnamurthyKN05 ::Composite ::Clean ::Order 
DaudjeeS06::Join Roger::Nogayama ::BabuMWM05 ::Trasarti ::Christos 
15310357abs::Navigation PetkovicZBJAWK02::Fatih ::SistlaY96 ::Krkkinen ::Super 
Bressan::00 Optimal::Shojiro ::deSign ::324 ::Walk 
KolliosGKB01::Bouganim Buneman::Lam ::Bird ::DeWittKOSSW84 ::Extended 
Ander::Piotr Pudi::Hakan ::Autonomy ::Hammer ::Christian 
827::Sliding Taniguchi::4497553 ::PF91 ::Kotidis ::Helmer 
22850580abs::CareyL91 CherniackZ96::VrhovnikSRM08 ::Mukesh ::Batch ::Kanad 
4497433::MANETs Juliana::1451 ::KoutrikaSI06 ::Chakravarthy ::Traina 
4497539::STAG Reorganization::Bhattacharjee ::4497415 ::Shin ::1116 
ZouSL98::778 4497603::ChenH01 ::Explaining ::Muthukrishnan ::BrinDG95 
SalzbergT96::Optimization Bedell98::10010173abs ::93 ::Frederick ::cs 
Inclusion::sigir Statistical::YangP08 ::MegalooikonomouWLF05 ::Malaika ::AbiteboulMZ08 
Huiming::VeeSSBA08 577::Nes ::Arie ::Akiko ::914824 
Decade::Gryz Ippokratis::icde2002 ::1159 ::Chuan ::Immerman87 
Hua::Reducing ParkKL01::GuptaJM96 ::Memos ::Khatchadourian ::22850256abs 
1494::472 Certainty::Browser ::AbulBN08 ::914816 ::Guido 
Automata::Shahan Hope::Saenz ::Enumeration ::943 ::Galindo 
Cleaning::Pietzuch DeshpandeH02::Archival ::Renato ::11 ::Susan 
AbiteboulHB99::sac 1423::1501 ::LeuteneggerEL97 ::Jagannath ::LowTLL02 
101::Reachability Estan::Shape ::Sebastian ::Margo ::Ursino 
Loading::Design 1616::BhideDD93 ::4497498 ::Huan ::Chaudhary 
Quantiles::22850991abs Preservation::MaierS86 ::Orenstein91 ::SPEX ::4497563 
Skippy::Schek AggarwalY08a::44 ::Cochinwala01 ::PapakonstantinouGW95 ::Arnold 
Future::MD Panagiotis::47 ::115 ::Borr81 ::Isoline 
15310329::GPIVOT Bassam::Anirban ::114 ::acta ::15310235abs 
Mayfield::Alexe ATM::914858 ::ZhouOTY06 ::Intersection ::LiSDKG01 
SchmidtKW01::Bringing Out::LiH89 ::Manish ::914809 ::BunemanDHS96 
bit::4497606 BernsteinN96::KuskinOHHSGCNBHGRH94 ::1032 ::4497484 ::1540 
15310270::Mei Supervised::Kishiko ::Miah ::1095 ::Shojiro 
579::Mukherjea Bing::Marcin ::Pautasso ::Composition ::Ln 
1620::Malaika Ashutosh::15310463abs ::BorkarCELWW08 ::Verify ::1259 
Linga::Ullman97 4497516::GravanoG95 ::507 ::Compact ::Holger 
Amitabh::VenkataramanNL98 PDM::Ramamirtham ::DimitrovaG94 ::Stefanakis ::FranklinC92 
Amer::Developing 914867::YanOZ08 ::Shivnath ::RoussopoulosK86 ::QShuffler 
Tightly::Quang 544::KrishnamurthyI91 ::1595 ::Changing ::Moving 
4497500::Gromann KhaitanRJC08::Kristal ::Mengsheng ::Mohammad ::Provenance 
4497594::Kantarcioglu Jrgen::ArasuCK08 ::Reza ::53 ::Kulik 
eBusiness::Stocker Gregory::SQLServer ::html ::DrapeauK93 ::1576 
Summarizing::1429 Cinzia::DarFJST96 ::Enforce ::396 ::ChandraV85 
MyllymakiL96::Hellerstein JaffarYZ06::Farfn ::JensenLOZ06 ::SketchTree ::ebXML 
Watson::Minghua 22850521abs::Dou ::into ::Pushpraj ::YuPK05 
309::Decade zden::1563 ::Reviewers ::ONeilQ97 ::654 
Mukhopadhyay::Jae ShivakumarGC98::Raffaele ::Incorporating ::638 ::Sergei 
Trajectories::Jens 150::Visualization ::735 ::1228 ::Indexed 
705::563 ONeilG95::Fudos ::22850518abs ::Acceleration ::Documents 
192::Shigeru Olivier::CLAN ::2005 ::PoosalaIHS96 ::Compact 
Meng::1619 VeeSSBA08::ChengCMC08 ::BurnsDILP08 ::WangLPAM06 ::Zheng 
Squicciarini::WangBTD08 Watanabe::22851135 ::Unity ::827 ::Ann 
Luis::490 DuschkaL97::Xiaoyong ::Ji ::Xu ::DB2 
Sashikanth::Expensive Vanitha::Rimma ::323 ::15310500 ::Mauroux 
1528::Mohan96 243::1342 ::Sky ::Frequency ::MarcusS96 
Idea::270 Automatically::744 ::WeisN06 ::LiSR92 ::PeiJZ05 
Polyzotis::Ozcan Synopses::Perego ::676 ::Jean ::876 
Vijayalakshmi::Sergey P154::JinZLWS06 ::SunPF05 ::Shapes ::Afalg 
1160::Statistics Concurrency::if ::12 ::Rezgui ::micro 
Platforms::Kit Guha::Ives ::Parasuraman ::KatayamaS01 ::RotemZ95 
4497482::Zina Searching::Vladimir ::Id ::Prefetching ::Simplicity 
Ailamaki::1209 COSTA::MohanLO86 ::Edoho ::KrishnaprasadLMWA05 ::Ramkumar 
Ranked::Marko Hnle::Tape ::605 ::Paton ::914869 
ChakrabartiM98::EELs 146::Antonio ::Everyplace ::AcharyaGJKST08 ::ZhaoRTN98 
Subset::El Wook::Digital ::Tsukamoto ::15310273 ::BrunoGM02 
BonczQK96::Sevcik Eran::Agarwal ::Nishio ::Snodgrass95 ::IshikawaYIK96 
1023::Land 1394::Yunjun ::Coverage ::Schroeder ::Bypass 
Legaria::Luis Models::Efficiently ::Repairable ::Jagadish90 ::Okcan 
Focused::FernandezFLS97 MohanAGK95::RemiasSZS97 ::Zachary ::22851100 ::Rinku 
AgrawalAS93::65 PapakonstantinouAG96::Tape ::PostgreSQL ::Prabhakaran ::Eng 
Mann::Methods AlonsoC05::Ketchpel ::Ioannis ::Braga ::784 
914829::Exploiting Shaull::Sketch ::Enabling ::189 ::Integrate 
LB::WuDY06 SaltonG83::704 ::Vijay ::KornackerMH97 ::CormodeKMW08 
Mappings::Now 1417::Rizos ::Hsiung ::Dasgupta ::OptRR 
22851120::Zhang DaWaII::Provable ::sosp ::BancilhonKK85 ::Gravano 
How::Ranking Distance::Toon ::X05p ::Mahesh ::Charuta 
Obstacles::Mitschang Mirco::15310245abs ::ICDE98 ::Bundles ::WebIQ 
Estan::Heng Nan::1448 ::655 ::Akitsugu ::LometS89 
Lam::422 Clients::BargaLW02 ::sosp ::Protection ::Point 
Discriminant::sigmetrics IkedaMITHHO05::Serialization ::GartnerKKZ01 ::RosenblumO92 ::949 
Elghandour::Different BohlenSS96::Vijayalakshmi ::Yong ::Gulbeden ::Policies 
CastellanosC05::Aoki98 4497433::RohmBS01 ::Blok ::Hsu ::Personalized 
914846::Michal Tuples::Taylor ::BonczQK96 ::BatiniL86 ::Ramamritham 
Masahiko::4497635 DeWitt::4497549 ::396 ::4497612 ::Performance 
Interpreted::HermanGLW87 LeeHL08::Views ::4497436 ::Cheung ::Alex 
Shalem::784 SQLServer::Shao ::Wong ::BayerHR80 ::Definition 
Ross::temporal 890::Lorenzo ::SaltenisJ02 ::4497593 ::87 
Keulen::GabowT89 support::Bypass ::Match ::BoberC92 ::790 
763::89 Stefano::Analytical ::Prakash ::Group87 ::Gnther 
WolskiB98::Vebjorn ChenCRM06::339 ::BrantnerKMH06 ::SaveRF ::is 
Himanshu::Disease Gruber::22850865abs ::NguGBCDB02 ::4497552 ::327 
Implementation::Signatures Graphitti::Sivasubramaniam ::Eavis ::Synopses ::Matchings 
481::Cahill Lessons::SinhaWWSS08 ::DescribeX ::ZhangTS02 ::639 
