::Neel ::412 
::85 ::Palakal 
::Air ::Adaptive 
::Franoise ::Siersdorfer 
::KatayamaS01 ::1199 
::22851133 ::Federated 
::Sidle ::ieeecomputersociety 
::LoR96 ::15310357abs 
::ZukowskiHNB06 ::BhideCGGMPRRS08 
::914811 ::Stockinger 
::DanK95 ::Closest 
::Ikeda ::120 
::Papakonstantinou ::P094 
::ph ::fm 
::Networked ::SistlaW95 
::490 ::Common 
::992 ::Yuanyuan 
::Middleware ::CastellanosCSD05 
::Operators ::Chu 
::SAN ::4497586 
::SinghMSPHNC08 ::CabibboPT06 
::BunemanDHS96 ::Sugimoto 
::Jagannathan ::Sellentin 
::Fan ::Ang 
::FAST ::db 
::Tightly ::Bryan 
::Characterizing ::tcs 
::Ashraf ::882 
::cacm ::Delivery 
::Vikas ::Lightweight 
::icde2002 ::Katsumi 
::Geoinformation ::187 
::Outsourcing ::Haritsa 
::P116 ::Chai 
::714 ::4497565 
::KimGBW90 ::Calton 
::Constructs ::Chen05 
::AssentWS06 ::iandc 
::Puniyani ::78 
::Mappings ::GartnerKKZ01 
::Systematic ::334 
::Paloscia ::Denzel 
::957 ::1119 
::ColbyGLMT96 ::CatarciCS94 
::Callaghan ::P259 
::Mangold ::1501 
::Extending ::Mao 
::PhanL08 ::Harinarayan 
::135 ::SrikantA95 
::4497521 ::Ouzzani 
::15310490 ::Sengar 
::jiis ::1492 
::914828 ::Volumes 
::2005 ::Shukla 
::Mobile ::Ruoming 
::Pandey ::Analytical 
::Antijoin ::Operators 
::Dai ::Skeen02 
::Regular ::Fabian 
::Mitchell ::Gionis 
::15310081abs ::FudosPP02 
::Jianmin ::P402 
::Buneman ::SchiwietzK93 
::Preaggregation ::Clark 
::Zaki ::Haojun 
::914865 ::SNAP 
::Congjun ::864 
::405 ::Ishikawa 
::Yihua ::Per 
::914810 ::Sengupta 
::WangYM01 ::Dependency 
::4497498 ::5 
::Afalg ::Hacigms 
::Telcordia ::Yongluan 
::if ::128 
::Giorgio ::Toshinari 
::AgesenBPT01 ::Christoph 
::1002 ::511 
::RohmBS01 ::TAR 
::Security ::Aameek 
::1543 ::22850578abs 
::Hwang ::Evaluating 
::LeuteneggerEL97 ::Problems 
::MachanavajjhalaKAGV08 ::Committees 
::1042 ::McWherter 
::Csar ::ZEBRA 
::Participants ::Gting 
::CastellanosC05 ::van 
::BohmHLW08 ::Diagnosing 
::Annamalai ::Explicit 
::Sarawagi95 ::Alborzi 
::Recovery ::Program 
::199 ::JoshiJ06 
::Failure ::Wu 
::Sonny ::Felber 
::KapitskaiaTV97 ::Jian 
::351 ::Lim 
::Rewriting ::Shaped 
::Ad ::Coordinate 
::KotidisSV06 ::Provable 
::Alpa ::Recommendation 
::4497500 ::Weis 
::Control ::BOXes 
::Lindsay ::CareyHL93 
::Ferlez ::380 
::Shan ::GrabsBS01 
::Participants ::Freksa92 
::Lossy ::Couple 
::146 ::Zhaohui 
::HanMWS01 ::Consens 
::Topsakal ::1208 
::452 ::22850020abs 
::Wikipedias ::4497403 
::GardarinGT95 ::WhiteJ96 
::Xiaojin ::SilbersteinBY06 
::CormodeKMS05 ::JinA06 
::Bart ::Semistructured 
::1473 ::Simon 
::on ::Stucki 
::568 ::15310685abs 
::Nicoleta ::22850680abs 
::Bouaziz ::XML 
::Roberto ::Nita 
::Ranganathan ::882 
::2000 ::22850417abs 
::P446 ::Power 
::Learning ::XPaths 
::490 ::Tsuyoshi 
::TaoXLZ08 ::Siberski 
::org ::Natix 
::Mover ::Mengzhi 
::DanDY91 ::914808 
::into ::GUI 
::Anil ::Whose 
::Govindarajan ::GuptaJM96 
::227 ::4497587 
::Papotti ::Interpretation 
::Haojun ::Advancement 
::Terms ::Lynch83 
::Shalem ::Ives 
::Ngai ::Schema 
::Environments ::Lyman 
::CarminatiFB05 ::Ellmann 
::Myoung ::Gonzalez 
::4497418 ::323 
::1022 ::Marian 
::892 ::WangRM06 
::Shuai ::CherniackZ96 
::Sourav ::Simultaneous 
::KaF02 ::Santos 
::pods ::599 
::Frequent ::Lipyeow 
::ChaAHS05 ::Machine 
::WiwatwattanaJ08 ::Selecting 
::Evolution ::Lopez 
::BhideDD93 ::Dialani 
::Jinping ::Spannagel 
::level ::Sheth 
::102 ::495 
::1148 ::1426 
::Streaming ::242 
::Robust ::4497527 
::NN ::Sarawagi 
::Vassalos ::Lijiang 
::Statistics ::SchroederHINW06 
::DaiKSTV08 ::Mirit 
::784 ::Nakano 
::v8 ::Gang 
::Tissues ::Eran 
::512 ::Cormode 
::15310639abs ::BentleyM80 
::Recovery ::Kashani 
::Multidimensional ::h 
::P542 ::hpts 
::Etoh ::Marzouk 
::Teubner ::IMAX 
::Environments ::832 
::Transportation ::Novel 
::764 ::YuC84 
::Complexity ::Vladimir 
::Tuples ::DennyF06 
::Chang82 ::882 
::Coverage ::4497617 
::Akinde ::4497419 
::Marianne ::972 
::Daniele ::92 
::WolskiB98 ::AfanasievGMRT08 
::1473 ::Guan 
::489 ::AndresO98 
::Warping ::CuiLXCDZ08 
::Extra ::Edward 
::PuKH88 ::Jeung 
::Gnther ::Myoung 
::Per ::Processes 
::Desmarais ::Archetypes 
::4497598 ::Vinayak 
::Felber ::Creation 
::Abiteboul97 ::Dimension 
::Search ::Levy 
::697 ::ReissH05 
::Martin05 ::ijcai 
::LimN01 ::AbiteboulHB99 
::Explicit ::Bar 
::Simulation ::Discovering 
::KornMW06 ::1436 
::Shim ::Takeshi 
::KashaniS08 ::86 
::PattersonBA08 ::Lieberman 
::SirbuT95 ::AtzeniCB05 
::with ::Toivonen 
::1536 ::660 
::Abbadi ::Malin 
::256 ::Chamberlain 
::LindsayMP87 ::SunAA02 
::635 ::Hsiao 
::22850415abs ::BerchtoldBBKK97 
::1121 ::Raghav 
::THALIA ::FaloutsosRM94 
::Subrahmanian ::430 
::TataP08 ::GuptaHQ95 
::N ::Davidson 
::StonebrakerADNR93 ::Alper 
::Singh ::Attacks 
::Leh ::LinD98 
::Page ::Scott 
::Rajkumar ::Akrivi 
::MaH01 ::Harald 
::Muse ::22850939abs 
::459 ::DozierSF94 
::ZhangPW08 ::Grtner 
::Andrea ::GartnerKKZ01 
::Musicant ::DohertyHR96 
::Zahir ::CandanPS96 
::HanF95 ::Corpus 
::P252 ::Aliekber 
::Muthukrishnan ::Gokey 
::Chai ::1324 
::BravoFGM08 ::Roy 
::Roland ::WangRM06 
::BukhresSNBAOGKCMS02 ::4497563 
::SrikantA96 ::Michalis 
::Hiroyuki ::Wilson 
::ER ::MohanN91 
::Christophides ::Martone 
::BancilhonDK92 ::RohmBS01 
::Orenstein91 ::TORPEDO 
::Wiwatwattana ::Amrish 
::Warping ::Ian 
::Verification ::Triantafillou 
::Ang ::Vaithyanathan 
::NievergeltHS84 ::Dependencies 
::Rene ::ModelGen 
::Guido ::db 
::Arai ::LiuLG08 
::Tony ::Clean 
::MogiK95 ::h 
::Pekka ::1608 
::Michalis ::Souripriya 
::Kramnik ::Estimators 
::Xu ::Shuyu 
::4497542 ::X05r 
::22850533abs ::Vee 
::EvdokimovFG06 ::Scheme 
::Anonymization ::Haejoong 
::RamakrishnanJNKB06 ::Salt 
::4497471 ::Effective 
::526 ::19 
::AbiteboulB91 ::Cliques 
::Queuing ::YangL01 
::FaloutsosBFHNPE94 ::P192 
::Adaikkalavan ::Foundations 
::PETRANET ::Naumann 
::Kimeli ::multimedia 
::Predator ::Cahill 
::232 ::314 
::Amitabh ::KoudasS05 
::97 ::DrapeauK93 
::Moon ::Bressan 
::Imprecise ::Inside 
::VrhovnikSRM08 ::ApersHY83 
::compcon ::Evdokimov 
::Protecting ::ZhangDH08 
::914851 ::1551 
::1628 ::Weidong 
::Corey ::AggarwalY08 
::Rajamani ::Ngai 
::943 ::Bases 
::1083 ::SIPPER 
::Xiong ::Gautam 
::1367 ::WangJT06 
::Obstacles ::Kong 
::Subrahmanian ::Yalamanchi 
::Constraint ::15310341 
::Sivasubramaniam ::Wilfred 
::4497554 ::Essence 
::Tracking ::SeshadriLR94 
::Predator ::Wook 
::V ::Directly 
::Relative ::Ang 
::Agarwal ::Mariano 
::22850693abs ::Zhiyuan 
::BabuMWM05 ::LeeLL06 
::312 ::rtdb 
::Lasse ::Concurrent 
::Goh ::Colors 
::Miller ::cs 
::22850518abs ::Fractal 
::119 ::116 
::DingCRTHC08 ::Malin 
::Bttcher ::126 
::Keijzer ::Salzberg88 
::Borkar ::Jan 
::Qing ::MorsePG06 
::FilhoTTF01 ::932 
::UNIDOOR ::WangZZ06a 
::22850804abs ::Thalhammer 
::Computations ::81 
::Restructuring ::KitsuregawaTM83 
::893 ::WuCL08 
::el ::15310271 
::Terzi ::Ulrich 
::Jayavel ::Maskey 
::Zhuge ::4497446 
::CareyL91 ::SherkatR06 
::Direct ::Queues 
::KashaniS08 ::General 
::Donald ::926 
::Tirthapura ::15310628abs 
::Chengyu ::GeorgiadisKCNS08 
::Loreto ::KellerB96 
::Directions ::Muralidhar 
::Mukherjea ::Cheong 
::Operation ::Uncertainty 
::GoldsteinRS98 ::15310483 
::Jagannath ::463 
::Keidl ::Lag 
::P276 ::XinH08 
::Kesheng ::Chita 
::Dominant ::Haas 
::Broadcast ::AilamakiGM06 
::1000 ::DaiKSTV08 
::Gawlick01 ::cgmOLAP 
::943 ::NgOT02 
::oodbs ::Geometric 
::Kahn ::Migration 
::Ivan ::Bloom70 
::Pathak ::1544 
::1950 ::4497568 
::Yueguo ::914831 
::cacm ::YangLYX05 
::22850118abs ::Pratik 
::Manfred ::1100 
::Bakalov ::Evangelos 
::Anomalies ::4497608 
::Operator ::WuB98 
::77 ::BohlenSS96 
::KamathAGM96 ::Guang 
::Amol ::326 
::Erik ::Gyllstrom 
::Sharma ::Savage 
::728 ::Lun 
::OgleS95 ::Kishan 
::54 ::Privately 
::Harold ::KeulenKA05 
::Intelligence ::1537 
::Tadashi ::914878 
::Gsta ::Condensed 
::Fromont ::Uchiyama 
::1013 ::GoelSYZ02 
::EppingerMS91 ::AcharyaAFZ95 
::Periklis ::660 
::Harchol ::Nicole 
::Views ::10010651abs 
::VrhovnikSRM08 ::HardwickSRM97 
::Grzegorz ::Hilda 
::MachanavajjhalaGKV06 ::ZhaoIG08 
::OLTP ::Sensor 
::HeXYY05 ::Subrahmanian 
::225 ::Draper 
::CormodeKT08 ::intensive 
::246 ::1433 
::278 ::Smalheiser 
::Bartlett81 ::Kaushik 
::Morse ::Mullin90 
::Optimal ::Kai 
::Ramkumar ::MoerkotteN08 
::4497404 ::WWW 
::316 ::ChangSZS97 
::Distributed ::SinghMSPHNC08 
::22850174abs ::672 
::Signal ::Delivery 
::228 ::Myoung 
::Brent ::Mediation 
::Ling ::Resilient 
::Interaction ::TaoXLZ08 
::592 ::Oguzhan 
::ECA ::22850388abs 
::GraefeM93 ::Discriminant 
::Processors ::22850533abs 
::MohanN91 ::Das 
::168 ::Nearest 
::Vlachos ::ProcessingWindow 
::358 ::Alomari 
::1036 ::914824 
::22850419abs ::Subsequence 
::ChengDNPKWAAFSSS97 ::348 
::Extension ::22850355abs 
::ShanADDK95 ::dood 
::IshikawaKOYKK96 ::XPaths 
::666 ::ShengHL06 
::Anurag ::Kanne 
::Abraham ::Olivier 
::1524 ::Widom 
::Pearson ::HollandG92 
::SedmidubskyBDZ08 ::BernsteinHG87 
::BrinDG95 ::Assertional 
::Chaudhuri ::AgrawalS94 
::GuhaK02 ::Apurva 
::Generalization ::Wolfson 
::Grouping ::Syan 
::MAN ::Gerald 
::Graham ::Flood 
::TaninHS05 ::Bryan 
::Sideways ::Sotiris 
::Imprecise ::RAM 
::Aranyak ::EppingerMS91 
::Now ::4497412 
::ChenH01 ::Alfons 
::SolworthO91 ::SeltzsamGKK06 
::Lieuwen ::IHE 
::Siong ::Couple 
::22850564abs ::Qixiang 
::dke ::LiHYX05 
::131 ::Yoshizawa 
::Inflationary ::Sven 
::NgOT02 ::Planning 
::Lyman ::AdibaL80 
::Latency ::Yan 
::Pui ::22850878abs 
::76 ::Mapping 
::Patrick ::483 
::4497497 ::Ian 
::4497522 ::Shukla 
::441 ::Delcambre 
::Yannis ::ZukowskiHNB06 
::1568 ::BakalovT08 
::BouganimFPV01 ::Hoffmann 
::Warren ::Tanu 
::385 ::Vineel 
::X06a ::685 
::459 ::Nath 
::Yifeng ::WilkinsonN90 
::Ramy ::CandanPS96 
::StockmeyerM73 ::317 
::22851036abs ::BhowmickP06 
::Olteanu ::Gunther93 
::Ehud ::SVG 
::BANKS ::Heikki 
::111 ::823 
::22850388abs ::IshikawaYIK96 
::209 ::AtallahCK08 
::Advancement ::1435 
::Musicant ::Harinarayan 
::Aggarwal02a ::392 
::4497627 ::Stocker 
::Ferlez ::SunPF05 
::1005 ::Iida 
::4497451 ::JermaineOY02 
::Nakhe ::TaoPZL05 
::Sky ::443 
::53 ::Stratis 
::697 ::Yuanyuan 
::Engines ::Sharing 
::Krithi ::Graphical 
::1150 ::Sarawagi97 
::sigir ::116 
::4497454 ::Akiyoshi 
::Trajectories ::4497439 
::Welch84 ::PatelD96 
::Praveen ::330 
::databases ::Margo 
::Determine ::Albrecht 
::PiatetskyF91 ::PnP 
::KoloniariP08 ::Wu 
::Kun ::22850552abs 
::Kam ::4497475 
::Timely ::BerchtoldEKKS98 
::LittleAFGRSV93 ::Silberschatz 
::Ken ::4497448 
::Shaull ::107 
::JohnsonK84 ::P201 
::Bausch ::ShengHL06 
::Structures ::175 
::Shmueli ::tois 
::Weifeng ::22850261abs 
::EdmundsMSS05 ::Predicates 
::Relevance ::Engine 
::level ::DCbot 
::276 ::Alex 
::Koloniari ::Wide 
::Bajpai ::1209 
::Cochinwala01 ::P558 
::15310697abs ::676 
::4497578 ::1445 
::Phrase ::FayyadPSU96 
::Preservation ::Fishman01 
::Thiagarajan ::Isolation 
::Lieberman ::Filtered 
::Shaped ::MOOLAP 
::ORDBMS ::Midflight 
::partite ::Mahesh 
::Tissues ::Agents 
::Silberstein ::Akiyoshi 
::Olu ::Anne 
::Wu ::Prefix 
::22851122abs ::Dual 
::1555 ::Cong 
::Davood ::Ryvkina 
::1322 ::914855 
::Takahiro ::Palopoli 
::Smodels ::Blakeley 
::Ad ::Indriyati 
::Rastogi ::Dittrich 
::Haritsa ::642 
::Service ::Marc 
::272 ::Mirek 
::SilbersteinBEMY06 ::Lois 
::XinH08 ::1048 
::AutoGlobe ::Rau 
::Ghaffar ::15310453 
::Iwen ::db 
::Set ::Keulen 
::join ::282 
::185 ::AfanasievGMRT08 
::Nambiar ::Zadrozny 
::Gerhard ::k 
::Loh ::Air 
::ChiS05 ::Kemme 
::4497563 ::1488 
::Aziz ::Crawler 
::HolsheimerKMT95 ::260 
::Sarawagi ::514 
::SinhaWWSS08 ::Gertz 
::Goldin ::Stephen 
::SchiwietzK93 ::Satkin 
::Approximating ::ipsj 
::Kotidis05 ::Roberta 
::Arno ::15310201abs 
::Alone ::4497536 
::AbiteboulK92 ::286 
::BrinkhoffKS93 ::15310419abs 
::BrantnerHKM05 ::7 
::HaraHTN98 ::802 
::Authorization ::Songyun 
::4497488 ::Djafri 
::Nearest ::69 
::Chaudhuri ::Understanding 
::1427 ::Web 
::Clients ::asplos 
::trees ::Update 
::fodo ::Arai 
::Tsukamoto ::Oracle 
::Ling ::Ayad 
::BilkeN05 ::Nicole 
::Gmach ::993 
::P220 ::SPP 
::RajaramanSU95 ::Haejoong 
::63 ::Load 
::Authorization ::556 
::LeymannR97 ::MehrotraG93 
::1551 ::4 
::1199 ::Robinson81 
::832 ::ZEBRA 
::Ugur ::Anup 
::Has ::1572 
::Maskey ::Grahne 
::1373 ::Hajj 
::1563 ::Pui 
::Gustavo ::Chiu 
::22850779abs ::Hierarchical 
::4497435 ::P108 
::465 ::Margaret 
::PuL91 ::Kyuseok 
::4497448 ::Atluri 
::1082 ::Fits 
::Categorical ::Keidl 
::AbulBN08 ::Factorization 
::1148 ::ONeilQ97 
::under ::Todd 
::Mauricio ::Optimizing 
::Oracle ::Diagnosing 
::579 ::833 
::Suleiman ::GareyJ79 
::Peers ::Fits 
::15310245abs ::OCallaghanMMMG02 
::WangLFY02 ::JinA06 
::165 ::1370 
::1103 ::Qiang 
::Hakan ::http 
::Shen ::Eltabakh 
::Orlando ::22850514 
::Savage ::COUNT 
::Davidson ::Djafri 
::Bloom70 ::Di 
::PagelSTW93 ::Nakamizo 
::434 ::MaddenG08 
::V ::Sujeet 
::15310583abs ::Tara 
::Regulation ::Maintaining 
::LeeHL08 ::ShivakumarG96 
::Menzo ::IpeirotisNCG05 
::Simple ::229 
::Enforce ::Kishan 
::SunAA02 ::4497621 
::DunnDDS02 ::Sakurai 
::146 ::Parallel 
::Prototyping ::Social 
::Pierre ::Hisashi 
::datamine ::ChawatheG97 
::ShivakumarG97 ::KoutrikaSI06 
::Kristian ::Auctions 
::Bry ::LowTLL02 
::Oguchi ::1059 
::ArocenaM98 ::22850254 
::Himanshu ::Girod 
::Dadam ::Hierarchies 
::Index ::Ioana 
::Sithirasenan ::GuptaM95 
::Jos ::DBMS 
::22850564abs ::Raschid 
::Image ::22850816abs 
::Nori ::Oracle8 
::Lutz ::Neil 
::1385 ::Enforcing 
::Re ::KriegelKPS08 
::1092 ::Banaei 
::10010071abs ::Structured 
::Correlation ::Takahiro 
::Dependencies ::563 
::Pitoura ::Frdric 
::1479 ::Fishman01 
::Olteanu ::SUBSKY 
::Muthuramakrishnan ::22851131abs 
::Immerman ::Manipulation 
::492 ::MansuriS06 
::CareyHL93 ::D 
::LakshmananSGK98 ::Sonny 
::Reality ::145 
::Tam ::LevyRO96 
::514 ::SchiwietzK93 
::Logan ::Cache 
::Hyun ::icmcs 
::Periklis ::RoussopoulosL85 
::15310706abs ::15310673abs 
::BerchtoldBK98 ::Event 
::Rosaci ::Hidden 
::Koch ::Bernhardt 
::Vikas ::Corruption 
::22850341abs ::Extracting 
::Mourad96 ::4497527 
::Jianmin ::21 
::SimitsisVS05 ::TaniguchiS05 
::1564 ::Preda 
::Method ::Reinhard 
::GrayR93 ::EvdokimovFG06 
::1444 ::Pitoura 
::JiangMCS08 ::7 
::BerchtoldBK98 ::Andras 
::Eenjun ::Ann 
::Querying ::303 
::Whang ::Traffic 
::4497636 ::WangXHZWZS08 
::BestR85 ::Wiederhold93 
::scheme ::4497437 
::Kalnis ::BrownH06 
::430 ::Runtime 
::4497524 ::914875 
::MoonWL01 ::FischerK05 
::BhalotiaHNCS02 ::Akiko 
::David ::AliCKR08 
::Boulakia ::EstanN06 
::Noise ::IC 
::Adaptive ::Chen05 
::Campen ::228 
::Stonebraker94 ::P134 
::Tsukamoto ::93 
::22850717abs ::OrfaliHE96 
::599 ::Latent 
::Elena ::Relevance 
::Memory ::147 
::Laboratories ::Pfoser 
::CastellanosBR08 ::Itemset 
::Cattell96 ::Chin 
::Yee ::663 
::10010173abs ::Theodoridis 
::Fernndez ::Agesen 
::Abdel ::PajarolaOSSW98 
::Mehr ::280 
::393 ::212 
::Spatscheck ::Ludscher 
::StonebrakerADLO94 ::Radeschutz 
::Sanjay ::Clusterin 
::Chamberlain ::Ioana 
::Tamer ::Lossy 
::Panayiotis ::SaltonWY75 
::won ::Commerce 
::Jost ::Untrusted 
::803 ::Spyros 
::22850916abs ::Morzy93 
::Kitagawa ::Sankaranarayanan 
::acm ::DayDIKG95 
::Frederick ::YounSun 
::granularity ::General 
::Searches ::Meichun 
::SegevP89 ::Dasgupta 
::Xuqing ::914819 
::Vikram ::Immerman 
::188 ::Fei 
::AkindJLS02 ::Jagannath 
::cover ::914828 
::Yuan ::544 
::Big ::Filters 
::1627 ::GeorgiadisKCNS08 
::Jagrati ::58 
::Quan ::Text 
::SegevF90 ::260 
::ViEWNet ::sub 
::GaoHPSA06 ::Peers 
::LjosaS08 ::Multimedia 
::Tran ::Super 
::Winslett ::15310593abs 
::Haritsa ::Georgiana 
::Sistla ::638 
::1470 ::NakanoIK98 
::Nie ::15310263 
::JainS94 ::472 
::Cubes ::GraefeL01 
::Redbrick ::813 
::1409 ::15310507abs 
::268 ::Coverage 
::371 ::X06b 
::Shuai ::Clip 
::Graefe98 ::Serap 
::3 ::Overlay 
::Out ::Krauthgamer 
::237 ::GuptaHR98 
::Bitmap ::ZakiP05 
::Zipf49 ::Congjun 
::1567 ::Gawlick98 
::ChenOR08 ::Venky 
::Managing ::716 
::Advancement ::Sequenced 
::1424 ::156 
::22850576 ::GovindarajanMV06 
::Dennis ::Chien 
::Rizzolo ::Ramakrishnan 
::MAFIA ::Cubing 
::Areal ::Bongki 
::Lupu ::Detecting 
::JadavGL97 ::JaffarYZ06 
::Hai ::Chiew 
::MoerkotteN08 ::Behzad 
::22850968abs ::Yifeng 
::Koudas ::Detecting 
::Obermeier ::Gil 
::Nita ::Dik 
::Mohammad ::4497598 
::BrinkhoffKSS94 ::22851120 
::Approaches ::271 
::Approach ::4497547 
::1330 ::Dense 
::22850949abs ::After 
::1100 ::Vaupel 
::Xingdong ::15310053abs 
::Saltenis ::MukhopadhyayP02 
::Foundations ::1464 
::Rantzau ::1544 
::Mondrian ::Jenkin 
::Suleiman ::Naomi 
::Oliver ::YiuJHL08 
::Siong ::Supervised 
::QiaoIAA06 ::BryCDFOS05 
::643 ::1209 
::YuC84 ::P380 
::Powered ::PageRank 
::1373 ::BrinkhoffKS93 
::Autonomy ::Regnier85 
::Gustavo ::ZEBRA 
::4497510 ::Telecommunications 
::Divesh ::Lossy 
::1052 ::Markos 
::422 ::Shrivastava 
::ChenJKKMNS01 ::Salka98 
::Brett ::Mehr 
::Descour ::Polynomial 
::Publishing ::TianP08 
::4497425 ::Marzouk 
::Fully ::Chih 
::LiuYT05 ::Zhe 
::AquaLogic ::1556 
::1131 ::Tat 
::EppingerMS91 ::pe 
::211 ::22850190 
::Shunsuke ::Uchiyama 
::RamamrithamSSTX96 ::Interpretation 
::ADEPT2 ::Cliques 
::Bitmap ::Shinjiro 
::1552 ::Majumder 
::4497571 ::Ioannidis 
::CasatiCPP95 ::WangPY05 
::Vladislav ::AITVS 
::Wombacher ::Supporting 
::GedikWYL08 ::HungDS05 
::AutoLag ::Christian 
::PhanL08 ::Grahne 
::Tier ::Chen05 
::SketchTree ::Delis 
::FarragO89 ::Kifer 
::Alex ::Okcan 
::Properties ::Henrich 
::Davulcu ::DongDong 
::AbiteboulCCMMS97 ::Regnier85 
::GanesanSG05 ::Stahl98 
::Patricia ::Winter 
::463 ::296 
::Rotem91 ::Yangjun 
::1382 ::Zhou 
::Balakrishnan ::Surajit 
::HuangD08 ::Tape 
::Nita ::Zhe 
::Rigsby ::Bhavani 
::Ludscher ::63 
::1524 ::Eugene 
::Meta ::983 
::33 ::10010071abs 
::Denny ::IvanovaKN08 
::Dimensions ::Controlled 
::PhotoSpread ::Smalheiser 
::Dinh ::ijcai 
::853 ::4497591 
::Controls ::MaddenG08 
::15310503 ::Shoshani 
::Szabo ::368 
::Alps ::Stanislav 
::Batched ::Beng 
::Corruption ::HuaPZL08 
::centric ::111 
::Platforms ::Krishnan 
::Koloniari ::from 
::Shmueli ::1536 
::Ludscher ::4497546 
::Measuring ::Communication 
::489 ::Silva 
::TsatalosSI94 ::Trombetta 
::Loosely ::MegalooikonomouWLF05 
::Subrahmanian ::Precision 
::Leymann95 ::Update 
::Bonchi ::4497512 
::1364 ::David 
::Navathe ::Mapping 
::247 ::PapakonstantinouAG96 
::Kraus ::22851061abs 
::MarianAKS05 ::Tuples 
::127 ::Nes 
::Piotr ::Olston 
::ShivakumarG95 ::Inference 
::Lychagin ::Friedman 
::Designer ::Hsu 
::Roller ::ONeil87 
::Surface ::McCannSD08 
::Batch ::mash 
::Xuemin ::Verifying 
::320 ::Vlastislav 
::1482 ::cs 
::864 ::Substructures 
::314 ::Authentication 
::KistlerS92 ::Yunjun 
::StonebrakerC05 ::Dual 
::14 ::27 
::1363 ::JagadishMS95 
::Oracle8 ::Leymann98 
::405 ::4497602 
::Arnab ::Boncz 
::72 ::Wynne 
::282 ::Provisioning 
::2005 ::Tilo 
::sigir ::Onizuka 
::1572 ::BentleyF79 
::1317 ::862 
::FudosPP02 ::Loredana 
::Ray ::Subsequence 
::10010661abs ::osdi 
::Berchtold ::YiLKS08 
::15310264 ::Annotating 
::BryanEF08 ::CammertKSV06 
::Jensen ::Lomet93 
::Hsu93 ::1322 
::Level ::Monitoring 
::EsterKX95 ::22 
::Vazirgiannis ::Hai 
::Sonny ::277 
::Numerical ::Daxin 
::YanOZ08 ::NieWWM06 
::Twig ::LOCUST 
::MudumbaiSSPB98 ::Sameer 
::316 ::601 
::666 ::Accessibility 
::Padmanabhan ::Date90 
::Alexe ::148 
::Gryz ::Avoiding 
::Luk ::LB 
::Dikaiakos ::466 
::1170 ::4497482 
::Resilient ::Sujeet 
::4497560 ::For 
::Ishikawa ::QuassWGHLMNRRAUW96 
::Chaudhary ::Hallett 
::AgrawalH05 ::873 
::AgrawalS89 ::4497566 
::Anonymization ::acta 
::Shyam ::ChakrabartiM98 
::P486 ::Top 
::Ravi ::Delcambre 
::Carson ::Ikeda 
::Ferhatosmanoglu ::Govindan 
::Strength ::Fegaras08 
::PageChaser ::acta 
::Enforce ::Skylines 
::Osman ::HuangD08 
::18 ::Aggregationin 
::DasCWAS08 ::Unlinkable 
::18 ::Style 
::PatonDWCDJ93 ::Primary 
::ChristophidesACS94 ::989 
::Freeston95 ::Three 
::4497523 ::Tanaka 
::TangYOW08 ::Caches 
::Anant ::DeeringC90 
::AgrawalJKL06 ::Lars 
::PETRANET ::Graefe 
::Transactional ::JagadishMR98 
::PiatetskyF91 ::HollandG92 
::258 ::KrishnaprasadLMWA05 
::15310333 ::625 
::Goldstein ::Nagaraj 
::Bedell ::LudascherGM01 
::ieeecomputersociety ::Koh 
::PeeryWMN08 ::Yap 
::GalpinBJFP08 ::YanZHY06 
::385 ::McCannSD08 
::592 ::Skyt 
::Authentication ::Stefanakis 
::1062 ::173 
::Bernhardt ::Concept 
::DescribeX ::Kanamori 
::Gregory ::346 
::Sarah ::EvangelidisLS95 
::XCut ::466 
::KonopnickiS95 ::22850606abs 
::Millions ::MeltonS93 
::PapakonstantinouGGU95 ::BeckerHF93 
::Kjetil ::64 
::2001 ::Linguistic 
::704 ::502 
::Rabinovich ::Gene 
::Ramasamy ::Kaushik 
::Cooperative ::Saltenis 
::425 ::15310329 
::Raghu ::Bernhardt 
::716 ::Heerde 
::11 ::Computations 
::Ohler ::HOPI 
::Halverson ::Sandra 
::555 ::Filtered 
::HampapurJW95 ::393 
::15310463abs ::Order 
::Recently ::BouganimFPV01 
::Xiao ::QuassRSUW95 
::Ramanath ::Jost 
::HeinzKRS08 ::SarmaTW08 
::843 ::SavasereON98 
::Pull ::Communities 
::ContinuouslyMoving ::Juchang 
::YanOZ08 ::Imperatives 
::Tamino ::MehrotraG93 
::HorwitzT86 ::Dictionary 
::Ertl ::Ferlez 
::Vetle ::229 
::Parallelism ::List 
::Wavelet ::Ouzzani 
::be ::Salem 
::456 ::Usage 
::Kraus ::914876 
::ShahR08 ::1485 
::P054 ::LiCKB06 
::Analytical ::Dayns 
::816 ::partite 
::Franoise ::Czajkowski 
::Stonebraker86 ::Tabular 
::216 ::LuoNEW05 
::Untrusted ::Kishiko 
::Ullas ::Fast 
::Resolution ::4497529 
::ChenCRM06 ::Manjhi 
::816 ::Mathew 
::Trade ::Saikat 
::Miner ::From 
::Diao ::Interaction 
::Theodoridis ::992 
::GuhaKSY06 ::Korth 
::4497604 ::YangSRG06 
::1612 ::15310685abs 
::Junyi ::GuptaCG08 
::Badillos ::Plans 
::Barzan ::Knowledge 
::P598 ::Junmei 
::AmzaCZ05 ::EllisG89 
::Nimrod ::Ilyas 
