Tyrone::LiuC08 HanYY06::Collections Wayne::256 ::4497503 ::Simon 
JagadishMR98::ChenWWM06 Compiler::Klemens Prasanna::Ian ::SismanisR05 ::309 
1579::Content 22851131abs::15310268 Vijay::Tuan ::Vijayalakshmi ::Graph 
Integrity::655 1447::German Luis::NagarajNRS08 ::327 ::KatayamaS97 
BouganimFPV01::914862 4497500::LiSDKG01 Caches::Xu ::Shixi ::185 
949::RaoLLPS01 Coverage::BertinoOYD05 AgrawalBGKLR05::Ramasamy ::Candan ::FayyadPSU96 
Directed::WhiteDJ96 1319::BodenCFKSSS95 Nakhe::1608 ::clustering ::MozafariTZ08 
Mukherjea::S Vlachos::Manikutty Alonso::Christos ::PeiHPCDH01 ::4497621 
Coordinated::asplos 295::ChiuehB08 Lychagin::Stop ::Moustafa ::Regulation 
4497565::4497521 Jost::BayerM72 Muthuramakrishnan::HorwitzT86 ::FriedmanBF77 ::Principled 
Xingdong::Venn Availability::1530 Lin::1608 ::Paton ::1460 
Warehousing::P036 Bhalotia::Green ebXML::bda ::Desmarais ::Sheng 
Mann::Ranking GruberKP01::1403 914834::914849 ::598 ::4497456 
Keulen::Region Masayoshi::484 Sarawagi97::HanFWCGKLLRSXZ96 ::RastogiS98 ::Tradeoffs 
Draper::Cache Similar::Cole Markov::ZhangWL08 ::1322 ::Simmen 
Murugesan::Weaver Kyuseok::ChenR94a deSign::Bravo ::1144 ::107 
P182::Riedewald 417::Join Jiawei::hpts ::Sang ::Bamieh 
Timely::1042 Draper::Workflows Ernst::Stahl ::RantzauM06 ::Tuples 
Jeyashankher::PETRANET MANETs::mash Swanwa::P254 ::De ::Reorganization 
Sources::1426 Soccer::Schiefer Architectures::434 ::sigmetrics ::WongA85 
Roger::Masatoshi tods::1238 Vectors::VaidyaC05 ::Congjun ::Tran 
113::22 Imperatives::600 Schroeder::Nilesh ::1369 ::Synthesizing 
Noise::1482 137::U BaralGS98::99 ::27 ::Discovery 
Narasayya::1429 AgrawalAKL06::Ntarmos Houman::algorithmica ::MuralikrishnaD88 ::Gal 
Ong::BrownH06 Portal::Paloscia Stocker::Ashutosh ::IR ::Defined 
LakshmananSS97::Upendra 22850069abs::Chen05 473::Motion ::1467 ::GaoZCLLC08 
Anja::KreplinZ01 22850258abs::Jabeen HungDS05::Mostafa ::InstantDB ::BaralGS98 
Mishra::Molina83 Savasere::Vetle Hoffmann::Jonas ::Naidu ::Leymann97 
491::545 P014::WolskiKP96 Nithya::455 ::Katayama ::272 
Koustuv::AssfalgKKKPR06 1524::HillyerS96 1624::512 ::1450 ::Atluri 
Shurug::4497565 Anthony::CaiHH08 Makoto::HaskinMSC88 ::4497413 ::Desmarais 
245::Adaikkalavan GutingZC89::4497629 Shadmon::Compliance ::Industrial ::Badillos 
Mourad::sigmetrics Allocation::ShatdalN93 Sridhar::HwangPS98 ::BrunoGM02 ::LeeCLNS94 
Marlon::crossref 4497544::1584 Advances::Towards ::AgrawalCD02 ::22851140 
486::Experiment Antoni::KiferKS92 Rizos::Wenjie ::666 ::15310261 
JakobGHN05::Goldstein 22850417abs::Suhre Factorization::JeungSZ08 ::Sougata ::P220 
Accelerating::SaltonG83 Azer::SrivastavaL88 Progress::P302 ::Telematics ::Semantic 
Balancing::4497539 4497528::Mingzhe ZhugeG98::Stoumpos ::ImielinskiB94 ::Understanding 
Charging::518 HuWLZX05::977 Qixiang::22851036abs ::Deep ::Industrial 
YangL01::MelnikGR02 cgmOLAP::isca Swart::Map ::Bertk ::Yong 
Tuan::Persistent 90::Correlated Queues::BeckmannKSS90 ::Filippo ::1003 
Kalnis::Heterogeneous AhmadABM08::P392 Melanie::GedikWYL08 ::LiSR92 ::Murali 
Guttman84::Systems 00::Exactly Melnik::Vries ::Processors ::Interaction 
655::420 ZhouZQZ06::Jost Hanyu::Leung ::15310191abs ::Hidden 
Seidl::4497456 Intersection::TsangarisN91 sp::4497548 ::Jagadish ::Meisen 
655::NeT Cesare::RAD Voronkov::Abdelmounaam ::Controlled ::AttieSSR93 
year::PhanL08 LeuteneggerL98::BatiniL86 Jeffrey::Skylining ::379 ::HornickZ87 
SkytJP02::HinterbergerMG94 Stop::WuCL08 355::Bertram ::1297 ::SilberschatzSU91 
Banich::Kumar05 PapadimitriouRR94::Suciu96 Norio::Lup ::Joseph ::isci 
Views::Kimball96 Bernedo::AmarmendAK06 adl::Video ::BernsteinHM90 ::Conditional 
455::KashyapRRS08 FilhoTTF01::29 4497485::1406 ::GubanovBM08 ::MukhopadhyayP02 
GyssensLS96::1441 1339::Toivonen96 Antoni::Popa ::BerchtoldBKK97 ::Xuegang 
296::Expiration P209::ShivakumarGC98 adl::Tolani ::AbiteboulMZ08 ::Welsh 
Jensen::GaoHPSA06 Pham::LentSW97 VrhovnikSRM08::Growth ::Production ::263 
C::22850705abs Imprecision::ChaudhuriDMN01 DCbot::Vladimir ::DiaoFFT02 ::MolinaGS96 
Anthony::Pablo Access::BonchiGLOPT06 Lyublena::Chang82 ::Ander ::Rhm 
Versus::Kalnis Fernando::Olivier Majumder::GhinitaTK08 ::Discovering ::Iyer 
22850298abs::KornackerB95 4497505::Qian Nicholas::Whang ::1145 ::Andras 
Approximating::529 Mamoulis::4497440 HillyerS96::Meo ::577 ::Tat 
KhoussainovaBS08::Sonny Guha::Ryo Recommendation::679 ::Probabilistic ::its 
JeungLSZ08::Changqing Multidimensional::SistlaYV97 1591::Guy ::Tracking ::P334 
Draper::Maya 330::Calders Brakatsoulas::Panagiotis ::Archival ::1450 
ShrivastavaMR08::Kubota GUI::MarcusS96 Monitoring::Nora ::P402 ::AlonsoC05 
ConsensRV08::933 ZhangCMS97::Lupu 4497535::15310393abs ::BlaumBBM94 ::NAPA 
Presentations::McWherterSAH05 Program::4497468 15310274::AgrawalS89 ::Historical ::Ramakrishna 
AlonsoC05::Creation Lim::Across 16::ChenDN02 ::301 ::1631 
Ramamritham::SarawagiS96 Nicole::Processors GuhaKSY06::105 ::Tamer ::Protocols 
HellersteinNP95::Bloom70 1160::WuDY06 LeymannR97::Rinku ::Katayama ::PapadiasT97 
BeeriR87::Chairs Sae::Huang Tiong::1148 ::Anirban ::Store 
916::Lot LegariaGGHSWYZZ08::Torlone 22850619abs::DeFazio01 ::FranklinZTCD92 ::Annotation 
ChangYDA88::Govindan Variable::Learning Lakshmanan::Yoshinari ::LiZBSZN06 ::Skeen 
Neville::Jia Feifei::ParkKL01 Ryo::Mohan96 ::4497479 ::PapakonstantinouAG96 
KeCN06::Hideo 1071::Muthuramakrishnan Join::4497613 ::Paradigm ::Grabs 
Mu::Maier83 Hongtao::939 Collaborative::oodbs ::LiLH06 ::CobenaAM02 
Molina08::KashaniS08 914871::Parking 566::Discriminative ::Bogdan ::Style 
NakanoIK98::McCann Gawlick01::Shawn Time::Techniques ::Colby ::Supratim 
Bruce::Smriti Moving::BurdickCG01 P154::FaradjianGB02 ::Grtner ::4497574 
Indrakshi::Strong 333::GrayR93 1370::Wisnesky ::Phrase ::anonymizing 
Stephan::22850693abs ShanADDK95::Kashima 466::Workloads ::Hisashi ::GoelSYZ02 
843::Domain 602::QiaoRNPCFRCYL08 1399::LimN01 ::Minghua ::Subscribe 
Fernandez::Skylines Quickly::ZhaoRTN98 Kam::PeiJZ05 ::future ::Ahmed 
914871::SEMCOG 4497440::15310103abs siamcomp::4497536 ::LiuHXS06 ::Pfeifle 
Qigang::Categorical 296::PabmanabhanG06 15310273::4497574 ::22850939abs ::Aggregation 
Accessibility::Michle FernandezA02::1137 Koudas::Sarawagi95 ::Elfeky ::28 
Phan::Galt Exponentially::Bulk KahveciS01::4497584 ::Meets ::ngc 
28::ChandelNS06 321::4497545 Bouganim::DeFazio ::ChaudhuriDK06 ::Views 
1426::Hamid Taylor::Schmidt Hartmut::Context ::Dalvi ::22850403abs 
Andrs::1001 DREAM::Idreos Media::ChenDZ06 ::BentleyF79 ::115 
SI::Architecture Cloud::EvangelidisLS95 BunemanDS95::Daniel ::ZhangG08 ::Generato 
Shivakumar::173 ChenOO08::Muse Ghinita::Song ::Benjamin ::4497433 
Rich::330 CallanLC95::Kim 4497557::628 ::mit ::Uncertainty 
CareyDNAGS97::Manjhi Bertino::ZhangTS02 Susan::4497526 ::301 ::Reducing 
22850322::AtzeniCB05 Ira::Goldstein Maier::Nasi ::Vebjorn ::Aoki 
Data::Hse 285::Next Skippy::Qin ::1084 ::Kanamori 
22851098::1316 Minh::1465 4497516::AgrawalS95 ::Bhlen ::SG 
KriegelKPR06::Palakal Filippo::Bhattacharjee Russakovsky::kdd ::PfahringerK95 ::Direct 
1113::426 914873::SedmidubskyBDZ08 Zaiqing::Equation ::Palakal ::Learning 
AggarwalY08b::4497635 Hse::IshikawaYIK96 1337::InstantDB ::RoschGL08 ::Assurance 
Le::IvesT08 Rong::Sanjeet 584::Calisto ::Ouzzani ::Sakellariou 
DebLRS08::Jiexing GyssensLS96::Miner Algebra::Abul ::LinVM06 ::Anant 
914870::Partial Evangelos::18 ManjhiSDO05::Tran ::Arshad ::158 
4497575::1405 4497473::Constantly Seung::Kanad ::4497627 ::KoutrikaSI06 
Weld::1357 Tamir::Evolution LuoJHYW06::Crowley ::LiuHXS06 ::4497480 
Flooding::Adjourn Christoph::Mirit WangM05::Erhard ::Khuzaima ::MukherjeeRS05 
Remote::WRAP Scene::Iwen Divesh::ChenLGKP94 ::NguGBCDB02 ::551 
4497602::HibinoR96 Legaria::HirataHTK96 Mittal::GuoSBS05 ::852 ::Gruenwald 
OSS::4497591 Benchmarking::4497486 Kaushik::189 ::Bry ::Snodgrass 
602::Walk FriedmanBF77::XDS Gunter::Jeffery ::22850118abs ::Kishiko 
280::Calisto Kundu::Research Experiences::Connected ::SunAA02 ::ChenCRM06 
Chaum85::Regulation Pryakhin::292 Matrix::Uri ::Taming ::Lorenzo 
Biological::Yasin Gu::Aravind LuVA08::1148 ::1623 ::Christina 
popl::NguyenKF08 Gounaris::YounSun Workflow::2002 ::P108 ::GeorgakopoulosHM96 
735::icde98 Periklis::Recycling 4497405::NeumannHM05 ::Tok ::won 
P600::Shunsuke scale::Koh Microarray::Cross ::Preemptive ::Tari 
Toman96::Walid Safeguarding::asplos Kifer::153 ::ReSF06 ::Mitchell 
Automation::Minji 180::Characterization AliCKR08::TataFS06 ::Networks ::GirodMNRTBM08 
Operation::15310503 J::Graphical Zhe::86 ::Tabular ::BlockeelCFGP08 
Antonio::Christophides CopelandK85::Murat 1381::AssfalgKKKPR06 ::Ayad ::Shasha 
Next::Aameek Wiwatwattana::pages Database::ACT ::791 ::GuptaMS93 
Ramaswamy::Sougata 913::Lyman CareyDFHMNSSTTWZ94::Multivariate ::Stacy ::1316 
Nambiar::Ghinita World::LindsayHM86 KapitskaiaTV97::753 ::Pennekanti01 ::Semantics 
Joxan::Govindarajan Verification::Bry 914846::Papaemmanouil ::RaoPML06 ::1324 
Shegalov::Gting Shaft::Johann RDB::863 ::Burke ::4497523 
1588::booktitle Riqiang::CormenLR89 Brzsnyi::Ordered ::NAGA ::Molina83 
Semantics::Hoyoung Leung01::Gruenwald 734::CareyDNAGS97 ::LiuHXS06 ::Alps 
BestR85::icde 1536::SalzbergT96 Qun::Hari ::nwosuTB96 ::100 
4497489::696 WiwatwattanaJ08::773 Aggregation::Objective ::Building ::Emeki 
Torvik::Quanqing 4497584::Alomari Stabbing::Gjergji ::AnHai ::KanoulasDXZ06 
P324::513 Implementation::Correction Bentley75::Rajamani ::Si ::LiL08 
Never::Guttman84 Ehud::Navigation Eenjun::Threshold ::Welsh ::NieWWM06 
Control::Felber 4497416::Loading Committees::Supratim ::AlonsoBC08 ::Jennifer 
Dogac::534 JagadishMS95::Salka Imai::Fault ::GruberKP01 ::Expressions 
4497413::Cubing Shinjiro::1491 380::HoutsmaS95 ::15310628abs ::1607 
914849::Hai Multi::4497587 Seeger::1035 ::Verma ::SilbersteinBEMY06 
ShashaLSV95::MendelzonW95 Donald::Tree 4497610::Ioannis ::PHASME ::Knowledge 
Architecture::914879 PopivanovM02::Inseok Relationally::DIPBench ::P412 ::282 
XM::426 icde98::Anonymity Gen::459 ::914851 ::22850186abs 
Hae::Ikeda 15310001::NET96 1435::Stockinger ::Ljosa ::686 
273::Extracting sigir::Werner End::meets ::914875 ::Krkkinen 
ChenL02::Nagesh Shaft::Augsten KhalifaJPWKS02::Ari ::Digital ::GongYQZ05 
Dual::Cluster ICDE::22851148abs Satkin::Shanmugasundaram ::Syeda ::Server 
LambLOW91::FAST Gemulla::4497513 Style::Weber ::Control ::Zezula 
KemperM90::Paraskevas 17::Rosa url::LiLL08 ::XQuery ::WangM05 
efficient::BittonMT89 Cai::Zilio P276::Date90 ::Scalar ::Marlow 
Reichert::Indexed Silberschatz::1149 120::Top ::32 ::Descour 
Biased::P558 Erdem::604 driven::YiuMK08 ::GeZ08 ::Wenliang 
Comparative::Yuen ChuDHH06::CocciTDS08 StearnsR81::Hash ::4497500 ::Capturing 
Outlier::Reviewers Traina::Ertl PopivanovM02::Link ::22850471abs ::KemperM90 
Bo::Hongtao Shahan::Morishima Triantafillou::Gencai ::2000 ::Parties 
Ifrim::VlachouDNV08 2001::Khalifa Product::ipsj ::using ::TsatalosSI94 
Resolution::Against Markov::827 WebOQL::Tomasic ::Sizov ::Amol 
LeeLL06::Issues Restructuring::Lung 1534::Elena ::22850186abs ::1095 
Condensed::Exploring 914874::264 Pankaj::ChenDER05 ::585 ::ObermeierBHCS08 
LjosaS08::725 Soccer::Sergio Kanellakis95::Tabular ::Kiernan ::Configurable 
Protocols::SheuW06 Extract::Ken Party::DescribeX ::1022 ::ChanFGR02 
15310706abs::Kifer Ziv::Elghandour DoanH02::GoldbergR83 ::636 ::PapadiasTKZ02 
DrivenWeb::LeungNM02 DebLRS08::1575 Scripting::Ludscher ::15310685abs ::Bilke 
Rantzau::Jeonghee Multiple::1592 22850322::AliZTK08 ::Choreographies ::Yufei 
76::under 4497505::Ferri NguGBCDB02::Andrey ::Gertz ::mg 
695::Kyun Fuxman::Scheuermann 4497438::Son ::AmzaCDKLRYZ96 ::Photos 
Byoung::4497602 Nobutoshi::Annita LB::Ramesh ::22850878abs ::Xin 
Rajagopalan::741 Feher::696 Lochovsky::313 ::Xiaopeng ::Structured 
Mauricio::Tiong 927::Paton 4497536::WangBTD08 ::MehrLLS08 ::Brett 
Ching::Chalamalla 15310263::Soccer 734::Concurrent ::4497558 ::Lo 
ChenDZ05::driven Bing::RamakrishnanJNKB06 Schlimmer93::MIC ::Tears ::KashyapRRS08 
Intensive::Grust Server::Brown Jensen::StoumposDKD08 ::File ::LeslieJBY95 
22850155abs::MorishimaNISK08 Oracle8::Tufte 4497422::Andrea ::GrayBLP96 ::Asuman 
dood::Mema P296::Murthy Zhuge::Resolution ::Das ::Mitch 
914833::SuleimanCF98 GADT::735 Charuta::Stphane ::Biton ::Porto 
AkindJLS02::1950 793::Analysis KhoussainovaBS08::ChenSZ05 ::Vaisman ::Torlone 
Rotem91::icml 431::Galt File::Relationally ::Brzsnyi ::Compressing 
Sanghyun::MummertES95 P542::4497413 Sreenivas::Transcoding ::ChenOO08 ::Patterson 
Livny::Rene Tiancheng::Mapping Schning::22850422abs ::922 ::Panel 
Yiming::KauT94 PeiHL01::Simmen Salzberg88::Right ::Nikolaus ::LupuY06 
Assessment::Aggarwal02 Scheduling::ssd 1998::Divesh ::914823 ::Vebjorn 
BulutS05::1140 914875::XuLTW06 153::551 ::AxPRE ::Computing 
Shneidman::Entity Structure::GrayC89 1391::734 ::Hiroko ::Xiang 
Filling::TrombettaJBB08 All::TangYOCW08 KornMW06::Hannu ::Influence ::22850890abs 
4497560::Mladenic 1518::Alessandro 406::370 ::Phan ::Nakhe 
Murali::GubanovBM08 KuwabaraT05::Ang 58::QoS ::1005 ::145 
1525::Neville 4497511::Xiaowei AbiteboulHB99::446 ::22850131abs ::CareyHL93 
Kato::JagadishMS95 nato::P036 1447::Sikka ::Yongluan ::Martinenghi 
BeckerHF93::4497585 329::XPath Siva::Callaghan ::Harumoto ::Erhard 
ECA::22850190 Real::Gal Daniel::JoshiJ06 ::StockerKBK01 ::ChenR94a 
Approximately::TaoPZL05 Watson::Structural KashaniS06::Hoyoung ::Xianghong ::jodl 
KashimaTINHEF05::326 GardarinST96::Ravada 22850487::Tanveer ::Transfer ::KetchpelGP97 
Kshitij::914858 StreamCorder::Supervised 2::P108 ::Burke ::Perfect 
internet::Timely Skylines::Watson Attacks::166 ::Peters ::Behzad 
Arnold::Takeshi Omran::CobenaAM02 Master::Outerjoin ::22850205abs ::Kjetil 
Chiusano::22850754abs Thresholds::Sander 260::BargaL01 ::Mikkel ::SuleimanCF98 
Documents::Chita cacm::1355 Teubner::Visualizing ::ManolescuP05 ::Bressan 
HammerST05::Kit Kishiko::Madhyastha HermanGLW87::Kuwabara ::Clifton ::15310567abs 
BestR85::37 RinardD96::Wlodek Jos::Wendy ::TangYOW08 ::Sudipto 
BlumrichLADFS94::Paradigm Meta::Arif Papapetrou::1003 ::473 ::LometBMS06 
Mann::Idreos Zaniolo::1169 Simon::Keyword ::icml ::Sequenced 
331::El Emeki::Ho Zhe::ShaoNS05 ::22 ::BinnigKLS08 
Prakash::Luping 22850242abs::1489 AgrawalCGMM08::Gupta98 ::72 ::Comer79 
Zhewei::FaloutsosBFHNPE94 Shen::BancilhonDK92 What::216 ::Kemme ::Franois 
Bradley::307 4497412::342 Krkkinen::Elizabeth ::dexa ::WuB98 
Matthias::Hu 455::Peers 957::usenix ::Yanlei ::211 
29::Luk Jasiobedzki::sigmetrics 4497530::21 ::ShkapenyukS02 ::353 
1595::its Trade::22850841abs 784::Xiaofang ::EllisG89 ::68 
Blok::Compiled SteenhagenABB94::Mahajan Tucker::Estimating ::Girish ::4497553 
Campen::ChangSZS97 Zhe::Tryfonopoulos Rinderle::4497526 ::ChanFGR02 ::Tufte 
ChengYDYW08::Sashikanth BernsteinHM90::4497506 Carson::Ester ::Larson ::Choreographies 
Westmann::XML Kanaya::Available Baralis::1467 ::OGormanAA02 ::Bestavros 
Latency::604 1110::914855 Outerjoin::22851147 ::Ubiquitous ::RoitmanGR08a 
StreamingWindow::tods Untrusted::Stacy KhaitanRJC08::WuEDCKAS08 ::DeFazio ::WongA85 
1397::Records FegarasM95::Auctions KappelS91::4497461 ::RaoLLPS01 ::sp 
Density::Scheme 58::Versus CQ::B+ ::adl ::693 
321::Replica HOPI::51 Koch::Seeger ::KreplinZ01 ::Areal 
58::BayerHR80 Natural::211 Kreher::Yongluan ::Kriegel ::1612 
Aleksandra::Shadmon Previously::TanselCGJSS93 MUSE::LeongS97 ::Area ::Partition 
Freire::Subbarao Kishiko::Usage Relative::Ross ::tit ::Retrieval 
compcon::Jabeen SilbersteinBEMY06::Ludscher Matthias::Jigyasu ::Sreeram ::Massive 
P550::Underprovisioned 169::LoR94 Lin::Series ::WuWLM06 ::Complexity 
Manipulation::Compressing Scale::Farhana Change::Vectorizing ::1258 ::108 
Development::Shyu Freksa92::Bohannon Qiong::Zeldin ::Sismanis ::Elhadji 
Participants::LehnerCPZ01 LuccheseVRY08::4497407 Teaching::266 ::Nodira ::Partitions 
90::Protocols Burdick::Feedback 68::SinghMSPHNC08 ::Nicole ::Set 
Dominance::Subbarao Obstacles::Ganesan Burke::FegarasM95 ::Spyratos ::P314 
Ziyang::Leo 529::InanKBS08 Partitioning::Hannu ::MarcusS96 ::ReissRKZV08 
GareyJ79::Maier Brown::Selinger Sagawa::Nectaria ::15310337 ::545 
15310492::BrantnerKMH06 Christina::BuccafurriRPS02 Hilda::Repairable ::Tingjian ::Estimator 
1396::914809 LakshmananSGK98::Shapes Ning::Borealis ::Ali ::487 
MengLWG02::Ad HeS06::Govindarajan 1473::Reduction ::ZhouYGCD08 ::15310639abs 
BorgBGHO89::Aziz 22850968abs::Event Yingqi::Determine ::Squicciarini ::Lutz 
Remote::Mendez 1382::Batched Development::Bugra ::Collaboration ::toWeb 
Smalheiser::1036 Osman::Nita Kishan::by ::ChakrabartiM98 ::BitonBDH08 
Making::Isolation Ertem::Kihong Implementation::Patel ::Resources ::Opportunities 
Ping::BohannonPRSSS96 ChaudhuriDMN01::Bishwaranjan 174::Tat ::Array ::Guan 
GalpinBJFP08::Flooding 4497475::Chowdary Singh::X06b ::Salt ::Reorganize 
Footprint::TelegraphCQ Henrich96::Ullman97 Batch::735 ::Kreher ::Ester 
Loosely::235 KumarLMT08::Watson ChawatheAW98::4497583 ::57 ::GeZ08 
P066::CarterBZ95 43::Cal Zaane::1396 ::Jacobsen ::Djafri 
Hnle::Rishi Houtan::Netz 598::VeeSSBA08 ::Harald ::Ash 
ijcai::67 1488::Seluk Natural::1423 ::1267 ::LaiTB05 
Laura::Xiaopeng Babu::Stonebraker91 P220::1485 ::Horibe ::4497423 
421::483 Chowdary::OptimAX Wenjie::GeorgakopoulosHKM94 ::Format ::Deductive 
Paloscia::Wlodek Preference::jcss Jiaheng::GyllstromADI08 ::HasanM95 ::Pinto 
Chris::Cerquitelli Schneider05::389 LiuYGS98::345 ::Abbadi ::Vineel 
Donald::54 author::Alan Maps::Haibo ::Skeen02 ::22850853abs 
4497502::626 1391::GeorgakopoulosHS95 Annotator::With ::Tat ::Mass 
Alvaro::KitsuregawaTM83 Bloom70::Engovatov 914877::AbiteboulQMWW97 ::Vee ::How 
Wang::PadmanabhanAMJ01 Wang::Unified KimPC01::Harinarayan ::KriegelKPR06 ::1321 
968::Leung ChenHS02::Shinn Snodgrass::Popa ::Khoussainova ::Navigation 
Fischer::Nicklas Sheu::4497440 715::StonebrakerADLO94 ::Thalhammer ::15310261 
Terabyte::Kambhampati Galt::22850329abs 1296::Databases ::ACT ::244 
Mohamed::ds ShenSYZC06::Hoare69 Coarse::CeriW91 ::MudumbaiSSPB98 ::HershbergerSS06 
Client::4497577 4497622::GrustKGHS97 LimN01::Hongyan ::Neel ::Shunsuke 
Vijayalakshmi::358 1328::445 208::Denzel02 ::Vassalos ::Chee 
1607::4497529 Multi::W aware::LakshmananSS97 ::Hetal ::1072 
iandc::Azar Product::Panagiotis Deb::Subset ::Specialization ::593 
Andritsos::Right Markov::JohnsonMSS08 Transfer::PfahringerK95 ::Prioritization ::Borr81 
Reorganization::Transparent Wai::Algebra MorishimaNISK08::15310341 ::internet ::Clusters 
RotemZ95::Yin Ninghui::15310212abs Mohan::avi ::P578 ::HenrichHSW91 
VelegrakisMM05::Gignere 1414::WilkinsonN90 Yiheng::Lieuwen ::Jinze ::StreamingWindow 
Weihl88::15310268 StreamingWindow::Producing Moss::Rishi ::Hari ::312 
Point::Guided You::Authorization ProcopiucS08::Warehouse ::BeeriR87 ::KornMW06 
Fetching::Clark Rajeev::Alborzi TsangarisN91::JohnsonS97 ::BlossomTree ::Hongjun 
Gil::IshikawaK93 4497570::Muhammed 242::Tarik ::Asl ::15310697abs 
MolinaGS96::Mei Chasing::Dictionary Stephanie::1473 ::Eltarras ::Their 
Mirco::Tool Changing::BhideCGGMPRRS08 Hilda::Morishima ::Khatchadourian ::UchiyamaOH05 
AgrawalCGMM08::Popa Barton::P601 sigmod::PeeryWMN08 ::BohmHLW08 ::Theodore 
Lal::Methodical Burns::Christopher Subset::BINGO ::54 ::Boulakia 
SenR05::1084 WuCL08::Astoria 1337::Now ::ArocenaM98 ::Remote 
Gerhard::Ivan Vinayak::22851140 BonczQK96::Murat ::23 ::Atluri 
Siberski::Lin JohnsonS97::Evaluating icmcs::NguyenD08 ::Huhtala ::816 
BalkeNST05::ONeil87 HeinemanK97::Wolfson RabinovichBGLMM98::Social ::Wisnesky ::Mehrotra 
Maarten::Palios 914863::814 Lead::Bentley75 ::Milena ::1394 
Labels::JagadishMR97 Amza::GuptaCG08 Christos::Jimeng ::1100 ::from 
DalkilicGR97::Sardar 388::KashaniS08 BerchtoldBK98::Tiancheng ::Rahm ::Selecting 
KashaniS08::code Dam97::Driven 1509::Tiancheng ::Thu ::BohannonFRS02 
LiC98::tree Cheung::ROL OrfaliHE96::JefferyAFHW06 ::Tadashi ::Liu98 
Documents::CosmadakisK86 SilbersteinBY06::Spatial Patricia::SrivastavaHMKT06 ::69 ::Sharing 
Cordova::22850081abs Enhanced::Hetal 914872::Trends ::Ontology ::Shahan 
William::Marcelo 340::Leakage Schallehn::DasguptaGJSV05 ::GareyJ79 ::691 
Calders::Carminati ZhangLXKW06::ImielinskiB94 1107::Pull ::1306 ::Hibino 
Takahiro::Hoare69 Protection::LiuYT05 Widom::Seltzer ::Asymmetric ::15310309abs 
15310473abs::Xie Feifei::MartinGH08 55::Vectorizing ::Evaluation ::Alan 
TrombettaB06::KuwabaraT05 html::Committee 453::RelaxImage ::Junmei ::Histograms 
Chen::Shahabi Correction::Hetal 15310357abs::BeckmannKSS90 ::Gounaris ::Construction 
ZhangTS02::Nodira KanoulasDXZ06::YangLYX05 Ge::Workloads ::partite ::516 
P302::Made Yuen::BulutS05 Ji::1099 ::Perfect ::Kimball96 
230::Eduard Bravo::Definitions PC::368 ::Tape ::Overlapping 
Recognition::Atallah Orenstein91::1307 1159::JiangVBCB05 ::RAIDs ::993 
SinhaWWSS08::1144 Haslam::673 BentleyM80::LinVM06 ::Miller95 ::Filling 
Dependent::Tassa BOXes::234 Leslie::Bringing ::22851073abs ::496 
Atri::Aliekber HarrisonD92::502 Alejandro::LowTLL02 ::ChenR05 ::Ladin 
LiuP95::CQ Torsten::Ding WeissDG95::Importance ::Ahmet ::Relaxation 
523::Reasoning Govi::Summary 914845::EELs ::Nabar ::DeRoseCGSDBZ08 
Concurrent::22850533abs 419::Jia 914824::317 ::535 ::LianC08 
1005::MukhopadhyayP02 ChenRDEGS06::ssd Yahia::728 ::655 ::1483 
473::Taylor Transaction::914874 Dominance::DeWittG92 ::220 ::260 
SchiwietzK93::Aliekber 22850459abs::Stanislav Kossmann::Hsu93 ::Kwong ::ZhaoRTN98 
Native::Containing Sarawagi95::AbiteboulHV95 SCADDAR::ZouC08 ::Gruenwald ::Gautam 
HP::Graphics Takashi::HaraHTN98 Platform::KlemettinenMRTV94 ::14 ::Leskovec 
In::Techniques Tier::BernsteinHG87 Prefetching::Beckmann ::616 ::60 
Chin::1998 Buffering::Fernandez Murali::Extending ::Fault ::Sidle 
37::Asynchronous 22850434abs::IdreosTK06 RajaramanSU95::Karras ::Traceability ::Caches 
v8::AbiteboulQMWW97 Inan::Thu ee::FayyadPS96 ::BrunoGM02 ::Papotti 
369::Chih Liu96::Jagan Mingzhe::10010121abs ::Gen ::Memos 
SankaranarayananAS06::Lan JermaineO02::1467 Structural::Networks ::Provable ::4497420 
Takeshi::Nicola DeshpandeH02::22851145abs Yossef::LimB08 ::CormodeMZ06 ::Munagala 
ONeilWFCM98::Johnson98 Kai::Pavel Feedback::Aranyak ::PrefixSpan ::22851147 
jacm::Sanghyun 436::4497492 Christopher::456 ::Arijit ::Exploratory 
Arthur::Theoretic MittalHH01::Judice CLICKS::Mahadevan ::Location ::Wolski 
good::Davidson Samples::GuptaJM96 HoutsmaS95::Ariel ::4497626 ::LuoNE02 
Yuni::Sugata Verifiers::22850174abs Shapes::BernsteinGWRR81 ::Chairs ::Traina 
