::Bentley80 ::81 
::Calton ::46 
::Ehud ::etintemel 
::Per ::OwickiG76 
::Nagesh ::Dadam 
::BerchtoldKK96 ::ChenDN02 
::Outerjoin ::2001 
::Atzeni06 ::JohnsonS97 
::324 ::SrivastavaDJL96 
::Carlos ::Fegaras 
::15310276 ::208 
::Steven ::1384 
::4497426 ::Thuraisingham 
::Engovatov ::1482 
::1098 ::ShahR08 
::Si ::The 
::4497492 ::StonebrakerC05 
::BunemanCFHMV05 ::Gone 
::Structured ::Brown 
::Regular ::Skippy 
::Ioannis ::Trombetta 
::Claudio ::Dhamdhere 
::SilbersteinHYY05 ::Entity 
::Marios ::Framework 
::ArefS94 ::HeXYY05 
::Jeyashankher ::KamelF94 
::Inferring ::Itemset 
::P458 ::SmythG91 
::WangPY05 ::StonebrakerADNR93 
::X06c ::NakamuraE02 
::Mark ::MuralikrishnaD88 
::Mathew ::ipsj 
::Increasing ::Rasin 
::ColbyCHJJMSW98 ::LiBRHCN05 
::YiN05 ::Annotations 
::Man ::icdcs 
::15310117abs ::P351 
::Manolis ::KamelF93 
::PDM ::Prabhakaran 
::Cross ::Potamias 
::as ::Shoshani 
::153 ::4497453 
::KellerB96 ::Expensive 
::Controls ::Links 
::Wrapper ::Activities 
::Yipu ::RantzauM06 
::270 ::MalinS06 
::973 ::FarfanHRB08 
::4497415 ::Duplicate 
::KeijzerK08 ::Quickly 
::Flexible ::COLR 
::PapakonstantinouGU96 ::RoussopoulosL85 
::AbiteboulHV95 ::Xingquan 
::GreifSW86 ::Mazza 
::1451 ::Dai 
::Hilda ::Rigsby 
::Arumugam ::BatoryBGSTTW88 
::Kreutz ::Comparative 
::hoc ::Sheu 
::Merging ::GionisMT08 
::Yasushi ::Cobena 
::Bertram ::Statistical 
::1144 ::Hambrusch 
::417 ::335 
::Barton ::Burst 
::Sandra ::Ramez 
::Ghinita ::Simoudis 
::22851141 ::Bertino 
::Schemas ::ds 
::914819 ::Angel 
::601 ::ICDE98 
::German ::Needs 
::CammertKSV06 ::56 
::Arocena ::l 
::Wendy ::ZhangS06 
::Quang ::Rasin 
::ONeil87 ::295 
::Tamer ::Jasmine 
::179 ::StonebrakerRH90 
::Bernedo ::TangYOCW08 
::Klaus ::Verification 
::Ahmad ::Krithi 
::Federations ::Chung 
::BernsteinHG87 ::Meets 
::Grobelnik ::Ambuj 
::CopelandK85 ::Dinh 
::PapadiasTKZ02 ::Miah 
::KamelF94 ::P294 
::QinQZ06 ::Friedman 
::StodolskyGH93 ::Lewis 
::240 ::KolliosGKB01 
::Mauroux ::Assent 
::15310327 ::Shneidman 
::Tsukamoto ::1048 
::15310093abs ::Bloom70 
::About ::Suleiman 
::15 ::217 
::Kishiko ::Browser 
::Zuzarte ::Client 
::Lists ::Topol 
::Anish ::Proactive 
::604 ::Making 
::Bates ::AgesenBPT01 
::Bases ::Shalem 
::Changing ::Prabhakar 
::1035 ::245 
::Airoldi ::Takegawa 
::1111 ::WRAP 
::Silvia ::Bravo 
::828 ::Patterns 
::Sriram ::4497599 
::tods ::Yunjun 
::Reducing ::Barzan 
::Debate ::h 
::Allocation ::P324 
::Bogdan ::WhiteDJ96 
::15310267 ::Fatih 
::DongDong ::Casati 
::Farhana ::Minh 
::Rys01 ::Their 
::Velegrakis ::Lam 
::Alternative ::LeungWL89 
::GraefeL01 ::Krompass 
::Aberer ::Fingertips 
::ArumugamJ06 ::229 
::Hannu ::Dependency 
::Untrusted ::KauT94 
::Yfoulis ::GrayCBLRVPP97 
::Fishman ::Winslett 
::Kevin ::Tradeoffs 
::Queuing ::Ownership 
::DeWittKOSSW84 ::Jagannath 
::Partially ::P436 
::Narayanan ::Subspace 
::Bakalov ::P192 
::Atzeni ::4497438 
::LeeLL06 ::within 
::Anup ::Scale 
::Navathe ::Kam 
::Clusters ::Never 
::Coupling ::Statistical 
::Rinderle ::Ben 
::Norm ::FAST 
::291 ::IshikawaYIK96 
::Outsourcing ::TelegraphCQ 
::Copy ::Murat 
::Harold ::GoldinK95 
::jacm ::GADT 
::Goldin06 ::MendelzonW95 
::1307 ::Wiederhold 
::Elmeleegy ::Lucchese 
::604 ::Anant 
::Secure ::Stefanie 
::Gudes ::Yalamanchi 
::Mehr ::Campen 
::Eberhardt ::Vaisman 
::InstantDB ::225 
::22850069abs ::HasanM94 
::Algebra ::Deligiannakis 
::Habich ::Aravind 
::Welcome ::Masayoshi 
::Bhat ::Soo 
::Sandeep ::Very 
::SQL ::Ogawa 
::Shivnath ::Informative 
::KitsuregawaTM83 ::Bhavani 
::Wisam ::Wei 
::PetitTBK96 ::fodo 
::YangL87 ::1375 
::JigyasuBBCDMT06 ::JinXDW02 
::Workloads ::Shaull 
::672 ::Ching 
::Committees ::Usage 
::etintemel ::Indyk 
::IR ::Resilient 
::Fishman01 ::Shawn 
::Kahn ::AutoGlobe 
::Skyt ::1516 
::George ::Ada 
::Jianping ::15310357abs 
::X06a ::AhmadN08 
::DayalHL90 ::852 
::Anurag ::Banaei 
::Antonios ::Goldin 
::P069 ::15310117abs 
::506 ::1141 
::BlaumBBM94 ::15310593abs 
::HuangSW94 ::Merging 
::Kristian ::ImielinskiB94 
::4497463 ::4497596 
::Jagan ::SCADDAR 
::Chatziantoniou ::HernandezPVMNH02 
::LiH89 ::311 
::Tony ::10010131abs 
::Hou ::15310617abs 
::Kotidis05 ::Andrzej 
::Goyal ::22850324abs 
::Ray ::NussbaumerPSS95 
::4497459 ::4497545 
::Evolution ::Mendez 
::Wenxin ::Enabling 
::791 ::Triage 
::1082 ::HanFWCGKLLRSXZ96 
::Snake ::MogiK96 
::4497568 ::Jimeng 
::Links ::1418 
::Gokey ::Pedersen 
::WebIQ ::Shu 
::Song ::4497558 
::Al ::Alberto 
::Balaporia ::4497436 
::Spannagel ::Robust 
::214 ::260 
::593 ::Sergei 
::AntovaJKO08 ::Style 
::Hsiung ::AbiteboulHB99 
::Legaria ::Weikum91 
::Papotti ::JagadishMS95 
::MyllymakiL95 ::Arif 
::Srini ::Lois 
::Chai ::Silva 
::615 ::1024 
::Ferrari ::Synopsis 
::Polyviou ::AgrawalFS93 
::Serap ::523 
::Composite ::ibmsj 
::521 ::316 
::Freiwald ::Laura 
::Decker ::Mahmood 
::Gong ::328 
::1543 ::ChenJKKMNS01 
::Ryan ::Vazirgiannis 
::TolaniH02 ::Error 
::InanKBS08 ::WangL08 
::4497460 ::Han 
::Kristian ::Carla 
::Joachim ::1337 
::ZhangLW08 ::Kolovski 
::Provide ::IvesT08 
::1322 ::53 
::MartinGH08 ::Ip 
::62 ::521 
::MalinAEL05 ::Revisited 
::Inter ::Vrhovnik 
::Mumick ::314 
::Pautasso ::4497633 
::HuangG01 ::4497536 
::Shrivastava ::XGuard 
::22850020abs ::DeshpandeH08 
::Norio ::Triantafillou 
::Halpern ::BoberC92 
::Sadhukhan ::ZhangOAI06 
::4497430 ::Tao 
::P412 ::Protection 
::Carsten ::4497466 
::Surrounder ::CastellanosCSD05 
::171 ::40 
::Pui ::10010473abs 
::KaufmanR90 ::Pitoura 
::296 ::Guha 
::Huiming ::Standing 
::Divesh ::GangerK97 
::22850230abs ::Allen83 
::Alessandro ::Denny 
::Designer ::Facet 
::Stratos ::Dimension 
::Denzel02 ::914827 
::191 ::Carsten 
::HinterbergerMG94 ::Korth 
::15310697abs ::Anh 
::Xiaochun ::Manfred 
::ATM ::Chrysanthis 
::1373 ::824 
::SismanisR05 ::348 
::1052 ::popl 
::C98 ::Orenstein91 
::MelnikGR02 ::914838 
::15310639abs ::SeshadriLR96 
::P105 ::Kee 
::Marc ::AhmadPCR08 
::Semistructured ::22850717abs 
::P259 ::Propagation 
::Exponentially ::Sarbanes 
::HjelsvoldM94 ::LeungNM02 
::BertinoK89 ::Leo 
::CormodeMZ06 ::CocciTDS08 
::Ester ::ReSF06 
::WangY02 ::Mishra 
::GuptaHR98 ::1603 
::Almeida ::Smoothing 
::Maintaining ::Seluk 
::Mittal ::235 
::Eunus ::Shuang 
::KreplinZ01 ::ZhangPW08 
::Naidu ::Ouri 
::db ::KochSS08 
::Seluk ::LambLOW91 
::Mason ::627 
::Dittrich ::1536 
::Mehr ::Samet 
::4497443 ::Kenneth 
::Sunita ::Load 
::PrabhakarAAA98 ::Revisited 
::1052 ::Cranston 
::Bhargav ::Ferlez 
::Continuous ::53 
::End ::Rimma 
::Stavros ::Anirban 
::without ::Buccafurri 
::MannilaT97 ::LeuteneggerEL97 
::Rahm ::Tanveer 
::CherniackZ96 ::IshikawaYIK96 
::Haruo ::Coordinate 
::22850549 ::Object 
::Maskey ::ShimSA97 
::FlescaFG02 ::Sengar 
::Electronic ::Hsu93 
::Dense ::Miron 
::toplas ::Gil 
::ShenSYZC06 ::Approximated 
::BohmPS06 ::Transaction 
::Mohan90 ::465 
::Joxan ::600 
::Scrutinizing ::22850143abs 
::Ashraf ::Dimitrios 
::Sundaresan ::Renner01 
::Marko ::112 
::Schiefer ::Felber 
::Merging ::4497415 
::Feature ::Upendra 
::Bates ::Spreadsheets 
::PhotoSpread ::BouganimDV96 
::Broken ::22851106 
::MaurouxAF06 ::Balachander 
::Pathak ::Beyond 
::15310494 ::Iida 
::Kenny ::1470 
::MorishimaNISK08 ::Dimension 
::Configurable ::Clement 
::Stolte ::Balazinska 
::Ilyas ::networks 
::Afanasiev ::EsterKSX96 
::Liadan ::Luc 
::4497503 ::Skyline 
::302 ::471 
::Redo ::MunakataJ94 
::103 ::Junyi 
::Background ::Subarna 
::Heinlein01 ::Noise 
::Mukherjee ::Houle 
::tse ::GedikWY08 
::Advancement ::Art 
::Exponentially ::Walk 
::Naidu ::BouganimFV96 
::QiaoIAA05 ::Naomi 
::Directly ::their 
::Trends ::Georgiana 
::697 ::Gio 
::P324 ::Space 
::Nagesh ::Mohammed 
::RastogiS98 ::Rimma 
::Visualizing ::Herbert 
::Shweta ::Tu 
::P259 ::ShenSCT06 
::22850205abs ::Bruno 
::Tomography ::Similarity 
::TsatalosSI94 ::pdis 
::Multiple ::TAILOR 
::Systems ::1143 
::ZivL77 ::Incremental 
::Counts ::Himanshu 
::JohnsonK84 ::Samet90 
::Fits ::1248 
::AyadNWS06 ::544 
::Li ::GanesanSG05 
::Sanghyun ::Harchol 
::22851120 ::Adjoined 
::353 ::AutoGlobe 
::Chih ::ChandraV85 
::Independent ::Zadrozny 
::Elmagarmid ::Aggarwal02a 
::GoldingBSSW95 ::Cordova 
::Ioana ::Serializability 
::Structures ::Tag 
::914851 ::Watson 
::Protection ::1363 
::Application ::Ambuj 
::317 ::Heikki 
::SmythG91 ::Mamadou 
::135 ::HjaltasonS95 
::Ngai ::mk 
::KoutrikaSI06 ::1200 
::Antti ::LakshmananSS97 
::Jost ::Vaisman 
::Applications ::CormenLR89 
::ReichertRKD05 ::DescribeX 
::Daniele ::K 
::Trajectory ::Mohan96 
::Software ::4497489 
::Approaches ::ShimSA97 
::Compiled ::Pandis 
::Yossef ::Kossmann 
::SavasereON98 ::KaF02 
::15310335 ::KhalefaML08 
::Yuanyuan ::15310492 
::PageRank ::295 
::224 ::P456 
::106 ::Liuba 
::Duplicate ::Enforce 
::1042 ::Preda 
::DimitrovaG94 ::1266 
::893 ::914857 
::Design ::4497426 
::Neighbor ::Against 
::WangCPFM02 ::HuWLZX05 
::Boualem ::BunemanCFHMV05 
::Kreplin ::Usama 
::Cameron ::Ippokratis 
::4497568 ::Yu 
::Graciela ::902 
::Neighbors ::GrayC89 
::Errors ::Lieberman 
::Distinctiveness ::Speeds 
::Elmagarmid92 ::Gehrke06 
::Mazza ::Chalamalla 
::4497453 ::521 
::15310283 ::ShimSA97 
::acm ::298 
::SegevP89 ::Numeric 
::Latent ::P351 
::602 ::oodbs 
::4497520 ::NaackeGT98 
::Lehner ::1620 
::1348 ::10010215abs 
::Vladislav ::Wiwatwattana 
::666 ::AbererH02 
::KaufmanR90 ::KimP88 
::Pointsets ::Mittal 
::4497451 ::1471 
::Pankaj ::127 
::Bonchi ::Schmidt 
::314 ::PietzuchLSRWS06 
::Georgia ::List 
::Wai ::WiwatwattanaJ08 
::Active ::Interpreted 
::136 ::Koudas 
::4497398 ::15310262 
::ChawatheAW98 ::Jonathan 
::15310419abs ::Aberer 
::Peer ::Passing 
::Plans ::4497457 
::102 ::BrantnerKMH06 
::Flexible ::Henrich98 
::1603 ::Kshitij 
::Ertl ::4497627 
::Ravada ::author 
::Bentley75 ::1103 
::22850242abs ::Inverse 
::GuptaM95 ::DengDRZ08 
::Salka98 ::Balter 
::isci ::714 
::Jayant ::Batched 
::Cinzia ::Fudos 
::Manocha ::Melliyal 
::BanerjeeC98 ::GaoZCLLC08 
::Pedro ::264 
::Filippo ::Bloom70 
::Tamer ::Xiaoxin 
::Weiyi ::SVL 
::artdb ::Abdel 
::DSI ::22850388abs 
::1107 ::Numerical 
::Iman ::Concept 
::Wenxin ::901 
::BeckleyER85 ::KemperK93 
::Asynchronous ::Map 
::Zimmermann ::Focused 
::Draper01 ::Djafri 
::Salvatore ::LjosaBS06 
::Neighbors ::Sivasubramaniam 
::Harald ::WolskiB98 
::Debate ::Rao 
::22850020abs ::Specifications 
::Sanjeet ::Enforce 
::Ferhatosmanoglu ::Dissemination 
::Mix ::Anh 
::Rys ::Helen 
::NaumannHTHM02 ::osdi 
::Windows ::SrivastavaHMKT06 
::Ping ::He 
::Bolin ::TanGO01 
::1628 ::CarterBZ91 
::Yiu ::FranklinCL92 
::Indrajit ::BunemanDFS97 
::Incorporating ::1082 
::Synopses ::Robust 
::PapakonstantinouGGU95 ::Materialized 
::RelaxImage ::subrahmanianJ96 
::Your ::AttieSSR93 
::1121 ::LehnerCPZ01 
::Desmarais ::147 
::LuoWL08 ::Malik 
::Bruce ::Prototyping 
::1148 ::AggarwalY08a 
::4497455 ::Hnle 
::HullY90 ::200 
::Luigi ::SheuW06 
::654 ::Marcelo 
::Xiaowei ::Main 
::Samet90 ::P201 
::Arai ::HuangD08 
::R ::SVL 
::AbiteboulMPPS08 ::BryanEF08 
::Constantly ::1409 
::BohmMW01 ::Estimators 
::Felipe ::15310639abs 
::434 ::Shahan 
::Wilson ::Juha 
::Ray ::914850 
::Federations ::Nicolas 
::CQ ::Reynold 
::4497463 ::70 
::Xuegang ::ChenOO08 
::Cui ::22850485 
::116 ::Rene 
::732 ::designed 
::Davood ::ChaudhuriGK06 
::Huiming ::Bird 
::GrabsBS01 ::WilschutFA95 
::OLAP ::22850386abs 
::Wayne ::Ramasamy 
::Arnd ::Chaum85 
::4497500 ::Sarvjeet 
::Klaus ::Aoki98 
::Mohan ::15310275 
::BakalovHHT08 ::1286 
::Principled ::Albrecht 
::4497417 ::Chang82 
::Houman ::MannilaT97 
::1411 ::22850459abs 
::Castro ::Wenfei 
::ROLAP ::OntoWebber 
::Graphical ::Enhanced 
::Checkpoint ::ChenRDEGS06 
::JiangVBCB05 ::P2P 
::Zeng ::Henrich94 
::Andrey ::Alternative 
::Meichun ::Advancement 
::1468 ::Stabbing 
::Frederick ::X06a 
::SchmidtKW01 ::Pseudo 
::ADT ::Ryvkina 
::Riccardo ::Arumugam 
::568 ::15310274 
::Small ::15310329 
::Changing ::KiferKS92 
::Eun ::22851133 
::Galindo ::Barzan 
::LangOS97 ::588 
::GUI ::Annotating 
::JinA06 ::ThomsenPL08 
::Client ::GounarisYSD08 
::BirdCDLZ06 ::Rudra 
::Vrhovnik ::Clients 
::15310639abs ::Theory 
::185 ::Papadimitriou 
::22850804abs ::704 
::Ixent ::Apers 
::Osman ::er 
::1258 ::4497486 
::XPath ::Dessloch 
::Dmitri ::ZhangCMS97 
::Fred ::209 
::Xinqiang ::88 
::Sunita ::Akiko 
::Claudio ::Weikum 
::Yee ::1129 
::129 ::ichi 
::Marko ::Chitta 
::576 ::Channels 
::RoussopoulosK86 ::Service 
::Khalefa ::Andrzej 
::Luis ::PapadiasT97 
::Dennis ::Optimization 
::TungHH01 ::44 
::Miller ::Graph 
::Usage ::Self 
::Bry ::String 
::544 ::Aoki 
::JadavGL97 ::Catlin 
::4497570 ::Networked 
::Yin ::GuoSBS05 
::Sentiment ::Ahn 
::Major ::YuC84 
::18 ::Sayed 
::265 ::Linga 
::Marios ::914863 
::Hisashi ::Jure 
::Transactions ::Tryfonopoulos 
::LieuwenD91 ::Loh 
::Highly ::Cornelius 
::313 ::Technology 
::Propagation ::Tok 
::Fukuda ::15310029abs 
::Maier83 ::Christian 
::RoussopoulosK86 ::22850357 
::Gionis ::Antijoin 
::PapadiasT97 ::Dinh 
::Grouping ::NAPA 
::Large ::Discriminant 
::4497570 ::PapakonstantinouAG96 
::Cai ::Maurice 
::1336 ::914843 
::Dimensional ::60 
::Debugging ::ChengYDYW08 
::Aleksandras ::SPEX 
::Narasayya ::zsu 
::GongYQZ05 ::443 
::Xu ::Mamadou 
::Alternative ::ZhangG08 
::AdaliCCES96 ::627 
::CORBA ::Interpreted 
::ChenJOT08 ::HadjieleftheriouCKS08 
::142 ::CareyDFHMNSSTTWZ94 
::Lan ::FriedmanBF77 
::RamanathZFH05 ::Alps 
::Jasiobedzki ::339 
::GruenwaldBP06 ::Va 
::Haslam ::ZhouOT05 
::Yuan ::GreifSW86 
::1092 ::Expression 
::End ::1218 
::Reinhard ::329 
::Salem ::Discriminative 
::914863 ::WuXTL06 
::SavasereON95 ::Computations 
::LangOS97 ::Lineage 
::KaufmanR90 ::Ting 
::Mehmet ::Trajectory 
::QPipe ::Till 
::Lo ::Monotonicity 
::Asuman ::Busatto 
::412 ::P588 
::KasneciSIRW08 ::15310492 
::Yang ::Yueguo 
::Fernandes ::Alpa 
::Mlivoncic ::Berners 
::Ljosa ::Multimedia 
::1462 ::Freiwald 
::Mohamed ::DayalHL91 
::Assurance ::22851148abs 
::KamathAGM96 ::P126 
::1473 ::419 
::Temporal ::Internet 
::ChangMZS98 ::Gertz 
::412 ::Papadias 
::Warehouses ::Bernhard 
::LiuP95 ::RelaxImage 
::Easy ::4497492 
::Prototyping ::172 
::acr ::Bounded 
::mit ::Connected 
::Wolfson ::Approach 
::MitschangPPLS93 ::Plans 
::sp ::purpose 
::BrinkhoffKS93 ::Baxter 
::Sashikanth ::Gmach 
::their ::Developed 
::datamine ::PuL91 
::912 ::1615 
::Usama ::Jost 
::JensenLOZ06 ::MOOLAP 
::302 ::Topol 
::4497537 ::1424 
::Kihong ::Nrvg 
::2 ::138 
::Zadeh65 ::Panella 
::Garret ::DeshpandeH02 
::Meisen ::Reorganization 
::Va ::P446 
::Tufte ::384 
::Molina02 ::Klabjan 
::4497619 ::Zhiping 
::Kashani ::Panel 
::Guan ::AutoLag 
::P412 ::Torp 
::Hailong ::Laws 
::Ceri ::Chang82 
::Architectures ::Ramanath 
::Hanyu ::Imran 
::Ka ::CherniackZ96 
::Reordering ::4497458 
::22850069abs ::Zou 
::Knowledge ::105 
::1494 ::22851131abs 
::Francesco ::SIREN 
::Links ::Ullas 
::Jennifer ::Farrell 
::Denzel ::Xiaolei 
::Multimodal ::1447 
::Doan ::2 
::Vineel ::AgrawalS96 
::Welcome ::0002 
::Counting ::LakshmananSS96 
::List ::Papadimitriou 
::Sashikanth ::Thu 
::Bookmarks ::SarawagiS94 
::ShaLJ88 ::Range 
::Management ::Imperatives 
::Osmar ::Semantics 
::ShaullSX08 ::Engines 
::552 ::Factorization 
::Hutchison ::Representing 
::Ippokratis ::1495 
::ZhouW08 ::LudascherGM01 
::Donahoo ::Laurent 
::Bulk ::RDBMS 
::ebXML ::Manikutty 
::Bhat ::1141 
::47 ::Graphitti 
::Tufte ::Eike 
::Bowers ::Tung 
::1048 ::Haas 
::Win ::PageChaser 
::578 ::602 
::Amrish ::132 
::Abdel ::1 
::Kanellakis95 ::GoldsteinRS98 
::InanKBS08 ::312 
::Benchmarking ::RastogiMBKS93 
::Limited ::Closure 
::Itemset ::1418 
::22850157abs ::4497594 
::595 ::KriegelKPS08 
::Next ::Closure 
::Miled ::Issues 
::GutingZC89 ::Tilo 
::Piatetsky91 ::Sridhar 
::514 ::Kurt 
::Elena ::MolinaLV84 
::CabibboPT06 ::Ahn08 
::LangOS96 ::Arnab 
::Jagadish91 ::Ling 
::1600 ::Checking 
::Karl ::QiaoIAA06 
::Paraskevas ::Recognition 
::Mark ::CormodeMZ06 
::195 ::4497623 
::Obermeier ::Correctness 
::P458 ::Weiyi 
::Christopher ::4497428 
::Rhm ::Xingdong 
::Suri ::Mirek 
::Tobias ::Murat 
::Shouke ::or 
::Dunja ::Dimension 
::V ::Disclosure 
::Shadmon ::633 
::Amlie ::Extremely 
::1619 ::MalikBC05 
::Nes ::Tien 
::Alon ::Enhanced 
::MachanavajjhalaGKV06 ::Morishima 
::tc ::TaoXLZ08 
::Kyun ::Sliding 
::Lewis ::615 
::22850878abs ::Powered 
::Berners ::P392 
::Simitsis ::MannilaT97 
::Martin05 ::DuschkaL97 
::Elizabeth ::Teamwork 
::Digital ::Gudes 
::22850258abs ::FischerK05 
::Shasha ::Gio 
::Yossef ::15310272 
::Aristides ::LiBRHCN05 
::Invariant ::588 
::P276 ::Ramesh 
::under ::Column 
::Logging ::Joon 
::Yip ::Sugata 
::Ji ::Baihua 
::Orphan ::Aoying 
::Raschid ::Rajamani 
::22850668abs ::SkytJP02 
::1123 ::Subsequence 
::SubrahmanianJ96 ::JaberV06 
::Sattler ::J 
::Ashish ::1104 
::4497592 ::HasanM95 
::Out ::Graefe 
::Freire ::IshikawaK93 
::Prado ::Finding 
::Zukowski ::15310529abs 
::Curt ::Wilhite 
::Gregory ::JiangMCS08 
::1515 ::89 
::4497423 ::348 
::Execution ::22851106 
::Sky ::Sarawagi 
::22850205abs ::Junglee 
::SarmaTW08 ::22850816abs 
::Suhre ::meets 
::Takegawa ::517 
::Mark ::949 
::Anton ::Sithirasenan 
::15310155abs ::proceedings 
::DahlinWAP94 ::P259 
::4497446 ::Bhargav 
::sp ::ViteX 
::Zou ::ZaianeELL05 
::Friedman ::Clustered 
::4497630 ::Yidong 
::BulutS05 ::Approximated 
::NFMi ::Paraskevas 
::1429 ::234 
::Driven ::Array 
::4497572 ::Liadan 
::Kossmann ::22851149 
::Quality ::Balakrishna 
::George ::136 
::WeisN06 ::Hashing 
::Negative ::acta 
::Shipra ::Rsch 
::P076 ::NetzCFB01 
::AikenCSW96 ::Ioannis 
::Gubanov ::FaloutsosB93 
::414 ::Eduard 
::421 ::Aref 
::15310187 ::future 
::1527 ::Elmagarmid 
::62 ::P380 
::avi ::22850298abs 
::78 ::Zilio 
::Location ::Balakrishnan 
::GrayR93 ::Shift 
::Berchtold ::ECA 
::Indriyati ::Amarmend 
::SuleimanCF98 ::LiuLG08 
::Zhengli ::Mohan 
::sigmod ::Werner 
::Jianliang ::4497446 
::Moshe ::AlomariCFR08 
::Automatically ::240 
::ShenOT06 ::GuoSBS05 
::Kyu ::Legaria 
::P116 ::MeoPC98 
::Vineel ::BunemanDHS96 
::4497397 ::Real 
::Manikutty ::462 
::Shinjiro ::Datasets 
::Cubing ::DesphandeGMH05 
::4497463 ::GibbsBT94 
::CormodeMZ06 ::Frequent 
::BravoFGM08 ::Smoothing 
::Sanjoy ::4497568 
::Regions ::369 
::GabberK98 ::BeckmannKSS90 
::Human ::ICDE 
::414 ::Draper 
::Damianos ::Mishra 
::15310264 ::1400 
::1385 ::Trajectories 
::Anonymizing ::Antoshenkov93 
::Processing ::Charu 
::into ::Light 
::GawlickK85 ::Squicciarini 
::Techniques ::InanKBS08 
::Candan ::Rundensteiner 
::within ::Moss 
::Kyuseok ::4497524 
::mit ::Autonomic 
::jiis ::WuAA02 
::Evaluating ::Rights 
::PDM ::KuskinOHHSGCNBHGRH94 
::1501 ::Sarvjeet 
::190 ::604 
::Reduction ::802 
::BestR85 ::Coverage 
::Boris ::Ellis 
::Ugur ::22850403abs 
::P182 ::Scale 
::Serge ::LeungMSVVZ93 
::1479 ::Webs 
::Fatma ::Thomsen 
::Tier ::549 
::Elmeleegy ::Lung 
::Hanyu ::Gunter 
::Visualization ::support 
::Revisited ::1346 
::pldi ::237 
::282 ::Kahveci 
::ViEWNet ::KorolovaMNX08 
::Gone ::Bentley75 
::622 ::Boualem 
::Veli ::Jae 
::MegalooikonomouWLF05 ::Hull 
::MyllymakiL96 ::Obermeier 
::262 ::Marc 
::0003 ::Haifeng 
::HOPI ::Louiqa 
::932 ::15310488 
