::Banich ::BatoryBGSTTW88 ::Xiao ::RaffioBCPH08 
::Segmentation ::Detection ::Descour ::Updates 
::Jasiobedzki ::Distinctiveness ::Workflows ::Hanan 
::bdbms ::Warner ::Business ::Stop 
::CatarciCS94 ::4497436 ::Shan ::1337 
::4497490 ::1551 ::MogiK96 ::NieWWM06 
::Sardar ::1506 ::Quantiles ::Co 
::GuhaKSY06 ::2007 ::VBI ::Cattell96 
::15310117abs ::Directions ::Balaji ::Muralidhar 
::CLAN ::Mohammed ::Elmeleegy ::Shah 
::Son ::TelegraphCQ ::XStream ::Srilekha 
::Zheng ::Kit ::Raffio ::Preemptive 
::Hmmer ::Pui ::SVG ::Factorization 
::Kato ::Aleksandra ::Bhavani ::1528 
::Kemper ::Autonomous ::Lang ::Advancement 
::Norman ::767 ::HaskinMSC88 ::Parasuraman 
::914823 ::through ::Prefiltering ::Hidden 
::Sovereign ::P550 ::ChenDZ05 ::Store 
::1379 ::Rishe ::Chi ::815 
::Clip ::Processors ::SistlaYLL95 ::Domenico 
::Hasan ::Heinz ::Activities ::Majumder 
::Iman ::914848 ::714 ::KashaniS06 
::Afanasiev ::Java ::Bestavros ::4497490 
::SeltzsamGKK06 ::Nishio ::1421 ::Zilio 
::1276 ::Sales ::CareyD96 ::ChawatheAW98 
::Changes ::302 ::Shuai ::15310329 
::Biton ::ChenHY96 ::ichi ::P558 
::Colors ::DragutWSYM06 ::pdf ::BancilhonR86 
::Torben ::Optimizations ::218 ::22850968abs 
::Cahill ::Theodore ::Westmann ::369 
::GardarinGT95 ::366 ::Cameron ::GedikWYL08 
::sosp ::Similar ::Array ::mash 
::P458 ::SellentinM98 ::Algorithm ::67 
::Huabei ::Win ::Suri ::914812 
::Papotti ::Carlos ::HjaltasonS95 ::245 
::Dumas ::CabibboPT06 ::4497551 ::BestPeer 
::Nagesh ::HP ::Reynold ::BernsteinGW93 
::Motwani ::Yao ::Jianjun ::Kashima 
::YaminiG05 ::HutfleszSW88 ::Abowd ::ZouC08 
::Onizuka ::GuptaHR98 ::Widmayer ::22850188 
::Coarse ::SavasereON95 ::Shi ::Rich 
::NetzCFB01 ::Dyreson96 ::ChenWWM06 ::Menzo 
::IndexFabric ::BonchiGLOPT06 ::833 ::1208 
::Box ::Independent ::Communication ::P542 
::GhaffarA97 ::HungDS05 ::Lychagin ::fledged 
::4497619 ::AquaLogic ::Caches ::10 
::Rjaibi ::Advances ::MozafariTZ08 ::Chafle 
::KrishnamurthyKN05 ::COSTA ::Verma ::602 
::4497437 ::Lun ::Bruno ::Abbadi 
::Ln ::4497450 ::1627 ::P296 
::Imprecision ::Implementing ::P104 ::Vladislav 
::Indriyati ::iandc ::Zloof77 ::Shen 
::Korth ::Shanmugasundaram ::DREAM ::BohmPS06 
::Cranston ::Scheuermann ::Cui ::Expressions 
::Taming ::isci ::Prasan ::IshikawaYIK96 
::Hannu ::Partnership ::4497598 ::Spannagel 
::partite ::140 ::KilgerM94 ::Giorgio 
::Kemper ::Direct ::Denzel ::DescribeX 
::Ownership ::Example ::22850968abs ::Collaborative 
::500 ::Orenstein91 ::Shuqing ::Subarna 
::Sankaranarayanan ::Howe ::Houman ::Ke 
::Packets ::Sameer ::Warren ::Alternative 
::or ::acm ::ChrysanthisR90 ::Ka 
::P004 ::Eike ::Kedar ::ArasuCK08 
::Navathe ::Scenarios ::224 ::Pascal 
::Kersten ::Tabular ::PhanL08 ::Stephanie 
::DeWittKOSSW84 ::Anil ::Suciu96 ::Better 
::ONeilG95 ::Nishio ::Jrme ::Sakuma 
::Kifer ::668 ::Leveraging ::Jasiobedzki 
::Practical ::SnodgrassA86 ::Products ::22850578abs 
::Improve ::Karl ::BeckmannKSS90 ::Zhiming 
::Klemens ::Toon ::P550 ::402 
::Luk ::Problem ::1567 ::Reduction 
::Vee ::tocs ::GhaffarA97 ::Madden 
::Shao ::130 ::tois ::TelegraphCQ 
::Yanlei ::ebXML ::Pan ::Watanabe 
::NgOT02 ::Indexed ::244 ::487 
::Rinderle ::22851141 ::KahveciS01 ::Version 
::Leslie ::Mummoorthy ::Spyratos ::1507 
::Hou ::1005 ::Lookups ::Rank 
::Cheong ::Shedding ::578 ::Panagos 
::466 ::4497534 ::Hoffmann ::Prioritization 
::Transfer ::ai ::GrayR93 ::GuptaMS93 
::AHYDS ::Every ::Issues ::Gryz98 
::Serge ::PinarTF05 ::Suman ::bdbms 
::Kamath ::71 ::StonebrakerK91 ::DeshpandeH08 
::Active ::HoutsmaS95 ::Specialization ::Processor 
::Content ::Junghoo ::Alex ::Deepak 
::Gehrke06 ::trees ::Prashant ::Suppression 
::FerhatosmanogluTAA01 ::22851100 ::Ramamritham ::Querying 
::AslandoganTYZR97 ::Pierre ::driven ::ChengDNPKWAAFSSS97 
::BlumrichLADFS94 ::Herlihy90 ::P094 ::22851013abs 
::Zadeh65 ::WRAP ::Hershberger ::BeckmannHKN06 
::Hasan ::Hsiung ::Ferrari ::MendelzonMM96 
::Peters ::html ::15310335 ::NguGBCDB02 
::Thaden ::Ryo ::4497604 ::ICDE98 
::Sky ::269 ::Carey ::767 
::Kien ::V ::ReSF06 ::MadhavanBDH05 
::Preservation ::4497440 ::Coordinate ::Cai 
::ParkCY95 ::Keith ::Tabular ::Balakrishna 
::Support ::Mahmood ::Colors ::Lei 
::BakalovT08 ::Learning ::KwietniewskiWTGGJJN08 ::Georgia 
::Kaname ::CQ ::Valduriez93 ::Kanne 
::Exponentially ::Sarawagi95 ::Partially ::Sellentin 
::GeorgiadisKCNS08 ::William ::Dragut ::Qian 
::Andras ::HanF95 ::Methods ::Jazayeri 
::ChawatheAW98 ::Cormode ::Kitagawa ::1408 
::Guan ::Powered ::Narayanan ::Eran 
::KanagalD08 ::CoT ::Hanyu ::Batch 
::Nicolas ::GuptaHQ95 ::WWW ::123 
::Caching ::mit ::Labeling ::Chairs 
::Qigang ::Hideo ::Relations ::Alexey 
::1412 ::Intensive ::Roussopoulos ::YangL01 
::Freeston87 ::XPaths ::NievergeltHS84 ::AutoLag 
::Eltabakh ::BlakeleyCERW05 ::CORBA ::501 
::Didi ::Loredana ::1352 ::Marianne 
::686 ::863 ::22851113 ::intensive 
::King ::Wen ::Unstructured ::1631 
::Haiyan ::Hang ::Jennifer ::1435 
::Dirk ::Hope ::Bo ::Hu 
::Bin ::NaackeGT98 ::LiuYT05 ::525 
::Snake ::173 ::22850978abs ::Marx 
::Quadtree ::Markus ::Marcel ::Nuwee 
::Su ::Barga ::1104 ::P602 
::TheodoridisS96 ::Snodgrass95 ::Buneman ::Cheng 
::Bloom70 ::Haruo ::Biological ::Dehne 
::Clemens ::Feifei ::Rahul ::Ramakrishnan08 
::823 ::ds ::734 ::Braynard 
::Roger ::icde2008 ::Barzan ::Cunningham 
::Barker ::Processes ::Toshinari ::sigir 
::Nehme ::Pekka ::WebOQL ::914825 
::Lightweight ::Centric ::22850927abs ::Albrecht 
::Zheng ::Identifiers ::Arora ::BunemanNTW95 
::Mengchi ::AlexanderR06 ::Carla ::4497397 
::Lim ::15310245abs ::ChenH01 ::Symbolic 
::Venky ::LiuR05 ::Petkovic ::Gail 
::PoosalaIHS96 ::NeumannHM05 ::Predicates ::T 
::Expiration ::Versatile ::Prasad ::Chawathe 
::Tanizaki ::Donald ::Subscribe ::CaoCFT08 
::Zhen ::Dennis ::458 ::Yu 
::Candan ::Maya ::SaltonWY75 ::Controls 
::Cong ::BerchtoldBBKK97 ::Sudarshan ::GaoHPSA06 
::15310543abs ::Yamini ::55 ::Mller 
::Anastasios ::Keidl ::15310155abs ::BernsteinN96 
::Cha ::Aristides ::914810 ::Freire 
::Pushpraj ::Mani ::Schlatter ::Fegaras08 
::YangWWY02 ::Orchid ::YangL01 ::Sing 
::WhiteDJ96 ::Air ::Level ::compcon 
::Yong ::TaniguchiS05 ::Kinji ::Zaniolo 
::Hypermedia ::Omran ::conf ::Naga 
::Zaiqing ::NeumannHM05 ::BunemanDFS97 ::546 
::Qigang ::1219 ::Ma ::Cristiana 
::Naacke ::ReichertRKD05 ::476 ::Discriminant 
::OCallaghanMMMG02 ::1307 ::1148 ::Division 
::Proactive ::Reorganization ::WolfsonCDJM98 ::512 
::Master ::Substructures ::4497582 ::CaoCFT08 
::Heng ::1267 ::Entity ::Process 
::L ::Frederick ::Kundu ::Aleksandra 
::864 ::ZhangDH08 ::Vetle ::Xingdong 
::Ulrich ::Kanoulas ::Partitioning ::1118 
::Ngai ::237 ::Watzke ::48 
::Anton ::76 ::1322 ::Andritsos 
::Variable ::mg ::Storage ::Houtan 
::ADT ::22850094abs ::86 ::Tuples 
::Identification ::NetzCFB01 ::Jaideep ::GaoZCLLC08 
::70 ::Willy ::efficient ::Making 
::Usama ::Rogers ::182 ::JinGJA06 
::Klaus ::Chambliss ::Edmunds ::CaoCFT08 
::Updates ::Mehmet ::Salzberg ::Dai 
::Rys ::1113 ::ChiuehP05 ::Rajaraman 
::1592 ::Lag ::JainS94 ::4497497 
::Jianlong ::Integrating ::Rui ::Varadarajan 
::Characterization ::Modeling ::4497558 ::Myoung 
::Gorman ::4497569 ::LambLOW91 ::1258 
::Afalg ::AraiDGK06 ::Simultaneous ::Warehouses 
::Timely ::4497572 ::dpds ::Qin 
::BukhresSNBAOGKCMS02 ::Gunter ::http ::Brakatsoulas 
::Songyun ::462 ::PrefixSpan ::Hanson87 
::Vasilis ::Projected ::Zaharioudakis ::Zadeh65 
::15310274 ::Sullivan96 ::Capturing ::Handling 
::McWherterSAH05 ::MannilaT97 ::Partial ::Vee 
::RamanSQRDKNS08 ::4497573 ::Marianne ::SaveRF 
::22851126abs ::4497585 ::Lee ::Pontieri 
::ViteX ::JensenLOZ06 ::Image ::AggarwalY08 
::Rinku ::Facet ::LuoWL08 ::Barga 
::Su ::Akihiro ::XQSE ::Jean 
::914867 ::1489 ::PGM ::StockmeyerM73 
::Millions ::Mic ::Soloviev93 ::avi 
::ChenJKKMNS01 ::MalinAEL05 ::JeungLSZ08 ::Balaji 
::NehmeRB08 ::348 ::X05r ::EvdokimovFG06 
::1486 ::Tarik ::Links ::AxPRE 
::Salzberg88 ::Focused ::4497482 ::Philippe 
::Theodore ::Diverse ::Storing ::Prabhakar 
::436 ::ZhouP08 ::Grust ::RoitmanGR08 
::Samet90 ::Klinginsmith ::Location ::Thomas 
::Constructing ::Amarmend ::Graefe ::KamathR98 
::84 ::Snodgrass95 ::Horng ::Terzis 
::MuralikrishnaD88 ::T ::Takahide ::2 
::Shahabi ::Demonstration ::ChangYDA88 ::15310685abs 
::125 ::Hash ::1492 ::22850459abs 
::HeLC05 ::ChaudhuriKPS95 ::Characterization ::de 
::Vikas ::AbiteboulK92 ::ChenJOT08 ::Munir 
::675 ::Stucki ::744 ::Gone 
::Utkarsh ::Skylines ::932 ::FaloutsosRM94 
::15310327 ::P324 ::Signal ::AbiteboulK92 
::Nilesh ::Dimensions ::Olu ::Editor 
::Yu ::405 ::595 ::Client 
::EllisG89 ::KoloniariP08 ::Against ::LorentzosM97 
::Akiko ::Castro ::Flattening ::Karlsson 
::Konrad ::Cichocki ::ROL ::SistlaYLL95 
::188 ::Stoumpos ::HarinarayanRU96 ::4497618 
::ZhouZQZ06 ::Zhiming ::Yipu ::Alternative 
::Indices ::Naidu ::data ::Computer 
::Leymann98 ::GoelSYZ02 ::3D ::Enforcing 
::DeshpandeH08 ::Orchid ::76 ::Qiang 
::Guttman84 ::Singh ::Berchtold ::Fishman 
::Adjourn ::Prototype ::Marx ::Protecting 
::22850230abs ::Weikum ::Klinginsmith ::WuK05 
::SistlaYH94 ::About ::Parallelizing ::Kishan 
::Hope ::KistlerS91 ::Prototype ::OguchiK02 
::Mohan94 ::473 ::4497591 ::51 
::4497636 ::Sullivan96 ::KumarLMT08 ::Silva 
::4497414 ::Hongjun ::Cloaked ::Fetching 
::Party ::Nina ::AbererH02 ::RelaxImage 
::AggarwalY08a ::4497506 ::Optimal ::1115 
::Tat ::Kien ::Jason ::Philipp 
::1587 ::Etzard ::Nath ::Almeida 
::Karras ::Algorithm ::P086 ::1627 
::Replicated ::ChaudhuriDK06 ::Framework ::AbiteboulMPPS08 
::Sensitive ::1357 ::Fernandez ::EsterKX95 
::529 ::Hershberger ::Research ::WangZZ06a 
::ModelGen ::Pinar ::WangPY05 ::EffelsbergH84 
::Damdinsuren ::Norman ::Netz ::Levy 
::BunemanDHS96 ::Compliance ::Aduri ::Dumas 
::LeeKC01 ::1121 ::P324 ::M 
::Sequence ::1450 ::Motion ::Flavio 
::Bongki ::Preda ::GhinitaTK08 ::22850668abs 
::Jrgen ::mta ::1510 ::LeeMCC02 
::Enhanced ::209 ::Saake ::MalkemusPBC05 
::22850384abs ::Ka ::Huhtala ::Windhouwer 
::SnodgrassA86 ::Qian96 ::Manfred ::Approximation 
::Operation ::Has ::25 ::Vibhuti 
::Subrahmanian ::Ross ::1 ::Shubha 
::Unifying ::Frequent ::MansuriS06 ::Loreto 
::Operators ::15310041abs ::1587 ::Authority 
::CarminatiFB05 ::1349 ::583 ::Schlatter 
::BeckerHF93 ::Shmueli ::Seeger ::Lisa 
::Sinha ::Chong ::22850693abs ::4497506 
::Antoshenkov93 ::Duan ::Silva ::1035 
::Hans ::767 ::499 ::Christian 
::646 ::Pathak ::1420 ::107 
::HullY90 ::169 ::IMPrECISE ::Rainer 
::P568 ::4497596 ::392 ::Amit 
::Kraus ::Clemens ::Jigsaw ::Overlay 
::Neighbor ::KramerP96 ::Suri ::1327 
::Social ::Coordinate ::15310369abs ::MohanLO86 
::Philippe ::22850487 ::Shojiro ::Volatile 
::15310628abs ::AthitsosPPK08 ::Rogers ::Dakka 
::Tara ::Ledlie ::ATM ::WuWLM06 
::186 ::168 ::Seshadri01 ::Update 
::EstanN06 ::SavageW96 ::642 ::DeWittNS91 
::KochSS08 ::Neighbors ::VenkataramanNL98 ::4497552 
::4497432 ::22851126abs ::Facet ::Publishing 
::ZhangLKW06 ::Streams ::GPIVOT ::Unified 
::Cross ::Denise ::Kanagal ::358 
::Vetle ::Divyakant ::22850188 ::XPath 
::Sequential ::22850991abs ::Visual ::YiuMK08 
::Authors ::Olu ::365 ::Perfect 
::Seltzsam ::Junghoo ::Carson ::633 
::379 ::Strong ::once ::410 
::ChonAA02 ::22850419abs ::22850878abs ::Motwani 
::Cordova ::Ghosal ::Yiu ::BryanEF08 
::FaloutsosL95 ::Ad ::Counting ::Subspace 
::Three ::KahveciS01 ::BaralisCC05 ::Kinji 
::Yoshikawa ::AggarwalCH06 ::EsterKX95 ::Kraus 
::Davide ::Wichterich ::Akitsugu ::410 
::300 ::Melanie ::1563 ::22851141 
::4497481 ::leeuwen90 ::3 ::LuBZ06 
::Raghu ::1147 ::Dayal ::Koustuv 
::Pu ::WolskiKP96 ::Ang ::Mamadou 
::Shigeo ::Getting ::903 ::Fischmann 
::Refresh ::15310393abs ::BhalotiaHNCS02 ::Angel 
::Caches ::22850594abs ::Masaru ::Naughton 
::Clustering ::GohMS94 ::AbererH02 ::Heinlein 
::Subramanian ::Motion ::Raghu ::XiongMA05 
::241 ::PiatetskyF91 ::Esther ::BlakeleyLT86 
::Chandel ::Rishi ::btw ::1333 
::Tolerant ::RamamrithamSSTX96 ::ZakiP05 ::Panel 
::Juha ::548 ::Ooi ::WangBTD08 
::BerchtoldBKK97 ::Kiernan ::22850853abs ::1357 
::371 ::Barga ::ZhangGW08 ::4497539 
::914841 ::About ::BilirisO93 ::X06 
::Redo ::Draper01 ::Glimcher ::Monitoring 
::Arbitrary ::Jagannath ::QianW91 ::Mic 
::YangP08 ::1249 ::fledged ::730 
::Ghafoor ::Xuegang ::Bentley80 ::ZhouP08 
::Memos ::Ordering ::Weiyi ::Stoumpos 
::Centric ::LeslieJBY95 ::Maurice ::LiedesW06 
::8 ::BenatallahSND02 ::NodineZ90 ::IvesT08 
::Tanaka ::828 ::4497613 ::144 
::DengDRZ08 ::de ::tcs ::Shared 
::22850516abs ::AtallahCK08 ::287 ::Leymann97 
::StonebrakerADNR93 ::DBXplorer ::ProcopiucS08 ::90 
::15310166abs ::Settings ::Krishnaprasad ::MANETs 
::Shin ::Tamir ::LeeCLNS94 ::MarcusS96 
::CareyD96 ::Michael ::146 ::AgrawalBGKLR05 
::Convertible ::Orchid ::Classification ::efficient 
::Extract ::MendelzonW95 ::Linguistic ::Multilingual 
::Arjen ::Carl ::15310274 ::Generalization 
::4497539 ::Deng ::Correlations ::P436 
::AbiteboulMP05 ::Hoare69 ::Skeen ::Peer 
::Weihl87 ::Platform ::Baralis ::WangY02 
::SAN ::Mazza ::Timothy ::4497557 
::Weikum ::DingCRTHC08 ::Server ::PapaemmanouilC05 
::ZakiP05 ::793 ::CormodeKT08 ::11 
::Indrakshi ::15310716abs ::Bukhres ::1116 
::HernandezPVMNH02 ::220 ::124 ::Star 
::Guha ::Skeen02 ::Kalnis ::Extensions 
::ChenRDEGS06 ::638 ::170 ::BonchiGLOPT06 
::ADEPT2 ::Surface ::Q ::155 
::RafieiM97 ::MishraE92 ::Replication ::Recovery 
::4497580 ::Cyrus ::4497533 ::QiaoIAA05 
::4497607 ::Zeiss ::pldi ::656 
::Theoretic ::Gabber ::ModelGen ::Xiaoyong 
::155 ::Dimension ::Han ::22851115 
::Padmanabhan ::Protocols ::543 ::Sylvia 
::Yanif ::P402 ::Mappings ::SinhaWWSS08 
::Testing ::Srikanta ::Anh ::Citizens 
::Ono ::Sheth ::Govindaraju ::Ramakrishnan08 
::Packets ::JiangMCS08 ::Cattell96 ::1575 
::NguyenD08 ::Dan ::389 ::Reality 
::Mixing ::Cable ::HuangSW94 ::FernandezFLS97 
::SilbersteinBEMY06 ::Products ::Yossef ::Gao 
::Yibin ::Sandra ::Evaluation ::Randomized 
::Gulbeden ::P424 ::Wouter ::Levy 
::Ntarmos ::Kalnis ::Cole ::intensive 
::Zhaohui ::Engines ::Environments ::RothH93 
::15310357abs ::316 ::Kreher ::337 
::Zhuang ::pdis ::BentleyM80 ::Dual 
::P598 ::Dunn ::Mediation ::Ooi 
::1062 ::876 ::MaurouxAF06 ::Terlecki 
::Lung ::4497552 ::763 ::Arjen 
::914816 ::Weber ::AbiteboulK92 ::BunemanCFHMV05 
::MohanHLPS92 ::Emmanuel ::Pham ::4497610 
::236 ::Terabyte ::Mor ::B+ 
::ChaudhuriW06 ::WuXTL06 ::Moshchuk ::Ozcan 
::LiuSYR98 ::ContinuouslyMoving ::acm ::1528 
::ngc ::GravanoGT94 ::GardarinST96 ::1429 
::v8 ::310 ::Optimizing ::Adam 
::Fai ::Streaming ::11 ::JinXDW02 
::Push ::61 ::Calimlim ::BanerjeeC98 
::AgrawalAS93 ::CoT ::RastogiS98 ::1369 
::40 ::NeT ::311 ::22851073abs 
::Database ::icml ::Expression ::Ahn 
::ChenWZY08 ::Antoni ::Manfred ::SmythG91 
::Qili ::Approach ::Motwani ::ChongDES06 
::Windhouwer ::Guohong ::574 ::JohnsonK84 
::Cyrus ::Party ::Sergey ::TAR 
::Zhiyuan ::4497541 ::Stahl ::Deng 
::Molina08 ::Lee ::WuK05 ::242 
::Id ::Snapshot ::Hse ::1132 
::Interactive ::48 ::DeshpandeH02 ::4497537 
::Vanitha ::Multiple ::Tang ::Marcel 
::John ::Chambliss ::Castellanos ::Vaupel 
::Hsiao ::1560 ::Jos ::Engine 
::Michalis ::Antoni ::Akitsugu ::Babu 
::1497 ::22850357 ::Hamid ::4497633 
::Oguchi ::Xiaofeng ::Kashima ::Mutsumi 
::TheodoridisSS98 ::Tolerant ::Hilda ::nato 
::4497537 ::EllisG89 ::NguyenS96 ::Antal 
::4497509 ::Fault ::tm ::Cornelius 
::4497562 ::Sponsored ::Sen ::Translation 
::435 ::Shape ::DebLRS08 ::P004 
::MAN ::Aoki ::Lakshmanan ::Smith 
::Vijayalakshmi ::4497586 ::Cinzia ::XingZH05 
::Coordinate ::BryanEF08 ::ChawatheG97 ::Horng 
::Kaname ::578 ::Nicolas ::651 
::sebd ::Babu ::Anonymization ::125 
::Hee ::577 ::BurnsDILP08 ::LeungMSVVZ93 
::4497623 ::Tripod ::Shepherd ::String 
::1137 ::Coordinated ::Decker ::Signature 
::Cleaning ::LevyRO96 ::Terms ::1209 
::Guang ::1399 ::22851149 ::Qian96 
::ChawatheGHPUW94 ::Combining ::BergD95 ::Chow 
::X06 ::Pinto ::Volumes ::Anonymous 
::1575 ::405 ::406 ::Closed 
::Corpus ::175 ::For ::Rizzolo 
::Categorical ::Tape ::ShenSYZC06 ::Herlihy90 
::RDBMSs ::22851131abs ::MAFIA ::914866 
::Kit ::Management ::Kanoulas ::Protocols 
::AgrawalBGKLR05 ::1036 ::GuoSBS05 ::Ngu 
::Elena ::1543 ::Betty ::Collection 
::Tanin ::Tryfona ::261 ::Interacting 
::Redbrick ::4497500 ::Ning ::Pietzuch 
::Gyllstrom ::ipsj ::Amir ::ChenLGKP94 
::Freeston95 ::1360 ::Paraskevas ::Venky 
::440 ::Vineel ::Raffaele ::Decade 
::AggarwalY98 ::Tok ::Carlo ::ShethL90 
::Leung ::Widom ::1316 ::SemCast 
::BhideDD93 ::Georgiana ::Angela ::LeFevre 
::Jinze ::1430 ::22851115 ::Houle 
::53 ::Carmem ::1052 ::internet 
::Closure ::Redo ::Photos ::Nagesh 
::914840 ::HardwickSRM97 ::GoelSYZ02 ::15310280 
::Tuning ::For ::LiHYX05 ::1324 
::Method ::Text ::Krishnaswamy ::P302 
::csdl ::Rohit ::1373 ::Gmach 
::1106 ::Rost ::KitsuregawaO90 ::Tanveer 
::Omran ::Jianneng ::146 ::Reverse 
::15310277 ::LOCUST ::Lian ::AlexanderR06 
::Borr81 ::Junglee ::228 ::KornMW06 
::493 ::4497551 ::GalpinBJFP08 ::4497602 
::Vassalos ::FayyadPS96 ::4497493 ::BrinkhoffKSS94 
::Takegawa ::Velegrakis ::Yongluan ::Herbert 
::GUI ::CareyDN93 ::Array ::Evaggelia 
::334 ::Durmaz ::Arijit ::Relevance 
::Lossy ::CormodeKMW08 ::SeshadriLR94 ::Markos 
::Sunbir ::journals ::456 ::Lucchese 
::BulutS05 ::Shu ::Jianjun ::GoyalHKMS96 
::Server ::Carey ::1604 ::Aravind 
::Changing ::Framework ::Linkage ::Designer 
::Wierman ::MANETs ::Nita ::1062 
::Economically ::Douglas ::BrinDG95 ::22850485 
::Analysis ::HeS06 ::GohMS94 ::1318 
::P154 ::Erhard ::Bryan ::sigir 
::Murthy ::395 ::Marios ::Michal 
::Jabeen ::Parallelizing ::LeungWL89 ::Multimodal 
::1258 ::Ohler ::KeijzerK08 ::Ending 
::Interpretation ::Mapping ::28 ::Lai 
::Shasha ::331 ::Erhard ::Sarah 
::KahveciS01 ::Shedding ::Browser ::Barga 
::Hsu95 ::He ::MaH01 ::Faloutsos 
::Jeffery ::Rezgui ::Sithirasenan ::Huabei 
::GhandeharizadehHJ92 ::Tran ::networks ::Annotator 
::Green ::Earl ::IvanovaKN08 ::Systems 
::728 ::Outlier ::421 ::52 
::Dyreson96 ::Erhard ::SedmidubskyBDZ08 ::Miled 
::Integratio ::Hershberger ::22850804abs ::282 
::Yunjun ::Serge ::Surna ::Maximal 
::4497603 ::WongA85 ::Melnik ::466 
::Aberer ::22850419abs ::LentSW97 ::1208 
::Junghoo ::533 ::485 ::22850230abs 
::ChenL02 ::Anciaux ::HP ::Terminological 
::FelipeHR08 ::Thomas ::Just ::914834 
::Ariel ::LimB08 ::Takeshi ::Patterns 
::dpd ::WebFountain ::LeungNM02 ::PfahringerK95 
::Represented ::Nikos ::PGM ::25 
::Rigsby ::Gone ::109 ::Thu 
::eBusiness ::LimB08 ::Distinctiveness ::P134 
::Qin ::Style ::HoweM05 ::Processor 
::ThomsenPL08 ::RemiasSZS97 ::22850547 ::Zwol 
::1531 ::1462 ::50 ::Lightweight 
::Allen83 ::Rosa ::Chen05 ::JeungLSZ08 
::Yiping ::Daniela ::Cheung ::CherniackZ96 
::Cai ::Rajan ::Reformulating ::Neighbors 
::QoSMig ::Inderpal ::Hoyoung ::Holger 
::AgrawalS96 ::1107 ::Bassiouni85 ::LiLH06 
::DiaoFFT02 ::1059 ::P126 ::LiaoLL01 
::Chakravarthy ::KimGBW90 ::4497416 ::Felipe 
::22851141 ::813 ::Tabular ::Rys 
::Regions ::Fishman01 ::22850516abs ::Mani 
::Brzsnyi ::1367 ::Objects ::4497570 
::BerchtoldEKKS98 ::rules ::Eugene ::Sovereign 
::DarFJST96 ::P076 ::4497422 ::59 
::Shasha ::Cunningham ::Series ::P370 
::JensenLOZ06 ::Extracted ::Antova ::734 
::Ipeirotis ::4497525 ::Matching ::108 
::Speeds ::1180 ::10010131abs ::Interfaces 
::Nguer ::similarity ::Cochrane ::Judice 
::KoutrikaSI06 ::BaralisCC05 ::GrayBLP96 ::Das 
::Simmen ::ModelGen ::Nagendra ::Gryz 
::Duplicates ::22850949abs ::4497612 ::Sakuma 
::TelegraphCQ ::Heterogeneous ::1950 ::Zhe 
::computer ::ONeilWFCM98 ::SPOT ::Roller 
::bdbms ::278 ::CopelandK85 ::Qingchun 
::Picture ::Tuzhilin ::Monotonicity ::914869 
::993 ::Advances ::Qingchun ::ConsensLO06 
::AndresO98 ::RDMS ::3D ::Faradjian 
::ZhangLKW06 ::Banaei ::JadavSCB95 ::1491 
::Murali ::15310419abs ::KrishnaprasadLMWA05 ::biased 
::Rigsby ::Jennie ::Ravishankar ::Representation 
::Hulgeri ::892 ::Antony ::PolyzotisG06 
::Mal ::FukudaMMT96 ::Martinenghi ::NabeelB08 
::417 ::Tanin ::Efficient ::Ahmad 
::Shyam ::YuHC05 ::BulutS05 ::22850547 
::Andritsos ::22850594abs ::Getting ::Fjording 
::Content ::Bongki ::Fukuda ::Psaila 
::Lizhu ::BenatallahSND02 ::Edoho ::Theobald 
::SI ::93 ::db ::McCann 
::FungWY05 ::Pautasso ::Intensive ::Tuan 
::Sameer ::Haruo ::GoldingBSSW95 ::4497528 
::JohnsonK84 ::22850705abs ::Doan ::Kinji 
::Luo ::Zimmermann ::1180 ::Bernhard 
::MullerDEF01 ::Soo91 ::Aoying ::4497589 
::1448 ::631 ::Nguyen ::BeckleyER85 
::LeungNM02 ::eBusiness ::CosmadakisKV90 ::1489 
::Subbu ::Bundles ::Divyakant ::SinghL08 
::Frederick ::Telematics ::Wesley ::HuhtalaKPT98 
::CarterBZ91 ::Gsta ::Evaluating ::1136 
::ChungGS02 ::FernandezA02 ::P108 ::Constrained 
::HuangSW94 ::Sampling ::Miah ::22850545 
::NievergeltHS84 ::inWireless ::Wolski ::15310261 
::312 ::Rantzau ::Nimble ::414 
::Defined ::CastellanosC05 ::626 ::Technology 
::FelipeHR08 ::351 ::Sedmidubsk ::Krger 
::ZhouOTY06 ::Ioana ::189 ::Bounded 
::EffelsbergH84 ::HermanGLW87 ::1516 ::Galpin 
::Kesheng ::1522 ::SCADDAR ::Sachindra 
::Terracina ::Blocking ::914870 ::Ravada 
::ShaLJ88 ::4497516 ::P074 ::CarterBZ95 
::4497434 ::Spreadsheets ::Chun ::Knowledge 
::4497535 ::41 ::sac ::Fischmann 
::icdcs ::Decomposition ::GedikWYL08 ::Carey 
::Zipf49 ::1360 ::tkde ::Teubner 
::4497548 ::1424 ::Areal ::AlexanderR06 
::Leymann95 ::KistlerS92 ::4497506 ::Replication 
::Inter ::BanerjeeC98 ::Zhiping ::Kwok 
::KasneciSIRW08 ::Xing ::Answers ::Fetching 
::4497421 ::Lung ::551 ::Satisfying 
::Lattice ::Zuzarte ::P412 ::914812 
::CluetD92 ::VenkataramanNL98 ::Scene ::HarinarayanRU96 
::BohmK01 ::VlachouDNV08 ::679 ::Judice 
::Douglas ::X05q ::Porkka ::99 
