::Garbage ::314 ::Gyssens 
::Colin ::Guy ::Meeting 
::Message ::Brice ::Christmas 
::Beng ::Jain ::Davidson 
::Analyti ::264 ::Harumi 
::Jun ::Carl ::Potamianos 
::Frameworks ::GUI ::Nested 
::Outs ::Fetched ::Kitsuregawa 
::be ::Assessment ::Obrst 
::Prolog ::Scientist ::Hasan 
::High ::Zhao ::Philippe 
::DB ::zhan ::Warehousing 
::Silvano ::Persistent ::Rewrite 
::Minyoung ::79 ::ODBMS 
::Tsur ::Querying ::STEP 
::Agigdor ::Wells ::eva 
::Image ::Snapshot ::Margaret 
::403 ::Crash ::Triggers 
::Garlic ::Pires ::through 
::Walt ::Roberto ::Griffin 
::Merrett ::Implications ::Margaret 
::Au ::Industrial ::Oliver 
::86 ::Gruber ::Wave 
::Modules ::Metrics ::Olga 
::Bruns ::Celentano ::Sundaresan 
::Rasikan ::Massachusetts ::Shoring 
::User ::Krishna ::Bancilhon 
::ARIADNE ::Dimensional ::ODE 
::Systems ::Cubetree ::Thierry 
::Tables ::Patricia ::Effective 
::Supporting ::Elmasri ::Rewiew 
::Davood ::13 ::Randy 
::Aided ::Retrieval ::403 
::Concurrent ::Key ::Kiyoki 
::DDT ::Differential ::Arguable 
::NSF ::Luther ::Brigitte 
::Carey ::Space ::Vermeer 
::UNIX ::Guidance ::Sizes 
::Reiner ::How ::Hayama 
::Rusinkiewicz ::Problems ::Reordering 
::158 ::Records ::Are 
::Balancing ::Toiati ::Marcel 
::non ::Luef ::Alain 
::Gibbs ::Delayed ::Barry 
::Yasuhiko ::Huffman ::Wm 
::Braham ::Muntz ::125 
::Annie ::Must ::294 
::COntext ::James ::Problems 
::Riekert ::Guidance ::512 
::434 ::Esther ::Grasnickel 
::441 ::Alternative ::Bombay 
::Balancing ::Neil ::Decompositions 
::Young ::ADS ::Tolerance 
::Gung ::Resistant ::Sripada 
::Ramasamy ::Gelder ::Page 
::Change ::Deferred ::Barry 
::De ::al ::Sites 
::Frasson ::Client ::ODMG 
::Interpreted ::Stepwise ::Paris 
::Model ::Reddy ::Remotely 
::Support ::Cube ::513 
::Bulk ::Khoa ::Ulusoy 
::Gyssens ::Geo ::Complexity 
::Kanellakis ::Sizes ::Version 
::260 ::Watson ::402 
::Erich ::Pena ::PREDATOR 
::Yuri ::zhan ::14 
::155 ::DeeDS ::Inter 
::Hyuk ::Nathan ::454 
::DBMSs ::Shilpa ::Stuckey 
::Sevcik ::Masses ::Muntz 
::Hansson ::Hillyer ::Commentary 
::Jan ::Chomicki ::WWW 
::40 ::Piyush ::Associative 
::Hierarchically ::Gyssens ::Karlapalem 
::Disco ::Sequences ::Response 
::Closing ::417 ::Minyoung 
::Controlled ::Sheung ::Curry 
::Kenn ::Optimized ::Tyler 
::AssociationRules ::Querying ::Remzi 
::Windows ::Ramez ::SENTINEL 
::Fault ::Christophides ::Chin 
::Ramakrishnan ::Conjuction ::Mitch 
::Cocktail ::Approximations ::539 
::Marvin ::Gale ::Expensive 
::WORM ::Han ::Lim 
::Viviane ::Breaking ::Lon 
::Guangshun ::Lodge ::Cole 
::Funkhouser ::Sharma ::128 
::Birgitta ::Hbel ::Mohamed 
::Rashid ::Earth ::Investigation 
::Completeness ::335 ::Dense 
::Hara ::Botnich ::OLAP 
::Institute ::Garza ::236 
::504 ::Ensuring ::Giuseppe 
::Iyer ::Papakonstantinou ::Combining 
::204 ::Creating ::Nulls 
::Remote ::72 ::Maurice 
::Beigel ::Ricardo ::SQL3 
::ONTOS ::Kuntz ::Merge 
::Berson ::515 ::Thierry 
::Yves ::517 ::to 
::Experiments ::Servers ::Zirm 
::Stephen ::Sampaio ::Data 
::Optimizer ::Bernard ::Piatetsky 
::AssociationRules ::355 ::505 
::Processor ::Educational ::Ksiezyk 
::40 ::Flip ::Lynn 
::Sevcik ::Schuble ::Mehrotra 
::Concerning ::IPSI ::Tyler 
::Jutta ::Sophie ::SBBD 
::Barinderpal ::1999 ::Colliat 
::Multidatabase ::Energy ::Backup 
::Gregory ::Sripada ::Kerschberg 
::Anthony ::Knoblock ::Extendible 
::ARIADNE ::wide ::Hyuk 
::Alfonso ::structured ::Eliminating 
::Cubes ::Brown ::Allen 
::Crisis ::Achitecture ::Jian 
::536 ::Distribution ::Yue 
::Segment ::Kanellakis ::Context 
::Cole ::Virtual ::423 
::Pierangela ::Don ::Base 
::Atomicity ::Strategies ::Jerry 
::TODS ::Tom ::Mediratta 
::521 ::Gehrke ::Wrapper 
::Bergamaschi ::STRIP ::Leonard 
::Imielinski ::Component ::Leonid 
::518 ::Tei ::NF2 
::347 ::Georges ::Ross 
::Claudia ::100 ::515 
::Thierry ::level ::Winslett 
::227 ::Modeling ::509 
::Tei ::Applications ::394 
::Enough ::Wells ::Goh 
::Striping ::Sibel ::Krishna 
::Hall ::Agents ::450 
::Complete ::579 ::Subrahmanian 
::ODE ::Batory ::Segment 
::Records ::Parity ::Krishnan 
::Evaluating ::Karen ::Markos 
::Shahram ::OLTP ::Shinichi 
::Jagadish ::Extracting ::323 
::Katayama ::70 ::Unpacking 
::Databases ::Fault ::MLS 
::Stuart ::Report ::Naughton 
::Recursion ::Commit ::Concepts 
::Arnon ::Taube ::Devor 
::Actions ::Supporting ::Storage 
::Treasurer ::Mechanisms ::The 
::Aloysius ::Utilities ::Approach 
::Machlin ::Kabra ::Bressan 
::McGuinness ::Gorelik ::Leo 
::Enterprise ::Silberschatz ::Firm 
::Preface ::Very ::Fynn 
::King ::Activity ::Converting 
::112 ::Brunie ::Donko 
::Enforcing ::Kaizhong ::Gehrke 
::Abdelsalam ::Stolfo ::Rastogi 
::Brachman ::versionControl ::Au 
::Yerneni ::Sidell ::Reiner 
::Ptool ::Visualisation ::Sagonas 
::Delayed ::Monash ::Message 
::Legaria ::Among ::Kenneth 
::Management ::Nan ::Queries 
::Inference ::Sampaio ::237 
::site ::WWW ::Stonebraker 
::Remzi ::Urban ::Knowledge 
::Sleepers ::Rates ::they 
::Guozhu ::Sarda ::Spyros 
::Ins ::Michele ::Algorithm 
::491 ::Merz ::535 
::Ballinger ::Who ::Kang 
::Timothy ::DBMiner ::Takashi 
::Margulies ::Providing ::Stephen 
::Content ::zden ::Reddy 
::GENESYS ::Hamid ::Step 
::Ko ::Quass ::Tyler 
::Melton ::Oriented ::Masses 
::WWW ::Shoring ::Amouroux 
::ichi ::253 ::Qin 
::Handling ::by ::USL 
::Georg ::Hammer ::Action 
::557 ::Silberschatz ::224 
::Spotfire ::Woodruff ::Consensus 
::AMS ::Space ::Intensive 
::406 ::ke ::Grammar 
::579 ::Pang ::Confluence 
::Matchmaking ::208 ::Repositories 
::Lotus ::Written ::Guangshun 
::Sarathy ::Rational ::tree 
::data ::E ::Swarup 
::Improving ::Defense ::Eliminating 
::Goel ::GeoMiner ::99 
::Ralf ::ke ::Molina 
::Warkentyne ::Harumi ::Benchmarks 
::Markowitz ::Yibei ::Candan 
::Sites ::Future ::Maurice 
::268 ::Tian ::Centre 
::Eisenberg ::Optimality ::Nearest 
::Models ::Qingshan ::75 
::Match ::21 ::Extracting 
::Rowland ::Multidatabase ::Can 
::Fine ::Hoc ::Stephan 
::Hernndez ::Measurement ::Manfred 
::REpository ::Class ::al 
::Arya ::Svetlozar ::Testbed 
::Rajiv ::Berndtsson ::Madnick 
::Consensus ::Markos ::Schning 
::Shectman ::Type ::Kennedy 
::Tuning ::Davidson ::Kasi 
::Left ::STARTS ::Shekita 
::Ellis ::Selfridge ::Hung 
::512 ::Wade ::Method 
::Pons ::Ramirez ::Maindreville 
::Optimizer ::Su ::266 
::Arpinar ::Matchmaking ::Warehouse 
::Concurrency ::Fast ::Multidimensional 
::McIver ::Ioannidis ::STRIP 
::109 ::Serge ::Dina 
::Features ::Sengupta ::SG 
::Symmetric ::394 ::Anand 
::Hodges ::Brown ::Andreas 
::Retrieval ::Experiences ::Multidatabase 
::Venky ::Amr ::Transient 
::Explanation ::ODBMS ::Reconciliation 
::Retention ::Willard ::MDM 
::Persistence ::Janus ::DBSim 
::DB ::Integrating ::MQSeries 
::Final ::237 ::Confluence 
::Crestana ::Applying ::197 
::177 ::Wolfson ::Markos 
::Klaus ::Gerald ::Legaria 
::Sequences ::Metrics ::automatic 
::Composite ::Madnick ::Woolf 
::406 ::Mehdi ::470 
::McCarthy ::Shivakumar ::Tolga 
::56 ::Commitment ::Snapshot 
::External ::Refresh ::We 
::Jaideep ::Processors ::Bulk 
::Skeen ::Freeman ::CITRI 
::Jrgen ::Cowley ::Didier 
::Lori ::Nural ::Mediratta 
::Kitsuregawa ::Size ::Jenny 
::Klemens ::Roussopoulos ::ODMG 
::218 ::Contextualizing ::Analyti 
::Stole ::Haim ::305 
::articles ::Revisted ::Bohrer 
::Andersen ::Characterization ::Rajaraman 
::Rasikan ::Selectivity ::Record 
::Andrzej ::208 ::Brad 
::Clark ::Yehoshua ::Ilker 
::Bamford ::451 ::335 
::Institute ::by ::Keith 
::Hearst ::Files ::Strategies 
::Hawthorn ::Measurement ::STARTS 
::GESTALT ::Piatetsky ::Distributor 
::108 ::Trickey ::Ulm 
::Products ::Similarity ::Workaholics 
::Array ::Bulk ::Funding 
::During ::Measurement ::There 
::Disc ::418 ::Terry 
::Kent ::Woolf ::Navarro 
::Ni ::Commentary ::OASIS 
::Sharma ::K ::den 
::Ko ::576 ::Luc 
::Gardarin ::Challenge ::Brad 
::Dusseau ::RIDL ::Sivasankaran 
::Dogac ::Kucera ::McKay 
::Graham ::HweeHwa ::Disc 
::Challenges ::14 ::Tool 
::Madhu ::Niki ::Ramesh 
::DEVise ::Hasselbring ::Meeting 
::17 ::Digital ::Knowles 
::Webb ::132 ::Claims 
::560 ::relational ::P 
::He ::Hongjun ::563 
::s ::Nikolai ::Schning 
::Extensible ::Jamison ::Between 
::Religious ::227 ::Gehani 
::Vaskevitch ::Alejandro ::Rule 
::trees ::254 ::Approach 
::Koudas ::Altintas ::Pat 
::database ::Use ::Thor 
::Scott ::issues ::Dogac 
::Girish ::Nikhil ::419 
::Adelberg ::Digital ::Arvola 
::Survey ::Guest ::Goyal 
::Chin ::Generalizing ::Thatte 
::Robertson ::Copeland ::Sakti 
::Transaction ::Deadlock ::Hampapur 
::Plans ::Guido ::Gallagher 
::Gultekin ::Jonathan ::Self 
::Sagiv ::Uz ::Theodoulidis 
::Assessment ::Schemes ::Comprehension 
::Accociation ::Combinatorial ::Grained 
::261 ::185 ::Popova 
::De ::Notions ::Diagram 
::Postgres ::Push ::NASA 
::Juergen ::Down ::Nyberg 
::Braunmller ::Tschernko ::Yoshinori 
::Reference ::Elliot ::Box 
::Winslett ::Amouroux ::Disc 
::Closing ::Cvetanovic ::Tokens 
::148 ::Indexes ::Wrapper 
::Loeffen ::SQL ::Rishiyur 
::Step ::Ahlberg ::Simultaneous 
::Conjuction ::Cherniack ::Beigel 
::Malkemus ::506 ::CODASYL 
::Christos ::Amr ::Video 
::SigmodRecord ::Initial ::Interface 
::Clement ::STARTS ::Umesh 
::Sequential ::Testing ::99 
::54 ::Personal ::Gal 
::Fukuda ::360 ::Dhaval 
::Viswanath ::Tutorial ::Werner 
::164 ::Nan ::Stemple 
::Eaglestone ::Real ::Hans 
::Rolland ::Collection ::Optimizer 
::Transaction ::Timeliness ::Dieter 
::Laks ::Toolkit ::Automation 
::518 ::2001 ::Declustering 
::OODB ::Jain ::Leonardo 
::Egemen ::Arrays ::Consistency 
::radi ::Kolodner ::Garbage 
::Melissa ::Finite ::76 
::Wechsler ::Protocol ::Selfridge 
::Shenoy ::Going ::Peter 
::Designing ::USD ::Batory 
::Andries ::270 ::219 
::Nandit ::Platforms ::Global 
::Jim ::314 ::508 
::Copeland ::Shilpa ::Goetz 
::Bernstein ::One ::Finkelstein 
::Capabilities ::DeWitt ::DBMiner 
::422 ::178 ::Very 
::Garza ::Weihl ::SONAR 
::Requirements ::572 ::Ramachandra 
::Miron ::Brinkhoff ::GESTALT 
::Frank ::Lineare ::Simultaneous 
::Shing ::Sun ::Euthimios 
::ObjectStore ::Independence ::Cherniack 
::Classroom ::266 ::Cowley 
::DARPA ::Melmom ::Guest 
::Wileden ::Methods ::Observing 
::Dimensional ::Source ::Environment 
::Baden ::Hansson ::Standardization 
::Hamid ::Jian ::Xiong 
::Multiversion ::Toiati ::Poosala 
::Proteus ::485 ::Gultekin 
::Algebras ::360 ::Passing 
::Gallagher ::69 ::Arrays 
::Qaimari ::Tsichritzis ::418 
::579 ::Down ::Shoens 
::190 ::414 ::Gucht 
::Reference ::Rajendran ::Packer 
::Curtis ::Stamos ::Improve 
::driven ::284 ::Testbed 
::516 ::Completeness ::351 
::Pirahesh ::Batory ::Pissinou 
::Bocca ::DataBlade ::Jrgen 
::Nandit ::Swarup ::Thumb 
::Bauyer ::Doughty ::Wang 
::Modular ::Lifestreams ::Webb 
::Products ::Queensland ::Upgrade 
::NASA ::Rajaraman ::Ulrike 
::Vijay ::Shasha ::Media 
::215 ::376 ::Creation 
::Services ::Anonymous ::Redundancy 
::Gehrke ::Presence ::Tomasic 
::Intensive ::OLE ::Comprehension 
::He ::Munindar ::Representation 
::Zobel ::Wilcox ::84 
::MLR ::378 ::547 
::Processors ::The ::Helen 
::Chinya ::LRU ::134 
::Schuh ::Search ::Cox 
::Soo ::Carsten ::John 
::Aiken ::Deferred ::Burns 
::Assisted ::Usage ::Repositories 
::ODBMS ::Klauser ::Jumping 
::Server ::Suppletment ::DBMiner 
::Lohman ::Mumick ::Resource 
::Muth ::Hasselbring ::VideoAnywhere 
::Lightweight ::Stankovic ::Lessons 
::On ::Comparison ::Pierangela 
::Koperski ::Arjan ::163 
::Terrance ::Hughes ::Klein 
::Advances ::Kasi ::TSQL2 
::Limsoon ::Goodman ::driven 
::Ramamritham ::Fixing ::Yahiko 
::Leonard ::Burns ::Center 
::440 ::WWW ::Arturo 
::Babis ::Papers ::Kamel 
::Tajima ::403 ::83 
::442 ::Bertino ::Llirbat 
::Karypis ::Amouroux ::Lodge 
::126 ::Closing ::Unpacking 
::Thor ::McGuinness ::Barber 
::Thanisch ::Shalom ::109 
::Karthikeyan ::Raghu ::Nita 
::Fetches ::Seshadri ::Antonio 
::Decompositions ::Finite ::Eliot 
::Vertical ::News ::Lucas 
::197 ::193 ::Witold 
::Feedback ::order ::BeSS 
::Balancing ::DeMichiel ::99 
::Thinksheet ::Scientific ::ONTOS 
::Simultaneous ::Prototype ::Breaking 
::Associative ::Joachim ::Index 
::Overview ::Stuart ::den 
::Stephan ::Haritsa ::Sean 
::Scacchi ::Avoid ::Prakash 
::at ::Xian ::Asuman 
::Bjrn ::Chaudhary ::Weienfels 
::Tan ::Extensible ::Audit 
::Shivakumar ::Calculus ::Its 
::Organization ::Optimization ::Mogi 
::Values ::Peithner ::Hui 
::Ensuring ::Brice ::Prototyping 
::David ::Thanisch ::Prasadram 
::Alexander ::Graphical ::Life 
::Wilhelm ::Stamos ::Scott 
::Relly ::340 ::Recent 
::Larson ::Sou ::GeoMiner 
::Schek ::138 ::Manager 
::Jim ::issues ::Eben 
::Nothing ::Kenn ::S 
::13 ::External ::R 
::Mediratta ::Ten ::191 
::Marron ::497 ::Cardenas 
::Jennifer ::First ::adaptive 
::Jochen ::Melton ::57 
::114 ::Cliff ::Lessons 
::190 ::Useful ::104 
::Spyros ::0 ::Vincini 
::Frdric ::Osmar ::HyperStorM 
::Sheldon ::DBMiner ::Mancuhan 
::Marco ::Mapped ::Gilles 
::Betty ::Much ::Perspectives 
::Ganesh ::DDTS ::341 
::Who ::Shin ::Characteristics 
::Index ::Wong ::311 
::Reedy ::Jessie ::Queries 
::Arpaci ::Multiprocessor ::Helen 
::Term ::Terrance ::231 
::Command ::Sheldon ::Fast 
::Shamkant ::Goldfine ::Dar 
::Dependencies ::Mellin ::434 
::Optical ::Budak ::Activity 
::NET ::Non ::Structure 
::Jordan ::Lougenia ::Yehoshua 
::Kirby ::Zhao ::Horizontal 
::Bill ::405 ::Alonso 
::Activity ::17 ::PREDATOR 
::Computers ::Elliot ::Restrictions 
::Enforce ::QuickStore ::Botnich 
::Stolfo ::Energy ::525 
::408 ::Made ::Mick 
::D ::Orientation ::Zobel 
::Alexandros ::Francine ::Keitel 
::Case ::Hard ::Snodgrass 
::Sam ::Wasserman ::Alperin 
::Forth ::7 ::Anant 
::138 ::Kosmas ::110 
::Proposed ::Low ::Orenstein 
::Into ::Do ::Series 
::Keim ::413 ::46 
::Brigitte ::Relational ::DBS 
::issues ::Troyer ::OODB 
::Execution ::Hayama ::MENTOR 
::305 ::Genesereth ::Nado 
::Table ::BIRCH ::Disambiguation 
::Weienfels ::Commentary ::Real 
::Right ::Wodtke ::Relations 
::Gelder ::Relationships ::42 
::AMS ::Language ::Queensland 
::Antonio ::419 ::Downing 
::Eaglestone ::Media ::Gale 
::Lum ::86 ::468 
::Manolopoulos ::Relational ::Compression 
::Cowley ::Hare ::301 
::Unpacking ::Alex ::Chris 
::Milo ::Huang ::Qureshi 
::155 ::Rdb ::Ramanathan 
::Checking ::Hian ::vendor 
::Val ::324 ::Christos 
::207 ::Badrinath ::CLASSIC 
::Witold ::Skeen ::vendor 
::Katayama ::9 ::Mathematical 
::552 ::Cai ::Experiences 
::Jones ::Kline ::Gung 
::Broadcast ::B+trees ::Manifesto 
::Myllymaki ::Extendible ::Incomplete 
::405 ::Thor ::Fatima 
::Nimrod ::543 ::Chim 
::Madhu ::Karlapalem ::Lynn 
::Mrcio ::Catherine ::yiu 
::Himanshu ::Duval ::Optimizing 
::Marcus ::Standards ::Ugur 
::Roland ::Schwartz ::Properties 
::Yuksel ::Potamianos ::Yannis 
::Bruno ::Alphanumeric ::Schang 
::Catherine ::292 ::Benchmark 
::Amherst ::Versus ::Yasuhiko 
::Asgarian ::Correlations ::Software 
::46 ::282 ::Mancuhan 
::Spatial ::Structure ::Ariel 
::Marina ::Manfred ::Predictive 
::Obrst ::550 ::Josef 
::Fault ::DeWitt ::Joachim 
::Versus ::Vrbsky ::DART 
::BCNF ::Kriegel ::Extension 
::ANSI ::Dataflow ::Queensland 
::is ::using ::Hillebrand 
::Joakim ::Leo ::Extending 
::Sequences ::Skowronek ::Optimal 
::Continuous ::Jian ::21 
::Melton ::Models ::Postgres 
::LRU ::RISC ::9 
::Optimistic ::Year ::Mamou 
::tree ::Brad ::Spyros 
::Decision ::Oriented ::Atri 
::Issues ::101 ::Cooperation 
::Alain ::Silvio ::365 
::Burger ::B+trees ::Architecture 
::Hong ::Masaru ::Soparkar 
::Tufte ::Section ::Andrianopoulos 
::Abstract ::COSS ::Rozenshtein 
::355 ::Images ::408 
::Min ::Sergey ::Zobel 
::Vipul ::Doo ::Z 
::QuickStore ::Maintaining ::Toward 
::Enterprise ::Pirahesh ::178 
::Hillyer ::Kucera ::Rupawalla 
::Colette ::Academic ::Elsbernd 
::ODMG ::Oliver ::Mapping 
::Dong ::DeeDS ::Sethi 
::Amy ::Execution ::Alberto 
::Funding ::Helen ::Nectaria 
::Nearest ::Mult ::Chuan 
::Mlle ::Spyros ::Ronald 
::Lineare ::Concurrent ::277 
::Franklin ::300 ::170 
::Sten ::Liuba ::Lorie 
::Morishita ::Krishnan ::Papoulis 
::Jrg ::Predicate ::91 
::Orthogonally ::Downing ::Magic 
::Weihl ::radi ::Hasanat 
::Rafiei ::Kucera ::Yih 
::DBMiner ::Aris ::1 
::Guozhu ::Abstract ::Qualitative 
::Soo ::Into ::Silvio 
::Optimizers ::Mapping ::Management 
::Iterative ::Pedagogic ::Metadata 
::Pirahesh ::Bryan ::Dong 
::Deshpande ::McHugh ::Sylvia 
::San ::489 ::Yasushi 
::Sylvia ::tree ::Schneider 
::510 ::Schwartz ::Sanjay 
::Ramamritham ::Enhanced ::Bitton 
::Sibel ::Jeff ::99 
::378 ::Kolodner ::Meaning 
::CITRI ::92 ::Nita 
::Safe ::Cooperation ::Wade 
::540 ::Sundaresan ::Sequential 
::Chomicki ::Conrad ::16 
::485 ::Realizing ::Queens 
::Ins ::218 ::Lucas 
::428 ::452 ::Estimation 
::Indexes ::Agigdor ::Eaglestone 
::263 ::Arnold ::Chou 
::Yuksel ::J ::Introduction 
::301 ::Copeland ::line 
::Pedersen ::Line ::Selectivity 
::Haritsa ::158 ::Rowe 
::P ::Conflict ::Enforce 
::Ramamritham ::Wendy ::Establishing 
::Properties ::262 ::147 
::Time ::Nyberg ::Alfonso 
::Sidell ::Hallmark ::Oded 
::Chawathe ::Transaction ::Haenni 
::Dennis ::Honeyman ::Clark 
::Mackay ::483 ::Records 
::Providing ::Merging ::Papers 
::Open ::RIDL ::549 
::576 ::Seluk ::Karadimitriou 
::Inference ::R ::Manifesto 
::Walker ::Nimrod ::Gunter 
::Writes ::S ::Patricia 
::Piero ::58 ::Chuan 
::Concurrent ::Renner ::Kossmann 
::Qu ::Ouksel ::Class 
::Bitton ::Arpinar ::Son 
::Multiversion ::Strategies ::Size 
::Omran ::Utilization ::Lomet 
::Linda ::Descollonges ::Infomaster 
::57 ::Orientation ::Hoppenbrouwers 
::536 ::Approaches ::Ilker 
::187 ::Wen ::Partitioning 
::database ::Bennet ::Bhashyam 
::Finite ::Minyoung ::Towards 
::Shu ::Souza ::Ross 
::563 ::Devolution ::Multiple 
::Detection ::232 ::Chinya 
::Prasadram ::Mitch ::481 
::Costly ::Variant ::Codd 
::Larry ::Buneman ::Cartesian 
::Laks ::Paper ::Heterogeneous 
::Lists ::Papers ::Bandwagon 
::Rabinovich ::Article ::Kawaguchi 
::Croft ::402 ::11 
::Video ::Grained ::Image 
::Ghassan ::Gives ::Delobel 
::Gregory ::Conversion ::Department 
::Atul ::Detection ::422 
::Assessment ::Luther ::Separately 
::Garcia ::Stonebraker ::446 
::B+trees ::Kitsuregawa ::Urban 
::University ::Sun ::12 
::Kotidis ::Jerry ::Jignesh 
::Cory ::Roussopoulos ::Expert 
::Diagram ::Kifer ::Giuseppe 
::Ganesh ::178 ::Norrie 
::Summary ::423 ::Marco 
::Meral ::Section ::186 
::Nandlal ::Chair ::Maier 
::Contextualizing ::Fabret ::Cheap 
::Haas ::Iyer ::Werner 
::Madhu ::Yongdong ::Distributed 
::Distribution ::Nicolas ::Huffman 
::Report ::Lon ::Nelson 
::99 ::Mauricio ::Proteus 
::462 ::Optimistic ::Applying 
::Tai ::Qualitative ::Mehrotra 
::Date ::Brazilian ::Kerschberg 
::Lore ::Open ::285 
::Arpaci ::Remotely ::Kotagiri 
::Sizes ::Requirements ::Pipelined 
::relations ::DeeDS ::Charles 
::Strengthen ::Gruber ::514 
::Hoel ::Patel ::Ten 
::Dadam ::312 ::Transient 
::Hansson ::Evaluate ::G 
::Workloads ::Sevcik ::Amy 
::Subsequence ::Gemis ::Philippe 
::Middle ::Mendona ::DIPS 
::Vitter ::Helland ::Standardization 
::Spyratos ::Baden ::Kuck 
::Jyh ::Arizona ::TSQL2 
::Funkhouser ::Behavior ::Marc 
::OGDI ::Enforcing ::Kennedy 
::Predicate ::About ::Jerrold 
::Hoppenbrouwers ::Larson ::G 
::Clustering ::Simple ::Rapidly 
::403 ::Kosmas ::Sagonas 
::Four ::Zhou ::Handling 
::Etheredge ::551 ::Toby 
::We ::For ::TSQL2 
::Natural ::Object ::Hodges 
::545 ::Problems ::Editor 
::Errors ::Jrg ::Bozkaya 
::134 ::576 ::Gook 
::Enforce ::Dayal ::Answers 
::Biliris ::Concerning ::Doo 
::Cartesian ::Infomaster ::75 
::Hppler ::Printezis ::Guidance 
::Predicate ::247 ::Rengarajan 
::Buneman ::Theo ::404 
::Novel ::Proposed ::Medical 
::Lip ::Gehrke ::AMS 
::Colette ::118 ::Desai 
::Rex ::206 ::Norio 
::Shivakumar ::Object ::39 
::42 ::Laura ::Asgarian 
::Tai ::Updating ::N 
::Viviane ::Spyros ::Hillyer 
::Tork ::Guido ::Objectivity 
::Foreword ::LORE ::Fundamental 
::Mumick ::Another ::POSTGRES 
::Sizes ::Fernandez ::Legaria 
::Referential ::301 ::Sam 
::Manola ::MDM ::Juergen 
::OASIS ::Lu ::2000 
::VMS ::to ::Legaria 
::Ko ::D ::Eben 
::Bill ::Allen ::DB 
::Collection ::Language ::Eich 
::Schwartz ::Inge ::Condition 
::Winslett ::Space ::Hernndez 
::Reedy ::Allan ::Saying 
::Levine ::T ::Disjunctions 
::466 ::128 ::Mapping 
::Sanjay ::364 ::Platforms 
::Lewis ::Biswadeep ::Lineare 
::Piatetsky ::103 ::Alperin 
::Trickey ::White ::Capabilities 
::Survey ::Effective ::Where 
::Kenneth ::Dean ::Han 
::Schiefer ::320 ::Burger 
::Disjunctions ::Ramanathan ::Practice 
::Alexandros ::Minute ::Confluence 
::Warehouse ::Merialdo ::Brazilian 
::Adding ::AMS ::Control 
::Vaskevitch ::Deshpande ::Consumer 
::Secure ::Infinite ::121 
::Evrendilek ::352 ::Bill 
::Kucera ::Multimedia ::Gist 
::Realtime ::Extendeing ::270 
::Scientific ::Neuhold ::Stochastic 
::Mohan ::Kotidis ::Marc 
::Rulebase ::Compiled ::Mario 
::Hodges ::254 ::Environmental 
::Matthew ::Expensive ::Atsushi 
::Wars ::Sou ::Dense 
::Magic ::ISS ::Inverted 
::Gibbons ::Paton ::Hierarchically 
::Values ::Disjunction ::Overmyer 
::et ::Representation ::Interface 
::Tschernko ::Higher ::Providing 
::154 ::Attribute ::435 
::Emperiment ::Beng ::Networks 
::Sandra ::Interfacing ::Marcus 
::DDTS ::Larry ::Database 
::Ballinger ::Tannen ::Doan 
::Neptune ::Administering ::Aris 
::Graphs ::Natarajan ::Fong 
::Decomposing ::Lotus ::Thanisch 
::Zou ::DeWitt ::96 
::123 ::Hearst ::Trobe 
::Tolga ::Kornacker ::515 
::Wayne ::Seligman ::Natural 
::Predictive ::L ::Andreas 
::Order ::Celis ::Ibrahim 
::Casanova ::Karthikeyan ::Fotouhi 
::Logical ::Cubes ::357 
::337 ::Multidatabases ::ITASCA 
::Pull ::Franz ::Masaru 
::Machiavelli ::Priti ::Activities 
::359 ::Morpain ::Souder 
::TODS ::Sleepers ::Into 
::Jae ::Defense ::Rakesh 
::Network ::Ramesh ::Outer 
::Bhm ::Ilker ::Modules 
::65 ::Morpain ::den 
::Manager ::Karl ::Annotated 
::13th ::Order ::Hartson 
::Roth ::Therber ::52 
::Geo ::Castro ::Stefano 
::260 ::Jignesh ::468 
::Inapplicable ::Integrating ::Kilov 
::SG ::TSQL2 ::218 
::Procedures ::Jonas ::Tradeoffs 
::Robert ::Hans ::Lock 
::Eliminating ::102 ::Base 
::Current ::Transfers ::99 
::Heytens ::458 ::L 
::Chief ::Mendona ::wide 
::Franz ::ETH ::Phillip 
::Kspert ::Mendelzon ::van 
::Y ::Vassilis ::Bing 
::579 ::Rao ::Gary 
::Doughty ::Nestorov ::Based 
::with ::Guidelines ::96 
::Retrospective ::Among ::Ming 
::Tradeoffs ::Montage ::Prefetching 
::Termination ::Toiati ::Kapitskaia 
::Marvin ::Alexandros ::Ilker 
::Fotouhi ::417 ::r 
::Rashid ::Joseph ::Gouin 
::Marianne ::Dimitrios ::Protocol 
::Predicting ::Stepwise ::Won 
::Gang ::Ion ::447 
::Pattern ::Updates ::136 
::Activity ::Brodsky ::Susan 
::White ::Cody ::Helland 
::262 ::22 ::Semantics 
::Segment ::Val ::Doan 
::Integration ::It ::ARIES 
::Dieter ::Latha ::Discs 
::Consensus ::340 ::Kashyap 
