::Rates ::Kocharekar ::Ralf ::Local 
::Warehousing ::Infrastructure ::Klauser ::1993 
::Bushy ::TSQL2 ::330 ::Third 
::Atzeni ::Goldberg ::Fraternali ::level 
::Gang ::Must ::Computers ::Path 
::Hwang ::Knoblock ::International ::Zarka 
::Modeling ::tree ::Downing ::Rafanelli 
::Srikant ::Integrated ::102 ::288 
::STRIP ::Duval ::Artur ::Ceri 
::Ricky ::Infinite ::Tufte ::Souder 
::Atzeni ::Arizona ::Common ::330 
::Chaudhary ::Meets ::Algebra ::Zhuge 
::Stphane ::Ra ::Bayardo ::Karl 
::Botnich ::Stephan ::Petterson ::230 
::268 ::Masaru ::Silvano ::Treasurer 
::Jaewoo ::Per ::Davison ::Ozcan 
::Restrictions ::Ulla ::Editors ::388 
::Utilizing ::Isabel ::Enough ::Teradata 
::Pratap ::Other ::Prefetching ::Stephen 
::Dale ::79 ::Prototyping ::Abel 
::83 ::Walch ::Shapiro ::Antonia 
::Observing ::CoopWARE ::Sites ::Fernandez 
::Design ::Terry ::Existing ::We 
::Bertino ::297 ::Jorge ::Synthetic 
::Rasikan ::HG ::Swarup ::Torlone 
::Aberer ::Inter ::Tsong ::Celentano 
::yiu ::Larson ::Dennis ::EXODUS 
::Incorporating ::Nearest ::Scheduling ::Kashyap 
::ITRI ::Willard ::Mary ::Treasurer 
::Vance ::McKay ::Shoshani ::277 
::Algebras ::Degradations ::Interfacing ::Bibliography 
::Retrieval ::STRIP ::Advances ::High 
::Other ::Cube ::Maier ::Ebru 
::Measurement ::Made ::Jefferson ::492 
::Stphane ::ARTDB ::Datalog ::Displays 
::Goh ::Centre ::Ouri ::Revisted 
::Join ::of ::Actions ::Lock 
::Kossmann ::Yeung ::Predictive ::Shoens 
::Anderson ::Simulation ::114 ::Number 
::DB2 ::90 ::Konstantinos ::Loeffen 
::Rolker ::Boon ::Snapshot ::Schiefer 
::Wentland ::Files ::Partition ::509 
::Link ::Keller ::For ::554 
::Karlapalem ::Sarda ::Takashi ::Ouksel 
::Framework ::Braham ::Spotfire ::Siegel 
::Jos ::Yongjian ::Picture ::Tolga 
::Spotfire ::266 ::Melton ::Pernici 
::Andersen ::Rivero ::52 ::Append 
::Loops ::Mitschang ::Values ::Constraints 
::Enterprise ::Claude ::Sidell ::Vijay 
::Records ::Dean ::Hsiao ::54 
::Metrics ::3D ::Position ::Karl 
::Piatko ::62 ::Edward ::Disc 
::Breitbart ::Dreyer ::Kaizhong ::Of 
::Effect ::McAuliffe ::Doughty ::Linderman 
::Sharad ::Tang ::Bhargava ::Meaningful 
::Yuri ::Shneiderman ::Workloads ::Remzi 
::Goh ::Fabret ::Relaxed ::Concepts 
::Melvin ::Strengthen ::Copeland ::Trees 
::McKay ::301 ::Anupam ::Sites 
::Marcus ::26 ::Chirn ::Consens 
::Thompson ::Arpaci ::Explanation ::level 
::SEQUOIA ::were ::95 ::Hung 
::AlphaSort ::Michle ::as ::Right 
::Three ::Andrew ::Cem ::Geophysical 
::Barber ::286 ::280 ::Pessimistic 
::Properties ::Deshpande ::Administering ::Enhancing 
::Haritsa ::Linderman ::Divesh ::422 
::450 ::Scheme ::Schema ::Yossi 
::from ::Georgakopoulos ::Dataflow ::Finite 
::von ::Ulusoy ::Karlapalem ::Prospector 
::Multiprocessor ::Anastasia ::Informal ::With 
::Thomas ::Natarajan ::Dekeyser ::Victor 
::they ::Andrianopoulos ::101 ::Shum 
::313 ::Position ::Amit ::Quasi 
::Jennifer ::McCure ::Koksal ::Molina 
::Consensus ::DART ::Kuno ::Gerhard 
::Nimrod ::Properties ::Low ::Relationship 
::Braham ::F ::Rundensteiner ::Dependence 
::Linderman ::Akira ::Elmagarmid ::s 
::Klauser ::Outerjoins ::Sam ::187 
::Haradhvala ::Cherniack ::Digital ::DeeDS 
::Oliver ::Errors ::264 ::GENESYS 
::Representing ::OGDI ::Agrawal ::Inegration 
::Woelk ::Syntax ::Ingres ::During 
::Algebras ::OASIS ::Willard ::Lieuwen 
::Already ::Upon ::Qian ::Pedagogic 
::Colin ::Thin ::Barry ::Gesmann 
::Dependence ::Mohamed ::Keim ::San 
::Bhashyam ::Message ::Testbed ::477 
::Mosh ::Vander ::issues ::13th 
::Thor ::Naughton ::Building ::230 
::Specifications ::Aberdeen ::Flip ::Loading 
::Joachim ::Example ::Leonard ::Services 
::Academic ::Wimmers ::populated ::Manish 
::Metadata ::Study ::Hearst ::CAD 
::Definition ::Stephen ::191 ::Yih 
::Min ::Modelling ::CAD ::Joins 
::Markus ::Approaches ::Optimization ::317 
::Galindo ::Narain ::SQL3 ::461 
::8 ::Daz ::Decomposing ::DIPS 
::Continuous ::Englert ::Message ::Shashi 
::468 ::Dao ::386 ::32 
::Hbel ::Eben ::Representation ::Limsoon 
::X3 ::Nutt ::Ulm ::Costa 
::Mariano ::Wells ::Lessons ::Industrial 
::78 ::Steinbrunn ::Esther ::Machine 
::Fabret ::Adaptive ::315 ::Correctness 
::van ::Prototyping ::Dataflow ::Inc 
::Okay ::Secondary ::Douglas ::ARIES 
::Frank ::Semantic ::Assisted ::Closing 
::113 ::517 ::294 ::Miller 
::of ::Challenge ::Nicolas ::Networked 
::Seligman ::273 ::377 ::Hampapur 
::OGDI ::Bushy ::Vossen ::Benjamin 
::Boral ::Index ::31 ::Farshad 
::Testbed ::Mikael ::It ::Daz 
::Minyoung ::DIPS ::Guangshun ::FaceKit 
::Shoens ::Shing ::Requirements ::Kilov 
::Inference ::Scalable ::Invitational ::Costa 
::Shea ::Jayant ::as ::547 
::Hyuk ::Ravi ::Tompa ::Myllymaki 
::Shenoy ::Right ::time ::Celentano 
::Rivero ::CAD ::Chou ::370 
::Ilsoo ::Sizes ::Bressan ::Sequences 
::Son ::Nascimento ::Achievements ::Environments 
::Knox ::33 ::Sudarshan ::Computations 
::Indices ::Gouin ::253 ::Kuan 
::Breunig ::Donjerkovic ::Dean ::Advanced 
::Per ::Asuman ::Botnich ::R 
::Referential ::Ada ::559 ::Mrcio 
::Wade ::Earth ::Press ::Fong 
::Scalable ::Rao ::Lim ::247 
::Erbe ::Deborah ::Series ::Rengarajan 
::Objectivity ::Bocca ::Packer ::Implementation 
::Roark ::Taube ::Imielinski ::Gad 
::Schnhoff ::Grandi ::Inserting ::US 
::Babis ::Mirroring ::Nematollaah ::Atzeni 
::Into ::AlphaSort ::Abdel ::407 
::378 ::Processing ::Hoc ::Vipin 
::Form ::127 ::474 ::Red 
::Clements ::Widoff ::Viviane ::Control 
::242 ::Jay ::Chendong ::Lon 
::Assessment ::Nabil ::Teorey ::Schang 
::Kieling ::Markowitz ::Marek ::Standard 
::21st ::DBSim ::90 ::NET 
::Christodoulakis ::Miranda ::vendor ::Replicated 
::Index ::Tokuyama ::an ::X3 
::Chee ::365 ::Rdb ::Maintaining 
::Cheng ::ADS ::Latha ::Karthikeyan 
::is ::Meta ::Pierangela ::418 
::Terms ::Stenoien ::Schmidt ::W 
::Tufte ::Bergamaschi ::Andrea ::Windows 
::Ricky ::Gallagher ::Botnich ::Lotus 
::Relationships ::Jagadish ::Fault ::27 
::Partial ::Five ::Gonzalo ::OR 
::Simultaneous ::Mendelzon ::Young ::357 
::Supporting ::510 ::Agigdor ::Iterative 
::Stefano ::Good ::Software ::219 
::560 ::Marvin ::103 ::Read 
::Paepcke ::Nikhil ::Production ::at 
::Hong ::Chim ::Sengupta ::Index 
::Mahboob ::Shapiro ::Monitoring ::Ford 
::Rafael ::Catherine ::Unpacking ::Sandra 
::Chuan ::224 ::Compiling ::Taylor 
::Max ::473 ::546 ::Clustering 
::Deadlock ::Approach ::Ouri ::Infering 
::Ray ::Sripada ::Schwarz ::Aloysius 
::Jun ::308 ::Tony ::Intensive 
::19 ::Predicting ::Guidelines ::Frameworks 
::Perspective ::Federation ::380 ::Environment 
::Bjrn ::Workbench ::Cvetanovic ::Claudia 
::69 ::1988 ::Mema ::SIM 
::Lon ::400 ::Scans ::Language 
::Dengi ::Antonio ::Generalizing ::336 
::Exploiting ::Silvano ::341 ::Mark 
::Per ::Ullman ::Ion ::Abbadi 
::Mandy ::Mukul ::DDT ::Klein 
::Trading ::548 ::articles ::Ada 
::Bussche ::Larouche ::Schang ::Jrg 
::190 ::Combining ::Future ::Knowles 
::Document ::Interface ::Tool ::Giansalvatore 
::Dimitra ::Roantree ::379 ::Lori 
::42 ::Schang ::Local ::Stefano 
::radi ::Supporting ::Method ::120 
::Pedersen ::163 ::IDEA ::Kiyoki 
::Feedback ::Stefano ::Klonk ::Jacobs 
::Recurrent ::Example ::154 ::Balakrishna 
::Ceri ::Hearst ::Jensen ::64 
::Cardinaels ::Rengarajan ::Janus ::Sou 
::Meaningful ::Sang ::152 ::Paris 
::OODB ::Z ::Symposium ::Trading 
::Challenge ::Model ::Garnett ::370 
::Asserting ::issues ::245 ::Achyutuni 
::Zoerntlein ::Gal ::Spyros ::134 
::B ::Sciore ::initPage ::Laguna 
::Mohan ::Tai ::Chim ::Approach 
::System ::43 ::Seth ::Finkelstein 
::Tarantino ::305 ::Treasurer ::Symposium 
::Hasanat ::Rakesh ::Catherine ::Structured 
::Sylvia ::Cache ::Christophides ::Riccardo 
::Evaluation ::Firm ::Ubell ::Relihan 
::Schema ::Weinberger ::48 ::Apparatus 
::Assets ::251 ::STEP ::482 
::Document ::Delcambre ::Outs ::Vassilis 
::Kuntz ::Stefan ::Dyreson ::Hubert 
::Andree ::163 ::Consumer ::Budak 
::Peithner ::Seeger ::Dieter ::Marco 
::Melmom ::Effelsberg ::Philip ::POSTGRES 
::540 ::Raju ::Lam ::Design 
::Jamison ::Norman ::Bill ::Fagin 
::Chirn ::Crash ::Disambiguation ::Kohler 
::Schuble ::Context ::DeeDS ::Perform 
::Dewan ::MDM ::231 ::Announcement 
::Complete ::Toiati ::Multi ::Computer 
::Tininini ::Gruber ::Malkemus ::46 
::Pirotte ::Fabio ::Lakshmanan ::Rahm 
::Stamos ::Term ::Franois ::Are 
::Anindya ::355 ::ZOO ::Deferred 
::ke ::Function ::Missing ::Rishiyur 
::Materialized ::Lim ::Florescu ::Facility 
::Merz ::Er ::Framework ::Critical 
::Newmann ::Biliris ::Khedkar ::Brodie 
::560 ::Utilities ::Marcus ::Blott 
::Kumar ::Transfers ::Unifying ::dimensional 
::Packer ::Lothar ::Sistla ::Kazuhiko 
::Jukic ::63 ::Hellerstein ::media 
::Assessment ::Administering ::Doppelhammer ::Benchmarks 
::Matching ::2000 ::Year ::4th 
::540 ::Supporting ::Correlations ::109 
::Pletch ::124 ::Extensible ::Actual 
::Paper ::Knowles ::Widom ::1951 
::Tomasz ::Ait ::51 ::Paraboschi 
::Sure ::Antonio ::Compression ::419 
::Laks ::Unix ::Ken ::Goldner 
::Angelika ::83 ::Denis ::Their 
::Software ::Burger ::506 ::Sripada 
::Environments ::DARPA ::Roth ::Vincini 
::Lynn ::Doo ::1988 ::Inheritance 
::Term ::Wendy ::Sarda ::Dina 
::Darrell ::Per ::Consistent ::Kuan 
::Distribution ::Sarathy ::Forms ::Suryanarayana 
::387 ::Yang ::Bruno ::Buneman 
::Jordan ::Solving ::Hartmut ::their 
::Join ::Sibel ::395 ::Gadia 
::there ::Management ::Qian ::Mayford 
::New ::Vijay ::Cardinaels ::Adding 
::Asserting ::Chopping ::Gingras ::Paepcke 
::Renner ::Andrew ::Partitioned ::Bauyer 
::58 ::Agarwal ::Mogi ::Ada 
::186 ::Donovan ::404 ::User 
::Nenad ::450 ::Expressive ::Prolog 
::305 ::MultiView ::543 ::221 
::Records ::NII ::Franois ::Transitive 
::T ::Between ::Multiprocessor ::Quickly 
::Workflow ::Obrst ::Actions ::relations 
::Krishna ::Weihl ::Survey ::560 
::579 ::Pletch ::Prototyping ::423 
::462 ::Beigel ::Daniela ::Generating 
::Venky ::Massachusetts ::Spyratos ::Freeman 
::115 ::Hellerstein ::Semantic ::Erratum 
::Structured ::Notes ::Alex ::Stemple 
::567 ::Biswadeep ::556 ::Sagonas 
::Derived ::Yossi ::Stamos ::Amihai 
::Alain ::474 ::ODMG ::Segev 
::Arya ::Nectaria ::Markowitz ::Coherency 
::wide ::Xiong ::Rajeev ::HweeHwa 
::Jerry ::Christoph ::Block ::Lum 
::Wen ::Ceri ::Inter ::Nikhil 
::Paraboschi ::Anindya ::353 ::Fabio 
::3 ::Conjuction ::Tei ::404 
::458 ::McLeod ::Level ::Out 
::Weikum ::Partition ::504 ::Beigel 
::MLR ::Codd ::Wildcards ::GIUKU 
::Metrics ::395 ::Koch ::Roy 
::Rona ::Hbel ::Paredaens ::Coherency 
::et ::Sushil ::Schemas ::Christoph 
::Shashi ::Confluence ::Workshop ::Minute 
::Access ::Decomposing ::Gravano ::Lois 
::Assurance ::Mult ::186 ::Boral 
::423 ::Wave ::Redundant ::RAID5 
::159 ::510 ::Heiler ::Negotiation 
::SQL ::353 ::Academic ::Simon 
::New ::Galindo ::Erbe ::Montage 
::Francine ::509 ::29 ::127 
::Christine ::Flaws ::Validation ::DBMiner 
::Aidong ::Five ::Prefetching ::25 
::NSF ::219 ::Helen ::Megiddo 
::Selfridge ::Shivakumar ::Marvin ::Trobe 
::56 ::Interfacing ::The ::Praveen 
::Joakim ::Complete ::ARTDB ::Implication 
::Hoel ::Ishwar ::Marc ::Main 
::Camps ::258 ::Yerneni ::Chris 
::Evaluating ::Jayant ::There ::Despina 
::Chris ::380 ::Schemes ::Werner 
::Information ::Semi ::Active ::Snodgrass 
::311 ::Doughty ::Yihong ::Florescu 
::Improve ::Wiest ::Davis ::Users 
::BeSS ::Buffer ::volume ::Locally 
::database ::Nutt ::Vervaet ::Fry 
::Elizabeth ::Shin ::Shahram ::Nguyen 
::Controlled ::Sushil ::Liam ::Thanisch 
::Wisconsin ::any ::Kspert ::UIS 
::Analysis ::Susanne ::Andrea ::235 
::Actions ::are ::Dewan ::Predicates 
::Aberdeen ::Studies ::Backup ::Takeshi 
::Benny ::Toiati ::Distribution ::Maxine 
::Prasadram ::128 ::Hsiao ::Virtual 
::Kocharekar ::Vrbsky ::Mediratta ::497 
::SEQUOIA ::Manish ::Young ::Golshani 
::View ::Dayal ::Associative ::Nandlal 
::Walters ::99 ::Tschernko ::ITASCA 
::Processing ::Koudas ::Wedekind ::Kupsch 
::Maheshwari ::Paolo ::Point ::Dangers 
::Multiversion ::Yasuhiko ::Jeanine ::Cube 
::Gio ::Gelernter ::Evaluating ::356 
::439 ::Breaking ::Remzi ::Nathan 
::Koksal ::Widmayer ::Suzanne ::Kamel 
::Stamos ::Usage ::492 ::Amit 
::Outer ::307 ::233 ::based 
::endPage ::McAuliffe ::Niki ::Machlin 
::Classroom ::459 ::319 ::were 
::Dreyer ::479 ::Services ::Jyh 
::Genesereth ::165 ::Karlapalem ::Kurt 
::Karl ::Oriented ::371 ::Daniel 
::Eui ::Views ::Extracting ::Enforcing 
::1993 ::EOS ::548 ::Engine 
::Markos ::485 ::Prasad ::Department 
::Sort ::234 ::Behaviour ::Object 
::395 ::Ouri ::Relations ::Development 
::Nesting ::468 ::Aidong ::Modify 
::Warehousing ::Gemis ::Lawande ::Benjamin 
::Main ::Architecture ::Source ::Penalty 
::403 ::Freytag ::Baader ::Thierry 
::Type ::32 ::Marti ::Salza 
::481 ::452 ::Gruber ::Alex 
::an ::Reclustering ::Wechsler ::Fabret 
::Buff ::Meaning ::Bayardo ::Sheth 
::GUI ::Daz ::Hian ::Stochastic 
::Kn ::549 ::Toiati ::Blanken 
::Barnes ::Lois ::Rakow ::Shoring 
::Pernici ::Thierry ::Reedy ::Forms 
::Georg ::Suryanarayana ::Ghosh ::Hirata 
::Sheung ::Shamkant ::65 ::Stochastic 
::Referential ::Partitioned ::Kuck ::Dataflow 
::Olga ::Choo ::Ramanathan ::Hasselbring 
::Schwarz ::369 ::Free ::Objectives 
::VideoAnywhere ::Mamou ::Joakim ::GeoMiner 
::Helland ::Gary ::553 ::Shoring 
::Andrea ::Elke ::Prasadram ::Grammar 
::Exploration ::CLASSIC ::367 ::228 
::Creating ::Fernandez ::Expert ::Summaries 
::Ioannidis ::Allen ::Classroom ::Missikoff 
::Bennet ::Hugh ::Wayne ::Toolkit 
::Tei ::Gang ::Mariposa ::Antonia 
::UniSQL ::Previews ::Servers ::Associative 
::Tables ::McAuliffe ::Patel ::Bra 
::Implication ::Disc ::Semistructured ::Kazuhiko 
::issue ::Dewan ::Indices ::Hou 
::317 ::Van ::Gebhardt ::Piatko 
::Reedy ::Solutions ::Disjunction ::Ceri 
::Disjunctions ::Ferri ::Sites ::Myllymaki 
::Gucht ::452 ::366 ::469 
::Breaking ::HPCC ::Scientist ::IDEA 
::Do ::oriented ::Interfaces ::Management 
::395 ::Statistical ::MYRIAD ::Pratt 
::Atsushi ::288 ::Advanced ::Scalar 
::Creating ::41 ::Rozenshtein ::Dyson 
::260 ::Toby ::Audit ::Arnold 
::Transaction ::Hong ::Wilcox ::1993 
::Larry ::Exploiting ::Mandy ::Raschid 
::Andree ::International ::39 ::Opportunities 
::Staggered ::Frdric ::Treasurer ::548 
::Tool ::442 ::Mohan ::Weinberger 
::Nebojsa ::12 ::Bernhard ::Transfers 
::Chirn ::Maryanski ::361 ::Xiangyu 
::Polymorphic ::Babis ::Space ::Histograms 
::Jarke ::Real ::Popova ::Section 
::Adding ::Improving ::Vincent ::Shahram 
::Biskup ::Soumitra ::393 ::Religious 
::Elizabeth ::Claude ::78 ::Marti 
::Suryanarayana ::Nelson ::Okay ::Berchtold 
::Mitschang ::Tansel ::Steven ::Zobel 
::Issue ::Reordering ::24 ::Muntz 
::Plateau ::Neighbor ::is ::Semistructured 
::Heiler ::Wang ::Lothar ::Gerhard 
::Reddy ::Multidatabases ::Attribute ::Dr 
::Karlsruhe ::Multidatabase ::Presence ::Papoulis 
::502 ::Chopping ::453 ::Specifications 
::Heap ::Narasimhalu ::Remotely ::104 
::Yuksel ::Stavros ::Inference ::GOOD 
::eva ::Starburst ::Sandeep ::132 
::Ward ::Siegel ::McIver ::as 
::Command ::Knowles ::86 ::Networked 
::Helen ::RIDE ::Melton ::Modules 
::Rajaraman ::Block ::Deborah ::Similarity 
::Fry ::Policy ::514 ::Jnsson 
::GOOD ::Control ::ADS ::Winslett 
::media ::Erbe ::Conjuction ::Issues 
::Paredaens ::Stepwise ::TSQL2 ::World 
::Workaholics ::Zurich ::Hallmark ::ITRI 
::QuickStore ::Control ::WWW ::Analyti 
::301 ::using ::Lehman ::Meral 
::ONTOS ::Measurement ::Amouroux ::284 
::288 ::den ::527 ::Virtual 
::Geyer ::Shenoy ::Henk ::75 
::Mariano ::Inter ::Walters ::Gerd 
::Mobile ::Thatte ::Service ::Mostly 
::1988 ::Kuntz ::ADS ::Grandi 
::Stoltzfus ::AMS ::96 ::75 
::Haenni ::Announcement ::Burrows ::Optimality 
::467 ::Chih ::250 ::477 
::Celis ::IM ::Lucas ::ARPA 
::Beach ::Algorithms ::Arbee ::Conversion 
::Lock ::370 ::Performance ::453 
::Usage ::Allen ::Terms ::399 
::Suzanne ::Residues ::De ::Queries 
::Applying ::Shian ::Boon ::Tuning 
::541 ::X3 ::408 ::Gallagher 
::Missikoff ::Didier ::Geo ::Manager 
::Lucas ::Lieuwen ::UDK ::383 
::Jensen ::Fetches ::Srivastava ::Generalizing 
::Kifer ::Brodie ::SONAR ::Manfred 
::Earl ::Roantree ::Kowarschick ::Cook 
::Marianne ::Trickey ::Roy ::Harumi 
::Hongjun ::Intensive ::Mediator ::Web 
::Trading ::Silvana ::Documents ::Security 
::Amouroux ::263 ::Wolfson ::Klas 
::183 ::GlOSS ::Chen ::Hendrikx 
::Historical ::473 ::Arbee ::Foreword 
::Niki ::1988 ::Gultekin ::Zaharioudakis 
::Omiecinski ::225 ::Load ::Turau 
::Marron ::Crisis ::Sharma ::Sharing 
::Converting ::Soumitra ::4 ::508 
::Ramez ::369 ::Jnsson ::SBBD 
::268 ::Gook ::107 ::Eftring 
::Method ::Processibility ::251 ::ODMG 
::Shekar ::Gist ::Are ::Execution 
::Krzysztof ::Kolodner ::To ::Solutions 
::Set ::Tomlinson ::Rengarajan ::Ellman 
::Scientific ::Integration ::Metric ::Executive 
::Jrg ::He ::Interfacing ::46 
::Inge ::9 ::Wen ::Duval 
::Production ::Biskup ::Load ::Jain 
::Outs ::Yoshinori ::Elisa ::Therber 
::Static ::SR ::Schrader ::Dao 
::Huang ::Renner ::Agigdor ::220 
::Guangshun ::Choo ::Fatma ::Kenn 
::Wm ::Bob ::Codes ::Lieuwen 
::Evaluate ::Already ::Hung ::Louis 
::Must ::Berchtold ::447 ::Explanation 
::Kennedy ::321 ::Scacchi ::Ulrike 
::Beach ::112 ::441 ::Reddy 
::Ugur ::Taylor ::Hongjun ::Hot 
::366 ::Ilker ::Thor ::Limsoon 
::Clement ::Project ::482 ::Roark 
::de ::van ::Rozenshtein ::Architecture 
::Barry ::Kupsch ::Flexible ::Garza 
::Luo ::Parity ::Overmyer ::Tjoa 
::Audit ::EOS ::Organization ::Reformulated 
::Asserting ::Lucas ::Gelernter ::Block 
::Section ::Sinha ::Udo ::Editors 
::Transitive ::Message ::Critique ::Lois 
::Lawande ::Rebuilds ::Yihong ::Hashing 
::Packer ::314 ::Results ::Colette 
::Meltzer ::Machlin ::Forte ::481 
::Cubetree ::Revisited ::Secure ::Ouksel 
::Kosmas ::Dozier ::Salton ::564 
::Colby ::Croft ::Ravi ::Results 
::based ::Hector ::Computing ::Zhao 
::Middle ::Gardarin ::Tomasz ::Formal 
::Saygin ::408 ::Pirotte ::511 
::Navin ::Dimitrios ::Metric ::Bargmeyer 
::Kang ::Disc ::Wm ::Closure 
::Gehrke ::Esther ::Institute ::256 
::media ::99 ::Rational ::de 
::206 ::IMPRESS ::149 ::from 
::to ::Acitivities ::Resolution ::Bergamaschi 
::Leung ::COSS ::Woelk ::Ion 
::Limsoon ::Displays ::File ::Loops 
::324 ::High ::Liskov ::Abbadi 
::Atul ::Buff ::Francine ::Life 
::Barber ::Ullman ::Cardinaels ::Esther 
::Chim ::VMS ::Policies ::Kasi 
::Stanford ::DB2 ::Ralf ::Jaime 
::546 ::Schek ::Nguyen ::Arnon 
::Prototype ::310 ::Kooi ::Multi 
::Christophe ::Watson ::Singh ::Synchronization 
::Prefetching ::Tai ::273 ::224 
::Wilms ::Hbel ::Devolution ::Concurrency 
::vendor ::FaceKit ::Chief ::Wright 
::21st ::Merging ::Anupam ::Unix 
::Symmetric ::Mancuhan ::352 ::Accessing 
::215 ::Builders ::NET ::Berchtold 
::Ugur ::Kawaguchi ::Jacobs ::Standardization 
::Takeshi ::Existing ::Penalty ::Harry 
::Shapiro ::Lashkari ::Breaking ::Hbel 
::Jessie ::Overmyer ::Down ::Unpacking 
::Wechsler ::Kosch ::Left ::Logging 
::Fraternali ::Replicated ::285 ::65 
::Martin ::Theory ::Activities ::32 
::Fine ::Johannes ::Chan ::548 
::Flix ::Bukhres ::108 ::Specification 
::With ::Wenger ::Vingralek ::Kapitskaia 
::287 ::Harald ::Borras ::Gordon 
::Annie ::Xiong ::PRIMA ::68 
::DBMiner ::Ishwar ::40 ::Reedy 
::178 ::Lindsay ::Nebojsa ::Networks 
::194 ::99 ::Dataflow ::Brian 
::Leonard ::Mukul ::478 ::Rupawalla 
::Georgakopoulos ::Mayford ::Narayanan ::Meral 
::Grossman ::Federation ::Fred ::Tetelbaum 
::Giansalvatore ::24 ::402 ::Shane 
::Dependencies ::Vista ::315 ::Salza 
::399 ::102 ::Life ::O2 
::Barnes ::database ::Srinivasan ::Masatoshi 
::Metadatabase ::Orthogonally ::Yossi ::Chin 
::Previews ::Warkentyne ::Teorey ::Bertram 
::SONAR ::Prototyping ::Industrial ::Minute 
::Sheung ::Knowledge ::266 ::Hillyer 
::Interoperability ::Breunig ::Dyson ::Wentland 
::Marron ::Roy ::Practical ::Nimrod 
::Fishman ::Refresh ::Hodges ::Everthing 
::Mapped ::Ramamritham ::Flip ::Managing 
::Methods ::376 ::BCNF ::NII 
::Issue ::Replication ::Ouri ::Rex 
::Maryland ::Prototyping ::DeeDS ::Spotfire 
::Ballinger ::Yue ::Naughton ::Ins 
::520 ::Sequences ::60 ::Alexander 
::McHugh ::Eich ::Content ::Kabiria 
::Pissinou ::VMS ::ZOO ::13th 
::Generation ::Life ::Nathan ::Algorithm 
::Weihl ::Bltzingsloewen ::Taneja ::Numeric 
::Descollonges ::Workstations ::STRUDEL ::Hoc 
::Atomicity ::Lehman ::Georgakopoulos ::authors 
::Hartmut ::Shamkant ::DDTS ::Hard 
::Lukas ::Gook ::Mattos ::Steven 
::Predictive ::Locally ::Justin ::DeMichiel 
::Syntax ::Lawande ::Kerry ::Lothar 
::547 ::Stored ::Lock ::123 
::Unix ::Klug ::Nick ::Alperin 
::Documents ::Display ::Flokstra ::Area 
::Super ::Chinya ::Delaunay ::Global 
::Editorial ::Stef ::Wilner ::Nascimento 
::Retention ::Lomet ::Sylvia ::Kolodner 
::571 ::HyperStorM ::Jakobisiak ::Lum 
::Jain ::Database ::Prototyping ::Jerry 
::Fred ::Andree ::offs ::Rafanelli 
::Massachusetts ::Enhancement ::Tyler ::Stefanovic 
::492 ::Based ::48 ::Girish 
::automatic ::Knowledge ::RIDL ::Kyoji 
::Stoltzfus ::Quantifier ::Nimrod ::Consumer 
::Technology ::Speech ::Charles ::N 
::Text ::Improve ::O ::Suckow 
::Chinya ::Convent ::Loading ::Stefan 
::Lightweight ::524 ::Prefetching ::Lindsay 
::Easy ::Rational ::Muth ::186 
::Partitioned ::423 ::Infinite ::Perspective 
::Interactive ::Nathan ::Correctness ::Module 
::Term ::Theo ::Karlsruhe ::David 
::STARTS ::458 ::Spyros ::Buchmann 
::Katia ::Characterization ::Path ::1951 
::Efficiently ::Lomet ::Victor ::Termination 
::MLS ::Baeza ::Keishi ::Making 
::Combining ::Energy ::Glossary ::Model 
::Ghosh ::Lessons ::Wisconsin ::Theodoulidis 
::through ::Sizes ::BUCKY ::Lorie 
::Skowronek ::For ::Methods ::Craig 
::Joachim ::Ioannidis ::Botnich ::Proposed 
::Sonia ::Machines ::Generation ::Haber 
::Gerlinde ::Bruno ::381 ::Infinite 
::Incorporating ::Merz ::Parity ::Recovery 
::zsoyoglu ::Agrawal ::McHugh ::Industrial 
::MEDUSA ::Sandeep ::et ::Tarantino 
::Bertram ::313 ::Forouzan ::Erich 
::offs ::Outer ::Heytens ::Arpaci 
::Hbel ::Fast ::Flexible ::Valery 
::r ::403 ::1988 ::Oscar 
::30 ::428 ::Workaholics ::Gogolla 
::re ::Tschernko ::4 ::187 
::13 ::ZOO ::Scholl ::Cost 
::39 ::Molina ::Balakrishna ::580 
::Anderson ::Pattern ::Gook ::Moore 
::DIRECT ::224 ::75 ::466 
::348 ::Margulies ::Ilker ::Wolfgang 
::Specifications ::Temporal ::69 ::OR 
::10 ::45 ::Impact ::55 
::Applications ::40 ::Challenge ::Shu 
::Fagin ::435 ::Jacek ::Networks 
::Response ::580 ::Worst ::Gerd 
::Caching ::Digital ::Zhang ::Sharma 
::Theo ::Sam ::Attributes ::314 
::74 ::Analyti ::Gehrke ::We 
::Naveen ::Article ::Sethi ::Sure 
::Gehani ::Lorentzos ::Trickey ::Kent 
