Qiong::4497416 22851124::YiuJHL08 4497482::Correction ::TALE ::Jianping 
1036::KellerB96 kl::C Tung::BeckerHF93 ::GhaffarA97 ::P602 
SunPF05::Deletes 575::Shigeru sup::StolteA02 ::ZhangLRB08 ::XCluster 
Yuni::Yamini Kinji::22850606abs 0::Dunham ::Machanavajjhala ::4497432 
ChandraV85::4497596 15310441abs::Pushing Longxing::Back ::Lingzhi ::257 
Keidl::Ge BaralisCMPRR97::Inference NussbaumerPSS95::GoldinK95 ::Jia ::Unified 
Henrich94::Kenneth Redo::Zhe Evimaria::Component ::Make ::4497534 
Tatemura::Korn 1579::Mladenic ChakravarthyL98::Naomi ::MorsePG06 ::38 
Reorganization::Demonstration BhideCGGMPRRS08::KanagalD08 BANKS::490 ::ChenRDEGS06 ::Ding 
Zaniolo::Cruz92 GovindarajanMV06::AntonyWAA08 Balaji::MIC ::Isolation ::KetchpelGP97 
etintemel::Pedro meets::Bypass 927::Kalogeraki ::RamamrithamSSTX96 ::Rohit 
GabowT89::Floris NaackeGT98::HuangJLO06 Native::BerchtoldKK96 ::Takashi ::KetchpelGP97 
Nath::Norm VenkataramanLN95::Stella 779::241 ::1340 ::ChuDHH06 
On::SinghL08 GuptaJM96::4497445 Categorical::475 ::914848 ::RAIDs 
Qili::Never Bassam::Marcelo Counts::436 ::GongYQZ05 ::Lars 
Spannagel::Alone Marios::Differential 15310274::914870 ::Videos ::1357 
Liao::compcon Certain::Frederick Models::4497403 ::Answering ::FlescaFG02 
Miss::Simultaneous CareyHSACFFLNPTWW95::Employing NieWWM06::PuKH88 ::Lyublena ::Ziyang 
Wayne::Chi 13::Pan Pekka::efficient ::Threshold ::DohertyHR96 
P259::JaffarYZ06 Shin::ShenSCT06 Messaging::Sing ::22850939abs ::Lu 
from::4497630 4497560::673 Dinesh::ADEPT2 ::1324 ::btw 
1127::Andras 235::Tsaparas Weld::Justin ::169 ::X05o 
Checking::Complete Haojun::Liedes 734::Va ::Brantner ::FilhoTTF01 
Jos::224 Value::Automata Selecting::Mladenic ::Adjoined ::15310453 
1409::Hendrik Approximately::Nagendra Prasanna::Agesen ::RooholaminiC95 ::AdaliCPS96 
Ubiquitous::Derivation Ertl::Ioannidis Rosenthal::Chrysanthis ::Ken ::1628 
LiuL02::Tryfonopoulos Minghua::SistlaYH94 472::AmzaCZ05 ::Kreplin ::CoT 
581::Shirani 656::Eltarras MitschangPPLS93::Byoung ::ZhaoDN97 ::Vineel 
P476::Aware MannilaR94::WolfsonXYC06 Brian::Learning ::15310483 ::Koch 
WolskiB98::Andreas Leveraging::Direct Sonny::Predator ::Miller95 ::Sayed 
Hashing::Annotation Wang::Naomi 303::Corruption ::Clio ::5 
Cheong::1140 bdbms::Reality Shunsuke::BryanEF08 ::Vikas ::Definitions 
4497525::Automated Sivasubramaniam::McCannSD08 1146::96 ::Xu ::1399 
Intuitive::4497533 Testing::Galindo KrauthgamerMRR08::Mihly ::Transaction ::TaoPZL05 
Qixiang::Kun Naumann::22850094abs Almeida::ChuK89 ::rules ::22850939abs 
Masato::AbiteboulMZ08 Hwanjo::Tears Diao::Shigeo ::22851118abs ::Koudas 
LakshmananRS08::Schwarz Interface::Exploratory 1588::Folding ::Sheth ::883 
4497397::307 Stephanie::HP 284::15310005abs ::asplos ::Recovery 
BatoryBGSTTW88::Rezgui CareyDN93::Unlinkable TaoXP06::How ::Kun ::Gnther 
ConQueSt::Bhalotia BlakeleyCERW05::Integratio RoschGL08::IMAX ::Background ::MannilaR86 
234::CastroN08 XiongA06::Telecommunications Freksa92::List ::4497569 ::914876 
Arno::ReSF06 1432::Enhanced LiC98::161 ::385 ::Antony 
ModelGen::22850217abs Generic::Explicit Divyakant::Outliers ::Papakonstantinou ::Fang 
Kesheng::4497614 Junyi::15310262 Third::15310017abs ::King ::Tamer 
Haojun::Graefe Inferring::77 Transformations::BentleyM80 ::edbt ::Antal 
ZhaoRTN98::316 MalinS06::GrayR93 91::Prasanna ::tse ::501 
4497458::Flattening 4497461::Deductive HasanM95::Murat ::Ayad ::Proxies 
Zhewei::CASTLE 1327::KetchpelGP97 914833::BabuMWM05 ::1340 ::1555 
Tight::156 PuL91::Technique Reinhard::Fudos ::1378 ::MartinGH08 
Yanjiang::1002 Dongwon::Kee ChaudhuriNS02::Consens ::RDB ::22850094abs 
Chafle::Murat Zuo::Flow 4497434::Response ::Marts ::Shigeru 
ArefS94::535 Henrich94::ZhaoIG08 Collaborative::4497517 ::Simoudis ::1436 
Based::333 AfanasievGMRT08::Tuncel 1190::ER ::1492 ::SegevF90 
Morzy93::4497540 Feher::ChenH01 Sandra::Vclav ::Mondrian ::1568 
TALE::Hannu Spiros::Xiangdong Dialect::15310266 ::BayerHR80 ::Encoded 
Atzeni::Marko 4497586::914862 333::724 ::Translation ::FlajoletGPR93 
Kimeli::LeeCLNS94 4497586::ZhouYGCD08 1180::Mano ::Badillos ::WangJT06 
Pietzuch::LiebermanSS08 Franklin::Sriram ArasuCK08::1218 ::2002 ::Presentations 
Loosely::Menzo Mano::Natix column::Debate ::Ken ::BonifatiBCC02 
QiaoIAA06::LiuC08 178::Trombetta Lutz::2285 ::LittleAFGRSV93 ::aaai 
1002::Aranyak P116::External DB2::Conserving ::1575 ::Fromont 
Skeen02::Lp Nail::4497417 EggersOS81::AbulBN08 ::SellentinM98 ::Akihiro 
BrakatsoulasPT05::Sandra Indrakshi::ph JiangLWY02::Ailamaki ::Cristian ::MendelzonMM96 
Srinivas::Shenoy GruenwaldBP06::50 1072::680 ::Paloscia ::SistlaYV97 
Stacy::Zukowski Nearest::Kedar Allen83::622 ::HwangCZ08 ::1345 
Maher::302 Holistic::Items Ralf::WangLPAM06 ::165 ::Prcis 
CareyDN93::Naacke 303::Browser Chow::Raymond ::Jens ::22850552abs 
AdaliCCES96::AslandoganTYLN95 Khatchadourian::Weber KumaranCH06::Correctness ::Discovery ::1208 
Tape::Ouzzani MendelzonW95::P2P 1420::4497411 ::Tim ::Fei 
Opportunities::20 avi::Gupta Amir::Cudre ::OSS ::Vijay 
4497567::MannilaR94 Charu::van RastogiMBKS93::1218 ::45 ::StonebrakerK91 
Heiler::Gehrke06 Annotations::Friendly Hnle::Xia ::4497614 ::WuXTL06 
speak::GuhaKSY06 icde2008::Son Tanu::1603 ::Basket ::Green 
BerchtoldBKK97::Venkatesh Songyun::Qian GyssensLS96::HwangBRCSZ05 ::Reorganization ::Friedman 
Xing::1036 4497431::Jagadish COUNT::Lot ::LeeSZ05 ::Peers 
EggersOS81::Keim Watanabe::22850471abs 1170::Wing ::Assurance ::Logan 
once::1479 Andrei::137 Carson::Brzsnyi ::ProcessingWindow ::Errors 
Consens::Henrich98 158::Bassam 22850298abs::XinSHL06 ::Ownership ::1208 
Jindan::Bhat Marinoiu::1454 Sylvia::Synopses ::MyllymakiL95 ::Kimeli 
15::Xuqing Amitabh::1123 Stonebraker94::WangXLW08 ::BeckleyER85 ::Serialization 
Forms::Suleiman Power::105 Diversity::Jiangchuan ::business ::127 
22850521abs::165 Lyublena::211 Ying::Aggregation ::ChuaR95 ::Callaghan 
Carminati::Bo Yuni::Reality Uchiyama::Energy ::Jignesh ::H 
Pratik::Abdel Hsu::Maryann GareyJ79::ChangSZS97 ::KrauthgamerMRR08 ::Frequency 
Nasi::Chiueh SmythG91::1091 Chow::125 ::Logan ::Hung 
VeeSSBA08::AstrahanBCEGGKLMMPTWW76 1495::1170 Tetsuya::Stacy ::Gemulla ::LevyRO96 
Siva::555 Yuqing::477 Quanqing::Lomet98 ::Sundaresan ::Shalem 
15310278::Hanyu 4497477::Rosa 4497621::Gignere01 ::Heerde ::Yongqiang 
Mary::B+ 15::Vaidya Stanley::4497484 ::Subscribe ::Guoyu 
Harold::SeegerK90 DozierSF94::62 730::Amitabh ::Franoise ::P362 
4497563::Middle KellerB96::Joan Mller::205 ::Cameron ::pdis 
Inferring::mm 264::Adjourn ZhangS06::Sensing ::Heng ::NussbaumerPSS95 
HjaltasonS95::Alex Sridhar::Distinctiveness Referential::Planning ::ZhouTZ06 ::824 
Mamoulis::Quadtree Thaden::Kahveci Advances::Jianyong ::LiuM96 ::Patterson 
Haojun::1190 Ngai::Shahan P522::Devices ::Liangzhong ::Jinping 
ZhouZQZ06::22850853abs Salem::ChenJOT08 WangRL08::SPOT ::Zeeshan ::Liedes 
MarcusS96::MAFIA Rafiei::BabuDM08 ChawatheAW98::Busatto ::211 ::715 
4497426::Kim95 Quickly::Vaithyanathan Olston::Gupta ::Extracted ::Negi 
Leakage::Sonny 1373::Prabhakar KamathAGM96::Design ::Till ::Shared 
Middle::1033 Majumder::Picture Zaane::1411 ::Collection ::HasanM94 
Winslett::Abiteboul97 Govindaraju::Yong KuskinOHHSGCNBHGRH94::FranklinC92 ::Ramamritham ::1199 
4497424::CandanPS96 Tripod::914874 BlossomTree::Weighted ::Mohania ::PagelSTW93 
914851::X05r jodl::Toward Video::Du ::Yibin ::Lai 
Provable::Cole Kapantaidakis::Transform Synthesizing::Zaharioudakis ::MoDB ::Yamini 
Ramakrishna::KhalifaJPWKS02 KhalifaJPWKS02::Leong Diagnosing::Elmeleegy ::22850606abs ::Stratos 
Bulut::YouPL05 Terabyte::Yeol 15310345abs::NET96 ::15310339 ::P284 
1135::15310269 Cocci::Redo ChandelNS06::10010173abs ::Deepak ::Set 
IkedaMITHHO05::WhangLLKH05 SistlaYV97::Aggarwal 4497443::P476 ::22850057abs ::AggarwalY08 
Wayfinder::OLE P588::LiuHXS06 Toward::Polynomial ::Feature ::to 
Traffic::Sarbanes Jain98::Gignere01 Exponentially::Similar ::WilschutFA95 ::Condensed 
47::HammerST05 Tiancheng::Automation Hiroko::Franklin ::Tryfonopoulos ::Range 
1486::Proces 4497495::1286 1510::412 ::605 ::MohanKSW06 
Kim95::Lu 22850403abs::Kenny KoloniariP08::Kit ::Jeff ::LuoJHYW06 
Chakravarthy::Lynch83 ElmeleegyOE08::832 Christos::Moerkotte ::CareyDFHMNSSTTWZ94 ::Du 
Chengyu::Vazirgiannis LinVM06::4497563 Spannagel::Wavelet ::HellersteinNP95 ::Framework 
Provable::15310617abs XiongA06::Baker Crime::253 ::82 ::Chalamalla 
SedmidubskyBDZ08::Ikeda Order::Publication Yan::4497479 ::Cleaning ::Mullin90 
osdi::Language Visual::Carey WangXLW08::Jianjun ::Aravindan ::Yiheng 
Verify::167 Zloof77::AlexeCMT08 Interesting::Prototype ::GounarisPSFSW06 ::Hristidis 
Principled::466 684::WangHLS06 Papotti::LaiTB05 ::Loreto ::914833 
LianCY08::Bertino YangL87::Catlin AndritsosFM06::Pearson ::883 ::BatiniL86 
Sengupta::Arun RastogiS98::215 Learning::453 ::338 ::171 
Zilio::Systematic Bosworth01::22850174abs 1092::578 ::Hannu ::Sergei 
Galindo::Braynard Chow::Fabio An::BorkarCELWW08 ::333 ::WangYM01 
Honishi::Congjun Regulation::BulutS05 Sentiment::580 ::Answer ::AliCKR08 
778::120 YiuM06::1354 YuPK05::BeckmannKSS90 ::Balakrishnan ::Tuncel 
Dilys::Madlmayr Takegawa::tkde Warren::ROL ::Ambuj ::Felber 
Grid::Cha 1555::Tape Schlatter::4497469 ::JayapandianJ06 ::Anonymizing 
Ailamaki05::LiLH06 Mitchell::Inverse Stored::VLEI ::Mudumbai ::Spatscheck 
Tuples::Availability 403::1611 Cammert::588 ::4497467 ::1267 
Jin::DeWittG92 PaduaW86::1528 4497618::KamathR98 ::Ipeirotis ::4497589 
10010131abs::QShuffler CluetD92::Schlatter 1624::Maryann ::Prefiltering ::tc 
NaackeGT98::eBusiness Horng::Management Profiles::Decomposition ::ChangYDA88 ::Inventing 
578::Annita Mary::P602 Zoupanos::Zhiyuan ::Telecom ::Weidong 
Latency::CallanLC95 Theodoridis::1564 Materialization::1388 ::Bitemporal ::Venkataraman 
WebIQ::Scene widomC96::SchroederHIN06 385::Forecast ::Moshchuk ::GubanovBM08 
Chaudhuri::4497609 Papadimitriou::Leonidas P476::Intensive ::JaffarYZ06 ::Reordering 
Zhiping::LowTLL02 162::Factorization WolskiB98::353 ::HaraHTN98 ::Sagawa 
Dehne::Giorgio Generalized::Peters 901::LangOS97 ::TaniguchiS05 ::ShenSCT06 
Rundensteiner::multimedia Suchanek::Stonebraker96 intensive::Massive ::TrombettaB06 ::Naga 
Neoklis::spieSR LiuLG08::416 TelegraphCQ::Draper01 ::Crime ::15310283 
Volatile::LanOT02 Bttcher::ChengCMC08 Analysis::ImielinskiB94 ::Hnle ::Constantly 
SnodgrassA86::109 SaltenisJ02::Rahul 15310327::Giannotti ::Yuanyuan ::ChenSZ05 
942::Assent Oguzhan::Lipyeow 24::492 ::Traceability ::Johannes 
4497598::Transcoding ChangM88::Snodgrass87 Khalefa::Anti ::Informative ::Kossmann 
Horng::AhmadPCR08 ChenJOT08::HuWLZX05 P550::Machine ::MukhopadhyayP02 ::P458 
22850865abs::Lei Xiang::To BonczKK96::Kihong ::Art ::Galpin 
1399::Flow Direct::Teamwork 1296::Chai ::ChenHS02 ::22850159 
Connectivity::922 Varadarajan::Pavel Rishe::Answer ::Extract ::Jiaheng 
Davood::Definitions AfanasievGMRT08::scheme Wireless::Information ::15310029abs ::Kreutz 
Subbu::264 LehnerHS02::Stratos CasanovaFP84::Ong ::4497399 ::Searching 
Lim::22850357 Tamer::74 Sikka::Warping ::1560 ::4497546 
Zilio::ChenCRM06 803::KoudasS97 InstantDB::Gulbeden ::Apurva ::384 
PuL91::Coupling ATM::AntonyWAA08 MIX::Jignesh ::SrikantA96 ::CasatiDS01 
Relation::Riemenschneider WangRM06::Raghu Kahn::1477 ::902 ::Kristen 
Couple::TRMeister Intersection::Kornel SAP::Atzeni ::Paul ::1121 
Xiaochun::fAST Characterizing::Ewen 192::Dixit ::Gupta98 ::Shuai 
Recovery::Footprint Protecting::Tufte DB::HanF95 ::Arnold ::Pasi 
Nasi::Test 110::Specific PageChaser::Negative ::Stphane ::Nguer 
22850372abs::Xiaofang 15310628abs::15310262 Ubiquitous::Campi ::Kasneci ::Luk 
122::Sreeram Mal::Yifeng Myoung::Rajeev ::Arai ::SIPPER 
pods::Larson02 10::YangWWY02 Frederick::Planning ::DeRoseCGSDBZ08 ::tkde 
Theobald::4497547 914869::Atzeni06 360::Omar ::Jialie ::630 
110::Approximating SNAP::BoberC92 Ramez::Omar ::Influence ::128 
Thalhammer::acr 1354::Fabret Roberta::Optimized ::P116 ::Luigi 
Philippe::Footprint Tsuyoshi::ds Simulation::Arijit ::914809 ::SPP 
Ferlez::Massive JoshiJ08::Structural KeulenKA05::Lomet98 ::PnP ::Xiaodan 
Tissues::Luping PolyviouSE05::Yk Rao::Vanitha ::15310500 ::ife 
Nakamura::Cubes Imperatives::WuK05 Suciu::P351 ::Venn ::Pasi 
P094::Govindarajan 22850415abs::XuLTW06 Reification::Minghua ::472 ::Di 
Girod::1287 Extra::Marian Zhiming::OWL ::Research ::Microsoft 
Laura::Multi Raymond::Tu Discriminative::GovindarajanMV06 ::Jian ::Composition 
Xiaofang::Structured 515::162 4497580::Architecture ::2006 ::Francesco 
ShriraX05::WiwatwattanaJLS06 Yifeng::Wan Lizhu::FelipeHR08 ::367 ::CormenLR89 
574::4497456 Point::siamcomp 4497442::Maskey ::Kha ::Wilfred 
P252::Norman Wisnesky::883 Vijayalakshmi::312 ::DeligiannakisSKVD08 ::4497542 
Frederick::Elhadji 577::BayardoA05 Jasmine::Are ::Henrich96 ::FernandezS98 
Chengyu::Graphitti 456::subrahmanianJ96 MaurouxAF06::ROLAP ::UNIT ::Match 
BlossomTree::617 Third::P514 Decker::22850355abs ::Maximal ::1286 
Estimator::Actionable MuralikrishnaD88::Perfect BernsteinGLL98::AquaLogic ::Constrained ::4497571 
Uncovering::Ka Freire::Past Preemptive::JinA06 ::Inter ::EstanN06 
Jagadish90::Mohammed Mix::Burdick FischerK05::Huang ::Vee ::Yuanyuan 
1510::Mayur 823::Preservation Shuyu::Takashi ::1306 ::Atzeni 
BulutS05::Hristidis GPIVOT::BilirisO93 Masatoshi::914848 ::ChangM88 ::15310297abs 
4497466::ObermeierBHCS08 Bertram::278 CosmadakisK86::LudascherGM01 ::1442 ::Krishnaprasad 
Mukhopadhyay::Sheng Leslie::Dmitri Algorithms::Obermair ::Preserving ::Lessons 
Sakuma::Future icde2008::4497409 4497458::Jens ::4497574 ::RoussopoulosL85 
Channels::FranklinCL93 Stephanie::LakshmananSS97 Wrapper::Nori ::be ::926 
914855::Qiong Menzo::Sensitive Map::ZhangG08 ::1564 ::Fernando 
Dakka::K IkedaMITHHO05::PudiH02 XieYCWY08::323 ::Jigsaw ::Ouzzani 
HouJ06::HouJ06 Kollios::Franoise Auditing::Sam ::Aggregation ::P134 
for::914850 ChenJKKMNS01::Gerstl Materialized::1607 ::BlumrichLADFS94 ::4497617 
Alejandro::4497462 mta::CuiLXCDZ08 FranklinCL93::Better ::Inverse ::Kasthurirangan 
Suchanek::Shkapenyuk 174::Vehicle Cubing::subrahmanianJ96 ::Upendra ::PaduaW86 
Yoji::DrapeauK93 ConQueSt::Neumann Fai::Sliding ::Ulrich ::File 
153::Meta 4497415::15310431abs 122::594 ::Nicola ::FerhatosmanogluTAA01 
Optimal::Sunbir Spatio::SpinCircuit LeongS97::ChenJOT08 ::914842 ::326 
Stream::Eng Koki::15310663abs GionisMT08::Junmei ::Enforcing ::Incomplete 
pldi::Windhouwer Modeling::Paolo OzdenRS98::1110 ::Pui ::User 
914865::HaskinMSC88 655::Deletes Chuck::P108 ::Sales ::Heinz 
KotidisSV06::Il 1528::FungWY05 LiCKB06::Nguyen ::Jrgen ::Linear 
Sakellariou::4497397 etintemel::Federations ChenHS02::Hua ::131 ::LiSR92 
Computing::Packets Result::Kanamori sub::AggarwalCH06 ::Gaurav ::Surface 
Mirette::P334 Mirette::1444 1239::org ::368 ::15310673abs 
15310264::ShenOT06 ADEPT2::4497625 Stefano::Arai ::1098 ::502 
1126::Elements OSSM::22850490abs Brown::Pushing ::Manikutty ::Twee 
353::Cloaked P294::22850459abs Checkpoint::333 ::ChangMZS98 ::Chain 
WangPY05::ChenLL08 CQ::Chrysanthis Chiang::AgrawalAKL06 ::Couple ::tc 
StonebrakerADLO94::Processor 401::ChenL02 Seidel90::LinJF94 ::Spatial ::Convertible 
Bhattacharya::148 BunemanCFHMV05::15310273 Stefanie::Prasan ::Shepherd ::Community 
152::GangerK97 GaoHPSA06::Kalnis JinZLWS06::Panagiotis ::Verify ::Exactly 
989::Park Association::Grandison AnciauxBHPA08::Qu ::Relations ::Xinqiang 
BancilhonDK92::Soumen MyllymakiL96::Kanagal ChonAA02::Ehud ::324 ::22850552abs 
22850186abs::BorgBGHO89 Telle::Efficient cs::518 ::KorthKB88 ::Engineering 
666::6 Krger::914849 257::127 ::Ramakrishnan ::spieSR 
Research::ChenRDEGS06 HasanM94::ieeemm Chon::Yuelong ::Henrich ::Cohen 
SEMCOG::633 Rahm92::Duan Verify::1485 ::Calisto ::Imran 
Daxin::GedikWYL08 Gauss::Discovering AnwarMC93::ChenC92 ::312 ::CASTLE 
Messaging::Shedding 914876::Braumandl Growth::Ramasamy ::914878 ::Redo 
Small::1035 1121::Marios Complete::Orenstein89 ::Theoni ::Kersten08 
FaloutsosK94::AbiteboulB91 4497429::Digital Tryfonopoulos::Generic ::1391 ::Jun 
Fred::Lang Matchings::Mozafari Naidu::Tears ::914863 ::443 
ArasuCK08::Dieter 802::Client 63::Choreographies ::Construction ::543 
KaF02::SametA95 BohmHLW08::ColbyGLMT96 914875::Jigyasu ::Haixun ::Weber 
Sessions::Lo Salzberg86::Elmeleegy intensive::22851061abs ::Nearest ::Haifeng 
Zabback::KhalefaML08 Henry::ZhangDH08 22850310abs::LawrenceB02 ::Bayardo ::Deepak 
15310453::Hetal 22850341abs::580 1441::259 ::Pierre ::Commerce 
Ernst::Factorization Johnson98::P598 1381::ChangYDA88 ::csdl ::Ivanova 
AggarwalCH06::MohanN91 580::Nabar 4497488::568 ::Proces ::15310235abs 
Distributors::Reorganization 15310617abs::Multi Elements::22850459abs ::Primitive ::Schek 
De::Optimizer Condensed::Ravishankar Xianghong::JiangAC05 ::Himanshu ::103 
XGRIND::Cunningham Sridhar::WolfsonCDJM98 Varied::1596 ::AlonsoBPHK01 ::Manuel 
Dumas::Abraham 1476::year Text::Paths ::KreplinZ01 ::P231 
Heinz::Anil GoldingBSSW95::Robust Settings::Schemes ::Samuel ::Ives 
Dennis::WongA85 Juchang::Hendrik url::15310272 ::KatayamaS97 ::Directory 
Sardar::Suresh with::DeaconSW94 4497630::Aleksandra ::Dunja ::150 
Stolte::BernsteinN96 ChaudhuriNR08::Fatma ChaudhuriGKLLM98::Chain ::Sensing ::398 
BouganimFPV01::4497531 Sachindra::Latency Roitman::201 ::StreamCorder ::nwosuTB96 
BrantnerKMH06::ChandraV85 773::Redo 584::Differential ::Maier ::Relationships 
Anil::Author Jigyasu::FarfanHRB08 StreamCorder::Cammert ::Denise ::Moerkotte 
YiLKS08::Amarjeet Wu::22850186abs Yuelong::isca ::Nodira ::Leymann 
WuEDCKAS08::Monitoring Shneidman::Nobutoshi Sanjay::126 ::916 ::BernsteinGW93 
Overlay::trees Build::Virtualization 1415::67 ::Evdokimov ::Werner 
Thomas::Kamath 1491::Image Feltes::22850853abs ::Takeshi ::AikenCSW96 
PETRANET::Suel Govindaraju::473 Real::KriegelKPS08 ::Szabo ::RoussopoulosKV95 
Songyun::732 15310673abs::Hyun Kramnik::471 ::Enderle ::Yuqing 
Sinha::FaradjianGB02 22850360abs::KiferKS92 Jiying::Fosca ::Fault ::QShuffler 
22851143abs::Toivonen96 CammertHKRSSZ06::Kossmann 4497507::4497503 ::LiuYGS98 ::Wisnesky 
Paraskevas::22850032abs Dissemination::Segmentation Surajit::Blok ::Saake ::Communities 
Fernandes::Zhang Andrs::15310529abs Abowd::RAM ::IP ::1364 
15310103abs::Iyengar 914868::Chun Caches::4497622 ::Tears ::Protocols 
Latanya::Kyun fAST::Pfoser OntoWebber::VrhovnikSES08 ::4497413 ::P297 
Elfeky::BarbaraI94 Aliekber::22850261abs Taniguchi::BhalotiaHNCS02 ::Vaidya ::Sarma 
How::Jun QuLM06::Toshinari WuWLM06::Phrase ::P296 ::KarsentyB93 
15310494::Ping Sriram::Benatallah Program::ORDBMS ::Mohammad ::Preservation 
DREAM::Vasileios Mlivoncic::Warren Shan::Milena ::AndritsosFM06 ::Mihai 
Gridded::4497412 1218::HamakawaR94 Joshi::XParent ::Sets ::1331 
1082::585 HuangD08::Lapped Ipeirotis::15310274 ::15310017abs ::525 
Greco::Ramamurthy 1126::22850357 Fetching::ArefCEFGHIMPRTTTVZ02 ::Gene ::YanOZ08 
367::Fuzzy 661::Yannis Era::Curves ::Aziz ::784 
362::Extremely Joseph::Hmmer Tracking::Morse ::15310093abs ::Transfer 
BentleyM80::Byoung BilirisO93::Grel Tag::22850386abs ::Gerstl ::Indyk 
Indyk::10010143abs Structured::914853 Korn::Swart ::Gyu ::Production 
Multiple::22850157abs Kulik::Haibo Skylines::415 ::Result ::BohmPS06 
4497632::Record Mark::Gryz HernandezPVMNH02::Tanveer ::Chan ::375 
LangOKT98::Beyond 1267::CosmadakisKV90 BulutS05::4497587 ::Rys01 ::Dittrich 
Odysseus::GonzalezHLK06 VlachouDNV08::4497567 642::WatanabeY05 ::Frequency ::Gemulla 
Access::Nguer Muhammed::Friendly FLAME::Precision ::Architectures ::Sandeep 
15310053abs::518 File::Transactional 22850841abs::1111 ::Stack ::Atzeni06 
Ahn::15310383abs 15310327::298 LoR94::Shigeru ::Synchronization ::Eric 
Malaika::892 Millions::15310155abs QoSMig::Shaull ::T ::Caching 
HiWaRPP::Mahadevan Badillos::Jianlin 1433::popl ::Matt ::join 
GeorgiadisKCNS08::Shaft 4497527::CormodeIKM02 Michael::LiSDKG01 ::ddb ::Approximated 
Boris::4497469 Kanne::Acceleration Jure::Continuous ::Mariano ::Stored 
914816::ChuDHH06 69::1190 Itemset::Cobena ::Girod ::455 
Dieter::Scannapieco Karras::Inputs Network::XPaths ::Anciaux ::Carla 
Molina08::Braynard Photos::Barbara 1513::Publish ::Guohong ::Ishikawa 
130::514 Hulgeri::484 Shao::369 ::22850841abs ::279 
GriffinL95::Mansuri Prasanna::NakamuraAOS93 Previously::Replicated ::Roger ::1190 
LiuR05::535 Coupling::1336 Toman96::GedikWY08 ::AtzeniCB05 ::691 
Papaemmanouil::Avoiding HeLC05::Fischer Salvatore::Curtis ::PagelSTW93 ::SilbersteinHYY05 
Semistructured::Neoklis 214::Functional 324::578 ::Explicit ::RafieiM97 
Heerde::QiaoIAA06 84::Aggregationin Yongqiang::Prodromos ::Transform ::Konrad 
1482::Expressions Yalamanchi::Rimma Yibin::Tasks ::139 ::SinhaWWSS08 
Iyengar::Salka98 Tan::22851143abs 4497516::ZhouOTY06 ::Vanitha ::Tien 
Engines::Fingertips 1513::98 Weber::1123 ::ChuDHH06 ::Signature 
Fractal::Zina Length::Preemptive Dominant::Brett ::Rakesh ::4497613 
241::usenix Periklis::388 22851111abs::1003 ::794 ::BernsteinGWRR81 
Cochinwala::Miss Federated::Jianliang Quality::Guoyu ::BalminOST08 ::HSI 
ChanG85::That 82::4497606 MohanAGK95::Latha ::Mariano ::Dunja 
Mariano::Date90 COSTA::LeymannR97 Boedihardjo::WhangKW94 ::1276 ::Qigang 
Distributors::1486 acr::1324 317::4497553 ::4497431 ::193 
209::Toivonen Conference::511 Nithya::Mapping ::BernsteinGWRR81 ::Sinha 
HinterbergerMG94::Ooi Focused::CammertHKRSSZ06 Minos::Kristal ::989 ::KeulenKA05 
Akitsugu::Young Moerkotte::1396 Alan::LangOKT98 ::Enumeration ::Shim 
OptimAX::Arnold Sergei::Gummadi 516::Mehrotra ::Arnab ::Shapes 
Scaling::JigyasuBBCDMT06 k::Shift 76::SistlaWCD97 ::Corey ::Arnold 
Arjen::Shegalov P069::Greene89 Yao::XQSE ::Sales ::Closed 
deductive::Bach 813::Mirette LeFevreDR06::Luping ::Riqiang ::Ping 
Byoung::AgrawalIS93 Kifer::McCann Dieter::926 ::Zou ::Rajagopalan 
PattersonBA08::subrahmanianJ96 Intelligence::Nicolas Coarse::toWeb ::SilbersteinHYY05 ::Jun 
Three::LawrenceB02 Isoline::Chen05 Clifton::1219 ::Banu ::Jin 
AndresO98::Bowers Carson::Feature Extensions::1521 ::Automatic ::GubanovBM08 
147::4497613 Renner::FeeleyMPKL95 multimedia::JoshiJ06 ::22851145abs ::Olivier 
booktitle::HwangPS98 Beckmann::Hsu95 Wavelets::1516 ::Hnle ::Henry 
Partitions::Dou 33::922 State::John ::1619 ::Aritsugi 
Murugesan::Lomet92 Haojun::Distribution Krger::Mukherjea ::Haibing ::pages 
P486::Makoto Guo::Wavelet Selinger05::KetchpelGP97 ::913 ::Cruz92 
4497493::Shantanu Tang::4497581 WangJT06::SistlaYLL95 ::VeeSSBA08 ::Hisashi 
