::Stocker ::KappelS91 
::Virtualization ::177 
::Clifton ::Akiyoshi 
::151 ::SilbersteinHYY05 
::Telecommunications ::15310287abs 
::Mummoorthy ::Feasibility 
::Indriyati ::Human 
::Holger ::Protection 
::865 ::CandanPS96 
::Naacke ::Barzan 
::Loosely ::22850256abs 
::Valduriez93 ::Communication 
::title ::Xin 
::KamelF94 ::1596 
::1136 ::330 
::Scalar ::271 
::ProcessingWindow ::Dale 
::MukhopadhyayP02 ::Paolo 
::DingCRTHC08 ::Providing 
::Majumder ::KimGBW90 
::X06b ::XGRIND 
::Cinzia ::LjosaBS06 
::4497509 ::Brantner 
::algorithmica ::Xiao 
::Heerde ::Schneider05 
::Jianlong ::Melanie 
::Tomography ::Uemura 
::P252 ::Imprecise 
::BerchtoldKK96 ::536 
::JagadishMR98 ::Programming 
::ChenRDEGS06 ::Lois 
::Katsumi ::Felber 
::DescribeX ::Yip 
::Shegalov ::1592 
::HuangG01 ::KetchpelGP97 
::ZhouW08 ::Wilhite 
::Venkatesh ::1619 
::Navathe ::Jun 
::MarianAKS05 ::inproceedings 
::Marc ::driven 
::22850668abs ::Haixun 
::1219 ::Michail 
::52 ::15310278 
::Stocker ::ZhouYGCD08 
::Encoded ::Quan 
::Lin ::JensenSS94 
::Randomized ::X05s 
::LangOKT98 ::Abstract 
::DengSXL06 ::Cochinwala01 
::Flooding ::FranklinZTCD92 
::Tomkins ::HeLC05 
::LieuwenD91 ::Tuples 
::Sidle ::178 
::Srivastava ::P503 
::JinXDW02 ::Boris 
::NgR95 ::Bar 
::Ahn08 ::15310264 
::P392 ::15310155abs 
::Debugging ::Vasilis 
::Christoph ::LynchS88 
::Leung ::783 
::161 ::Si 
::Faradjian ::Ljosa 
::352 ::148 
::Aggregates ::Constructs 
::298 ::HwangPS98 
::533 ::28 
::992 ::Theoni 
::Maarten ::Anciaux 
::4497620 ::Duplicate 
::BrantnerHKM05 ::DCbot 
::IshikawaK93 ::WeissDG95 
::Bentley80 ::4497550 
::Ishikawa ::Partially 
::Sequence ::914854 
::Extracting ::Melnik 
::4497421 ::4497478 
::Operator ::Martin05 
::Array ::Runtime 
::Na ::JefferyAFHW06 
::Heinlein ::Tuzhilin 
::Outsourced ::Trombetta 
::Caetano ::Chitta 
::Land ::Ting 
::bit ::Jakob 
::ShahR08 ::SrikantA96 
::Indriyati ::421 
::Pin ::Maged 
::1239 ::MannilaR86 
::Yanif ::Standing 
::KemperK93 ::Weber 
::Hardware ::SegevF90 
::Amza ::Peter 
::McWherter ::10010473abs 
::Strength ::Flow 
::22850668abs ::Clark 
::Array ::Shift 
::Primary ::HuangG01 
::CobenaAM02 ::15310583abs 
::Commerce ::Interacting 
::Zaharioudakis ::551 
::ChengDNPKWAAFSSS97 ::Riemenschneider 
::Rong ::Edmunds 
::Main ::Evolution 
::15310141abs ::TaoPZL05 
::XPlainer ::Idreos 
::Millions ::HwangBRCSZ05 
::Moss ::icml 
::Settings ::Rosy 
::Siberski ::HermanGLW87 
::Kendig ::SuWL06 
::275 ::Santos 
::15310271 ::ssd 
::Liangzhong ::22850131abs 
::Paths ::Byron 
::P558 ::22850273abs 
::1436 ::Protocols 
::Wilschut ::IMPrECISE 
::Luping ::ChorLRS86 
::JaberV06 ::bdbms 
::Henrich94 ::Abiteboul97 
::Motion ::4497558 
::PeiHL01 ::Uemura 
::CastellanosCSD05 ::Philipp 
::Optimizer ::Certain 
::BernsteinN96 ::Nogayama 
::Distance ::Right 
::3 ::Deligiannakis 
::Howe ::ShethR93 
::LorentzosM97 ::Baral 
::Norio ::BINGO 
::1536 ::4497427 
::Teaching ::BouganimDV96 
::1134 ::Recently 
::Hoyoung ::Iida 
::Green ::Prototype 
::Haibo ::ProcopiucS08 
::FaloutsosL95 ::Attacks 
::Srinivas ::Sakellariou 
::717 ::MyllymakiL96 
::Larson02 ::Houle 
::4497409 ::SketchTree 
::GeorgiadisKCNS08 ::icde98 
::Jhingran ::Commutative 
::352 ::Friendly 
::1497 ::FungWY05 
::Rule ::VLEI 
::1454 ::Wesley 
::Clio ::NakanoIK98 
::YanOZ08 ::Multimedia 
::efficient ::Randomized 
::Cherniack ::148 
::Jenkin ::Marc 
::Shanmugasundaram ::195 
::106 ::Moustafa 
::375 ::LiBRHCN05 
::Preaggregation ::KriegelKPS08 
::Superimposed ::AnwarMC93 
::Chen ::KhaitanRJC08 
::Logic ::Hou 
::Alberto ::Kuwabara 
::CatarciCS94 ::Millions 
::Kong ::Pan 
::Theodoridis ::Spatscheck 
::CandanPS96 ::Kihong 
::Beckmann ::67 
::735 ::1084 
::Planning ::KiferKS92 
::Gautam ::Hristidis 
::Goldin06 ::Cherniack 
::Divesh ::Loosely 
::Controls ::Scheuer 
::CARE ::Abraham 
::ChuaR95 ::Roitman 
::Gridded ::CherniackZ96 
::Lewis ::HirataHTK96 
::Kwietniewski ::Yingqi 
::Detect ::Ramy 
::as ::Tier 
::BeckerHF93 ::Gauss 
::22850357 ::ChaudhuriKPS95 
::4497491 ::Jia 
::Cahill ::Industry 
::Sliding ::GionisMT05 
::Computer ::Srinivasan 
::Hellerstein ::Autonomous 
::Snodgrass87 ::593 
::ChaudhuriKPS95 ::Runtime 
::P494 ::Tanu 
::914857 ::Microsoft 
::PrabhakarAAA98 ::Gong 
::Guided ::472 
::Retrieval ::Mano 
::Inseok ::KellerB96 
::Wenning ::PopekK79 
::4497452 ::MogiK95 
::PageChaser ::LuBZ06 
::1115 ::Communication 
::BatoryBGSTTW88 ::MiahDHM08 
::Ning ::LjosaS08 
::Era ::Store 
::22850360abs ::Peers 
::Fuh ::Lineage 
::ShatdalN93 ::Link 
::Jan ::LittleAFGRSV93 
::320 ::PapadopoulosM97 
::algorithmica ::Calton 
::Koubarakis ::Koustuv 
::Ivanova ::l 
::Manocha ::Sachindra 
::Koutrika ::Chamberlain 
::Yipu ::Methodical 
::Badillos ::914869 
::22851131abs ::Migration 
::Xiaohui ::Berners 
::Shkapenyuk ::Partnership 
::296 ::HirataHTK96 
::cgmOLAP ::Pirahesh 
::4497450 ::Bouganim 
::GADT ::Xiang 
::4497496 ::PHASME 
::Approximation ::Big 
::Pautasso ::Behr 
::Condit ::File 
::Zeng ::Leymann95 
::dood ::Proxies 
::Loops ::15310503 
::GhandeharizadehHJ96 ::Boat 
::GuptaMS93 ::1322 
::Prabhakar ::RX 
::15310697abs ::ChangYDA88 
::NguGBCDB02 ::Tasks 
::DayalHL90 ::Ranking 
::Wilson ::AgrawalS95 
::Gyllstrom ::Gignere01 
::Kwang ::15310271 
::Piatetsky91 ::ride 
::party ::IBM 
::Length ::Yiping 
::Stephen ::1119 
::Non ::309 
::22850106abs ::Takeshi 
::Lookups ::internet 
::Warehouse ::KappelS91 
::387 ::Prabhakaran 
::Ramanath ::Family 
::298 ::Park 
::94 ::Sen 
::548 ::Reiss 
::Klabjan ::Deshpande 
::AbiteboulMB08 ::16 
::AquaLogic ::SistlaYLL95 
::15310485 ::HoutsmaS95 
::Topsakal ::515 
::Varied ::CherniackZ96 
::1616 ::4497563 
::1494 ::Seltzsam 
::LentSW97 ::Sandra 
::4497441 ::Grobelnik 
::Yanlei ::Gignere01 
::Schwarzkopf ::193 
::Spatiotemporal ::Production 
::books ::TanGO01 
::Mengchi ::Dieter 
::1384 ::Jhingran 
::242 ::Savasere 
::MOLAP ::706 
::Relative ::Privacy 
::Unsafe ::LiuM96 
::22850549 ::Internet 
::Haejoong ::ZhouOT05 
::Xuegang ::Moshchuk 
::Rewriting ::HuaPZL08 
::Longxing ::61 
::Block ::Bamieh 
::Fen ::Composite 
::DewriRRW08 ::518 
::Study ::1209 
::XPath ::Quasi 
::Tirthapura ::Xie 
::Riqiang ::Theory 
::Subramanian ::Discriminant 
::DeWittFMV90 ::SistlaYV97 
::Nehme ::ObermeierBHCS08 
::LjosaS08 ::Jianjun 
::From ::Zhengli 
::KamathAGM96 ::to 
::1209 ::P144 
::Reza ::Balachander 
::kdd ::BanerjeeC96 
::Kimutai ::Gignere 
::BancilhonR86 ::914818 
::1412 ::Mark 
::PatonDWCDJ93 ::Indexes 
::Marcelo ::Callaghan 
::Chiusano ::Nagavamsi 
::1506 ::Dunja 
::Pandis ::914844 
::AfanasievGMRT08 ::FaloutsosL95 
::Nagesh ::Lucian 
::Kanne ::StreamCorder 
::YanZH05 ::Calisto 
::Lois ::Duplicate 
::190 ::Korolova 
::4497633 ::Ahn08 
::862 ::Substructures 
::Baihua ::ZhugeG98 
::Remote ::579 
::229 ::Alessandro 
::Intra ::EllisGR91 
::Outliers ::SiL96 
::GoldinK95 ::29 
::15310431abs ::David 
::ReissH05 ::Wichterich 
::Protection ::Numerical 
::Takegawa ::Hanan 
::500 ::22851109abs 
::Ilyas ::Clusterin 
::LiLH06 ::Tryfonopoulos 
::362 ::Representing 
::cs ::Exactly 
::databases ::Per 
::1575 ::Krkkinen 
::Cattell96 ::Revisited 
::Balakrishna ::1355 
::Seluk ::P456 
::22850143abs ::GrayR93 
::419 ::Ping 
::Chu ::515 
::Chaum85 ::Distance 
::Krmer ::15310483 
::Systems ::Generation 
::54 ::cosit 
::Mayfield ::WolskiKP96 
::ChenDZ06 ::LinAGD08 
::CastellanosC05 ::473 
::Overcoming ::MannilaTV94 
::Yunyue ::Ngu 
::1471 ::P276 
::Weikum91 ::Chien 
::80 ::Bourhis 
::Searches ::Hyon 
::Paolo ::Assertional 
::Yannis ::Porkka 
::725 ::YangP08 
::Prakash ::814 
::ObermeierBHCS08 ::MannilaR86 
::RDBMSs ::Freksa92 
::Shah ::Sunbir 
::ISOMER ::Intensive 
::22851073abs ::Gisela 
::MolinaGS96 ::Feedback 
::X05p ::4497533 
::732 ::Muthuramakrishnan 
::Subspaces ::Kotidis05 
::Lo ::LiuHXS06 
::Amol ::22851144 
::Shah ::WangYM01 
::Wierman ::for 
::4497624 ::AkindJLS02 
::Sensor ::Anton 
::515 ::Counting 
::Euthimios ::Phantom 
::22850583abs ::DeWittKLPY94 
::ReichertRKD05 ::Shouxu 
::Chong ::Rimma 
::Hsiao92 ::P086 
::SVL ::1072 
::Jian ::Kantarcioglu 
::141 ::SEA 
::Relative ::Experiences 
::947 ::128 
::Methods ::873 
::Omran ::Xuqing 
::Nicoleta ::dx 
::HarinarayanRU96 ::Certainty 
::4497403 ::Vasileios 
::Vlachos ::Sarbanes 
::1306 ::SistlaYV97 
::CaliM08 ::Lucian 
::523 ::15310494 
::Manfred ::Andreas 
::Fractal ::Stratis 
::SCADDAR ::JensenLOZ06 
::EmekciAAG06 ::Sakellariou 
::Graphics ::views 
::Radeschutz ::GravanoGT94 
::ddb ::KoudasS98 
::Sergej ::Mourad 
::Replacement ::22850355abs 
::Goetz ::Enhanced 
::Wierman ::elmagarmid92 
::Rosenthal ::544 
::Manjhi ::455 
::1322 ::168 
::29 ::1002 
::Anciaux ::Yiu 
::4497415 ::Enforce 
::ModelGen ::ORDBMS 
::ChenR05 ::4497424 
::Associations ::Subsequence 
::ChuaR95 ::Jianneng 
::Mukherjea ::PatelD96 
::Conceptual ::RAIDs 
::That ::Cochinwala01 
::Indrakshi ::InanKBS08 
::Gehrke06 ::299 
::SchmidtJS06 ::Eavis 
::Updating ::Modeling 
::15310639abs ::Ambuj 
::Sharma ::PopivanovM02 
::SPP ::Probabilistic 
::137 ::P550 
::ZhangLXKW06 ::584 
::Spyros ::4497632 
::1106 ::765 
::574 ::TelegraphCQ 
::Limited ::Bernstein 
::367 ::ColbyCHJJMSW98 
::GeorgakopoulosHKM94 ::Vlachou 
::528 ::Variable 
::KumarLMT08 ::Intermittently 
::244 ::Valduriez 
::tree ::NguyenKF08 
::22851036abs ::if 
::Indriyati ::Product 
::Bertino ::914811 
::Huhtala ::1556 
::Simmen ::22851111abs 
::22850552abs ::525 
::Descour ::DimitrovaG94 
::ChenGK05 ::Kreplin 
::Ian ::1492 
::4497633 ::968 
::579 ::BaralGS98 
::Zaiqing ::DayalHL90 
::Etzard ::1612 
::554 ::1540 
::296 ::457 
::53 ::Graciela 
::1608 ::Reorganize 
::Fernndez ::Leymann97 
::Frdric ::Q 
::22850518abs ::LangOKT98 
::Lehner ::P334 
::242 ::ZhouOTY06 
::Internet ::Hakan 
::Security ::Michail 
::Haojun ::WebOQL 
::AssfalgKKKPR06 ::Fatma 
::ke ::Zaharioudakis 
::59 ::HamakawaR94 
::Berchtold ::1579 
::P209 ::Al 
::4497538 ::Webs 
::Transfer ::Transcoding 
::Keidl ::Cost 
::ACXESS ::Rui 
::NambiarK06 ::HowardKMNSSW88 
::Documents ::Krishnapuram 
::bit ::Venky 
::Cameron ::BergD95 
::1352 ::Concept 
::Balke ::74 
::1348 ::QiaoRNPCFRCYL08 
::Directory ::ChaudhuriDMN01 
::15310496 ::Schneider05 
::Fast ::Role 
::computer ::Onizuka 
::Desmarais ::Renner 
::Quickly ::Jens 
::LSD ::ZhaoDN97 
::data ::Mix 
::Xuegang ::Tsumura 
::P074 ::Lupu 
::Munagala ::AquaLogic 
::Replacement ::Selecting 
::Tan ::SuWL06 
::Rajamani ::Bhm 
::Updates ::4497413 
::Reorganize ::Edoardo 
::MozafariTZ08 ::Halverson 
::CLAN ::Shmueli 
::ONeilWFCM98 ::4497416 
::Dependencies ::Fen 
::349 ::Approaches 
::Kien ::Faster 
::Verma ::Gadia88 
::BestPeer ::Settings 
::Koh ::Rundensteiner 
::Vibhuti ::1628 
::Donahoo ::Dimensional 
::Multiresolution ::22850298abs 
::ZhaoRTN98 ::15310453 
::Periods ::Pratik 
::Dual ::Granular 
::OrfaliHE96 ::Shweta 
::S ::4497467 
::ZhangLXKW06 ::Theodoridis 
::Hanan ::Flood 
::4497466 ::Lists 
::Supporting ::Zadeh89 
::Yuelong ::Rahm92 
::HeinemanK97 ::Simitsis 
::1439 ::Signatures 
::Server ::15310341 
::Bar ::890 
::Chien ::Georges 
::1420 ::Neighbors 
::Lizhu ::Sellis 
::Zou ::Hristidis 
::Ganesan ::Delta 
::Web ::4497501 
::Bertk ::Ehud 
::Road ::DasguptaGJSV05 
::Navigation ::ht 
::RohmBS01 ::Buneman 
::Atluri ::AssentWMS08 
::MogiK94 ::22850841abs 
::457 ::Early 
::4497417 ::Huang 
::Yongluan ::494 
::Heinlein ::Enhanced 
::Wei ::Satkin 
::Goyal ::793 
::4497522 ::BohlenSS96 
::Krishnaswamy ::Kanthi 
::Tsukamoto ::Actionable 
::About ::Zhen 
::Descour ::Mohan94 
::Reichert ::Feltes 
::Subspace ::345 
::Esther ::22850193abs 
::1249 ::22850680abs 
::1423 ::CLICKS 
::Neel ::Uwe 
::Diagnosis ::4497599 
::Preserving ::Acceleration 
::DohertyHR96 ::Miron 
::1367 ::Discovery 
::Moshchuk ::Prioritization 
::Rezgui ::ChengXPS05 
::69 ::Vassalos 
::DeWittKOSSW84 ::KasneciSIRW08 
::Sundaresan ::833 
::Lag ::by 
::IkedaMITHHO05 ::4497631 
::Rigsby ::Murthy 
::162 ::1394 
::Jiang ::Constantly 
::Anciaux ::27 
::ThomsenPL08 ::Chaudhary 
::Jagrati ::ICDE 
::Han ::Chaudhuri 
::CormodeKMS05 ::Satoh 
::Amza ::178 
::31 ::923 
::Chih ::302 
::Karl ::22850545 
::CaoCFT08 ::BouganimFPV01 
::Wrapper ::Tuzhilin 
::298 ::Shape 
::Spyratos ::AggarwalY08 
::nato ::Qun 
::406 ::92 
::4497534 ::Ryan 
::MIC ::LeongS97 
::Jia ::Lung 
::MudumbaiSSPB98 ::Kurt 
::LieuwenD91 ::Maps 
::Georgiana ::FaloutsosBFHNPE94 
::Girish ::914850 
::Baker ::JensenLOZ06 
::The ::Georgia 
::Wayne ::3 
::Under ::Arshad 
::FLWOR ::SlidingWindow 
::PDM ::Phan 
::1375 ::Fu 
::325 ::22850422abs 
::Bertino ::Prefix 
::NguyenS96 ::party 
::Karlsson ::JinGJA06 
::Nogayama ::Taming 
::Fei ::704 
::Dam97 ::Fabio 
::178 ::Ben 
::4497433 ::15310280 
::972 ::Till 
::Bausch ::Aware 
::LiuLG08 ::Skylining 
::AmzaCDKLRYZ96 ::Welch84 
::WhiteDJ96 ::Videos 
::Raffaele ::CuiLXCDZ08 
::Histogram ::Xianghong 
::Ramakrishnan08 ::Minji 
::Thatte ::ManolescuP05 
::Gunopulos ::Paolo 
::Gehrke06 ::Detect 
::1370 ::BancilhonDK92 
::McCann ::Douglas 
::Koudas ::Manolescu 
::Davulcu ::MohanPL92 
::Kwietniewski ::22850521abs 
::Kalnis ::109 
::Harwood ::Karras 
::Leakage ::GruenwaldBP06 
::Divyakant ::Manipulation 
::code ::granularity 
::4497452 ::54 
::Managed ::1121 
::334 ::Teamwork 
::icml ::430 
::Reverse ::1624 
::IMAX ::LiLL08 
::Extract ::Reza 
::4497423 ::Definitions 
::1180 ::Ka 
::Katsumi ::Farfn 
::Analyzing ::43 
::SunPF05 ::Huabei 
::books ::Syeda 
::Hashing ::914829 
::Areal ::sigmetrics 
::Ramez ::Till 
::Rizos ::Syan 
::1409 ::Sergey 
::983 ::1429 
::Georgiadis ::Soloviev93 
::1607 ::Christian 
::4497409 ::Mirco 
::Mehrotra ::ChenD97 
::Gruenwald ::Meng 
::Gemulla ::SAP 
::MegalooikonomouWLF05 ::914850 
::Mann ::Muse 
::1427 ::P503 
::563 ::Cole 
::Agrawal ::416 
::Xiong ::End 
::GuoSBS05 ::Rishi 
::Position ::YangLYX05 
::Laura ::Bulut 
::SchroederHIN06 ::Girod 
::Tung ::1504 
::49 ::Goldin 
::Agesen ::CherniackZ96 
::Antonio ::Palakal 
::Stavros ::ThomsenPL08 
::Changqing ::Shen 
::Smriti ::CasatiCPP95 
::Xinqiang ::385 
::Luo ::IshikawaYIK96 
::1631 ::BitonBDH08 
::Extensible ::Ashutosh 
::GravanoGT94 ::MIX 
::P241 ::Laura 
::Hsiao92 ::Ailamaki05 
::Garofalakis ::PostgreSQL 
::WuB97 ::Suresh 
::Kit ::1488 
::efficient ::Marko 
::Diversity ::Places 
::FudosPP02 ::Five 
::TataFS06 ::Weiyi 
::Jiying ::104 
::JaberV06 ::Maruyama 
::K ::party 
::22851111abs ::942 
::Compact ::Haibo 
::1321 ::RamanathZFH05 
::Anciaux ::HeinzKRS08 
::4497578 ::4497545 
::osdi ::WiwatwattanaJLS06 
::Peers ::avi 
::558 ::Lawrence 
::Fatih ::ATLaS 
::22850360abs ::Carlo 
::93 ::Error 
::526 ::Boedihardjo 
::549 ::22851126abs 
::1126 ::1464 
::4497600 ::Haixun 
::Verykios ::Vlachos 
::Sattler ::YangL87 
::22850081abs ::Fan 
::Incremental ::Weaver 
::Jianping ::Riemenschneider 
::RDMS ::WolfsonCDJM98 
::LupuY06 ::HenrichHSW91 
::Porto ::cker 
::Salzberg88 ::4497551 
::Hoyoung ::Coupled 
::Nora ::Nabeel 
::Sharma ::Tasks 
::74 ::Stonebraker 
::Chiusano ::Khaled 
::Annotation ::Kersten 
::dood ::Huajun 
::P220 ::Zaane 
::Olivier ::187 
::Ahn ::Wombacher 
::Sengar ::Auditing 
::Cubing ::TianP08 
::1132 ::Bird 
::15310555abs ::37 
::1052 ::Cole 
::Wynne ::Sundaresan 
::LangOKT98 ::Datar 
::Idreos ::Shubha 
::Future ::BANKS 
::MummertES95 ::15310337 
::Mutsumi ::299 
::914823 ::Zhu 
::1286 ::Spreadsheets 
::Forecast ::Rabsch 
::PadmanabhanAMJ01 ::Optimized 
::953 ::Jrme 
::Masaaki ::962 
::Browsing ::Memoriam 
::680 ::Roger 
::Mehr ::Space 
::CLAN ::Identification 
::Kramnik ::Krauthgamer 
::Kim95 ::Everyplace 
::85 ::FranklinZTCD92 
::271 ::Subspaces 
::DuS82 ::MaH01 
::Eadon ::Directions 
::Shao ::Edoardo 
::Thiagarajan ::CatarciCS94 
::4497623 ::Jiexing 
::cker ::RX 
::1521 ::Moon 
::Mobile ::Hierarchies 
::Reorganization ::Different 
::WangRL08 ::LometBMS06 
::Stphane ::269 
::22850415abs ::Michle 
::22850730abs ::P532 
::Weiyi ::Archetypes 
::Sun ::Il 
::Todd ::1354 
::BunemanDFS97 ::Delta 
::VaradarajanHR08 ::Mengsheng 
::Correlations ::455 
::Mylopoulos ::Self 
::1200 ::Filho 
::Portal ::MolinaKS98 
::4497529 ::Buneman 
::BunemanCFHMV05 ::Nguyen 
::CareyHMW96 ::1336 
::Andras ::4497429 
::Albrecht ::Spannagel 
::Duan ::SaltonWY75 
::Leymann95 ::Neeraj 
::Basit ::SemCast 
::Medical ::1266 
::nato ::Algebra 
::Weifeng ::Gsli 
::jlp ::22850547 
::Jain ::TrombettaB06 
::1393 ::ZhangLKW06 
::Annotating ::22850547 
::ShashaLSV95 ::BanerjeeC98 
::299 ::Profiles 
::Miller95 ::ZhangYST06 
::or ::BeckmannKSS90 
::KorthKB88 ::Sun 
::22850916abs ::Prasanna 
::Legaria ::Andrei 
::AssentWMS08 ::SmithS96 
::1061 ::Tadashi 
::914816 ::1248 
::Anup ::22 
::McCannKSVSD05 ::Ong 
::1411 ::1139 
::Jianjun ::Hsiao 
::Gardarin ::XStream 
::Bookmarks ::BernsteinGW93 
::Alexandros ::Borkar 
::IR ::P024 
::ChaudhuriNS02 ::Library 
::416 ::Abowd 
::Visualizing ::Stahl 
::Bowman ::KeCN06 
::Science ::914838 
::BouganimDV96 ::22850978abs 
::Bases ::Margo 
::Fishman ::Devices 
::String ::Ludscher 
::Verma ::Maurice 
::XingZH05 ::LiBRHCN05 
::Miyuki ::Dyreson 
::Mauroux ::SVL 
::Santos ::WebFountain 
::ViteX ::286 
::4497452 ::Guttman84 
::Rimma ::205 
::543 ::619 
::LieuwenD92 ::Afalg 
::234 ::Kundu 
::Rhm ::0002 
::691 ::CabibboPT06 
::sigir ::icdt 
::Discovery ::RX 
::DeshpandeH08 ::WangJT06 
::DaiKSTV08 ::KoloniariP08 
::P578 ::Spatial 
::4497413 ::GartnerKKZ01 
::X06a ::Hazem 
::Qiming ::Sae 
::GrabsBS01 ::Processes 
::Atri ::HuangJLO06 
::SubrahmanianJ96 ::author 
::ShethR93 ::Squicciarini 
::Georgiana ::Aggarwal08 
::Chatziantoniou ::Aberer 
::4497497 ::Diversity 
::ChakravarthyL98 ::Arnold 
::Across ::22850564abs 
::Image ::Association 
::Improve ::3 
::Christina ::462 
::15310282 ::Prediction 
::Bttcher ::Adaptation 
::Sup ::Kornel 
::Rabindra ::Native 
::Serialization ::Recovery 
::1423 ::Rajkumar 
::Koch ::Madhavan 
::Gignere ::LeongS97 
::RaoLLPS01 ::Daudjee 
::Puniyani ::Stored 
::Ester ::BentleyM80 
::Taming ::Stefanie 
::Balaporia ::Internal 
::Bill ::Rasin 
::Mudumbai ::Implementation 
::914816 ::by 
::WangCPFM02 ::1148 
::Getting ::587 
::Assent ::Borkar 
::CasatiDS01 ::FayyadPS96 
::Ada ::BINGO 
::Partitions ::Tatemura 
::Preserving ::Concurrency 
::between ::BhowmickP06 
::Azar ::Yuguo 
::523 ::1445 
::Rinku ::Sarawagi 
::Freiwald ::KashimaTINHEF05 
::Ashok ::P296 
::Qun ::Ka 
::AutoGlobe ::Ammar 
::Sameer ::15310492 
::4497631 ::Nicole 
::Kersten08 ::HeinzKRS08 
::Leslie ::Jansen 
::Feltes ::Sessions 
::Dina ::Roger 
::WangYM01 ::Family 
::deductive ::AutoGlobe 
::Lynch83 ::914827 
::4497459 ::Malin 
::Hutchison ::Shim 
::Producing ::Gravano 
::Smodels ::4497627 
::1454 ::Tien 
::Ordering ::185 
::Murat ::Fusheng 
::sosp ::MaurouxAF06 
::elmagarmid92 ::ChapinHRG95 
::534 ::932 
::Zhuge ::SPEX 
::HuhtalaKPT98 ::HanMWS01 
::Bentley75 ::Christian 
::Yu ::AtzeniMM97 
::Gryz ::SubrahmanianJ96 
::ds ::635 
::Developing ::Liu 
::Minh ::P334 
::AfanasievGMRT08 ::1429 
::HaskinMSC88 ::Chen 
::15310129abs ::15310639abs 
::ChengDNPKWAAFSSS97 ::GrayCBLRVPP97 
::WangCPFM02 ::GaoZCLLC08 
::Fischmann ::MohanKSW06 
::4497398 ::Jonker 
::Nagavamsi ::Hidden 
::KatayamaS01 ::1145 
::Levy ::Masahiko 
::Seidl ::BlakeleyLT86 
::Jianlin ::595 
::InstantDB ::Sequence 
::Elizabeth ::LiH89 
::CASTLE ::Memory 
::BaralisCC05 ::Savasere 
::254 ::17 
::Salem ::Mikhail 
::JinXDW02 ::1189 
::Ouzzani ::KarsentyB93 
::Diversity ::15310279 
::P268 ::1599 
::434 ::ArefCEFGHIMPRTTTVZ02 
::CareyL91 ::1441 
::Saenz ::JayapandianJ06 
::GeertsKM06 ::Kanellakis95 
::266 ::Mihly 
::Alexander ::Yihua 
::Guoyu ::TangYOW08 
::AITVS ::Samet90 
::Marzouk ::Damdinsuren 
::Dayal ::Snodgrass95 
::Hanson87 ::biased 
::k ::ChenC92 
::Sharing ::Identification 
::AlonsoBPHK01 ::355 
::Lieuwen98 ::Haifeng 
::siamcomp ::WangHLS06 
::405 ::Cross 
::NguyenS96 ::Nigel 
::Markl ::Better 
::1111 ::Prediction 
::PagelSTW93 ::Procopiuc 
::IpeirotisNCG05 ::596 
::Siersdorfer ::ZhangLW08 
::KornSFSP96 ::Raffio 
::Linga ::ViteX 
::1102 ::George 
::SPP ::878 
::1005 ::PuHK06 
::117 ::DeWitt 
::Soo ::Zukowski 
::DalkilicGR97 ::Inference 
::499 ::Indexing 
::BrunoC08 ::Ariel 
::Tier ::Shigeo 
::Vaidya ::Inter 
::Hope ::Yidong 
::1387 ::Mema 
::Yalamanchi ::Jayant 
::Roberto ::22850419abs 
::FelipeHR08 ::466 
::CormodeKMW08 ::DesphandeGMH05 
::ShenSCT06 ::414 
::GawlickK85 ::Class 
::Friedman ::914867 
::Walid ::Lapped 
::Conscious ::4497570 
::Object ::ChenGK05 
::Miller95 ::Kashani 
::914865 ::Henk 
::Tyrone ::tc 
::Lal ::Steven 
::PanZW08 ::ChenC92 
::Elena ::Tag 
::Salem ::mss 
::Jayapandian ::Warehousing 
::4497434 ::Vassiliadis 
::Peery ::Era 
::Vladislav ::Filling 
::BunemanDFS97 ::WhiteDJ96 
::Practical ::KeijzerK08 
::Mahadevan ::X06 
::ChangMZS98 ::Expressivity 
::Networking ::2000 
::1381 ::Development 
::Jiexing ::Bloom 
::MohanPL92 ::RaoLLPS01 
::GutingZC89 ::Borealis 
::4497399 ::Extremely 
::483 ::Vibhuti 
::InanKBS08 ::GantiCM05 
::914865 ::22851135 
::Yiming ::Folding 
::Machanavajjhala ::481 
::K ::Outlier 
::Divesh ::Marlon 
::Bertk ::Disclosure 
::Numeric ::Imprecision 
::Ahmet ::MohanN91 
::StoumposDKD08 ::1373 
::592 ::Saikat 
::Hideo ::tit 
::JensenLOZ06 ::Syntactic 
::Applications ::4497535 
::914868 ::Compiled 
::GutingZC89 ::4497555 
::1461 ::Blakeley96 
::BohlenSS96 ::VelegrakisMM05 
::Connected ::NeumannHM05 
::1170 ::Kun 
::Elmagarmid92 ::1432 
::Scalar ::Christine 
::22850230abs ::Issues 
::Rights ::Oliver 
::StonebrakerRH90 ::Till 
::CormodeIKM02 ::22850576 
::1135 ::RDB 
::Heinz ::Visualization 
::KriegelKPR06 ::XiongMA05 
::348 ::acr 
::Kreher ::Warner 
::542 ::Architectures 
::Lopez ::Signatures 
::15310279 ::Perrin90 
::Comer79 ::704 
::JagadishOVZZ06 ::Shanmugasundaram 
::Implementing ::Commit 
::489 ::Pervasive 
::Al ::1494 
::Wloka ::4497465 
::4497627 ::22850516abs 
::Samples ::4497428 
::NeumannHM05 ::NguyenKF08 
::Networks ::Now 
::BohlenBJ98 ::German 
