::AbulBN08 ::Wolf ::Vazirgiannis ::302 
::Facet ::Bhalotia ::Lasse ::Christophides 
::Integratio ::Judice ::HornickZ87 ::Janine 
::Ching ::1001 ::406 ::914879 
::1331 ::FernandezA02 ::Relationship ::Elfeky 
::Gang ::15310279 ::Twee ::Tomkins 
::BlakeleyLT86 ::Quickly ::KarrasM08 ::182 
::Fault ::String ::GabberK98 ::51 
::icdcs ::IC ::Olga ::4497480 
::Yingqi ::ijcai ::308 ::Useful 
::1052 ::Bitemporal ::Chendong ::Abiteboul 
::Mehta ::Ashraf ::Valduriez93 ::Choreographies 
::SIREN ::SVL ::4497449 ::LiuYT05 
::Holger ::Integratio ::Unstructured ::Versatile 
::CARE ::ObermeierBHCS08 ::4497500 ::ZaianeELL05 
::Has ::GraefeL01 ::User ::Sanjeet 
::Supratim ::P054 ::Emerging ::Vilhuber 
::Ashok ::1456 ::Cormode ::mk 
::Kleene ::Size ::107 ::Certainty 
::Katayama ::191 ::sup ::Subbu 
::Uncovering ::Hsiao92 ::Hutchison ::Decade 
::Donghui ::Harinarayan ::22850131abs ::Conditional 
::Shuyu ::15310278 ::Predator ::jlp 
::BorzsonyiKS01 ::LiaoLL01 ::ICDE ::Ryan 
::CasatiDS01 ::LiuP98 ::Shifting ::71 
::Punctuation ::Surface ::Abul ::Kalnis 
::Haixun ::McCann ::Angela ::P231 
::Summarizing ::Wensheng ::1170 ::CastellanosBR08 
::ChenOO08 ::Rost ::MelnikGR02 ::Ramamurthy 
::256 ::15310488 ::Tamino ::RDFS 
::WRAP ::Jrgen ::Salka98 ::327 
::Shojiro ::824 ::Mix ::15310473abs 
::Gokey ::Administration ::General ::IshikawaIKH92 
::15310283 ::Dependent ::Kobayashi ::HutfleszSW88 
::X08 ::Rimma ::4497599 ::98 
::Sarawagi95 ::rtdb ::sigmetrics ::Flow 
::Ranking ::Adlib ::Asynchronous ::814 
::Profiles ::Hacigms ::Infrasturucture ::Aravindan 
::641 ::Onizuka ::LuVA08 ::Bowers 
::Hara ::231 ::15310268 ::Feifei 
::Checker ::Cliff ::4497506 ::256 
::Cloaked ::1480 ::Zabback ::4497523 
::IR ::4497583 ::Predicate ::271 
::DayalHL91 ::Sponsored ::4497593 ::Traceability 
::PatelD96 ::Kshitij ::PhotoSpread ::Using 
::Ming ::Interfaces ::P316 ::Orenstein91 
::Duplicates ::Variable ::Robinson81 ::tocs 
::MED ::Wouter ::SardarK06 ::22850816abs 
::Synchronization ::Vlachos ::1327 ::Hoarding 
::Christian ::Ihab ::HellersteinNP95 ::1442 
::Length ::4497590 ::1111 ::Christian 
::Vassalos ::Fung ::Vijay ::Radeschutz 
::1385 ::4497478 ::914808 ::Bravo 
::Khalefa ::Customer ::About ::Intuitive 
::Interactive ::Tsukamoto ::YiuJHL08 ::914840 
::ke ::Sivasubramaniam ::Aziz ::Alex 
::Stored ::Algorithms ::Kurt ::345 
::Amir ::Cahill ::Feltes ::4497423 
::Push ::Snapshot ::Millions ::833 
::Naidu ::1543 ::Bausch ::ibmsj 
::KolliosGKB01 ::Cal ::15310685abs ::Raman 
::How ::Locality ::Nithya ::Andrey 
::once ::Mano ::594 ::Toman96 
::Ljosa ::367 ::its ::15310029abs 
::4497620 ::Mema ::Graphitti ::Yaping 
::Sequential ::Grahne ::Joshi ::22851036abs 
::4497524 ::Oracle8 ::Limitations ::1072 
::833 ::Hong ::Lindsay ::342 
::tm ::506 ::22850853abs ::FelipeHR08 
::SistlaYV97 ::Ilyas ::4497465 ::Chrysanthis 
::HammerST05 ::Vasilis ::Rebecca ::Donald 
::Krithi ::Shimada ::516 ::Fastest 
::Cunningham ::Grobelnik ::22850459abs ::Cattell91 
::Baker ::Noise ::CASTLE ::Sridhar 
::107 ::AfanasievGMRT08 ::Tanu ::EmekciAAG06 
::R ::StonebrakerC05 ::Lizhu ::Raman 
::ChristophidesACS94 ::WilkinsonN90 ::Mikhail ::Xu 
::Livny ::241 ::XCut ::435 
::Mishra ::Vlachos ::DrivenWeb ::DSI 
::ChuK89 ::speak ::22850186abs ::914852 
::Eberhardt ::1451 ::Sachin ::Warren 
::Sizes ::1436 ::Handling ::Man 
::Xia ::Hidden ::715 ::AtzeniCB05 
::ChanG85 ::OGormanAA02 ::Hristidis ::ChanSL98 
::Yuxin ::Marcel ::Warner ::Murat 
::Unsafe ::RyvkinaMCZ06 ::Carsten ::263 
::BorgBGHO89 ::Andritsos ::Content ::Toivonen 
::ADEPT2 ::1525 ::jsac ::Sharoes 
::Directly ::1567 ::tocs ::Halpern 
::Popa ::Grandison ::Modeling ::Tilo 
::ReissH05 ::Ontology ::Salzberg88 ::Times 
::Expression ::191 ::Vlachos ::KapitskaiaTV97 
::Spyratos ::Rich ::Transportation ::Marcel 
::Structural ::4497483 ::P446 ::Sismanis 
::914879 ::663 ::Percy ::4497492 
::Papakonstantinou ::Andrs ::FAST ::Ivan 
::Platforms ::Cui ::Fetching ::Linga 
::914819 ::914835 ::GionisMT05 ::914854 
::Unifying ::Partitions ::N ::Morse 
::mm ::TanizakiMS05 ::Moerkotte ::PanZW08 
::Bookmarks ::Era ::McCann ::Fu 
::Griffiths ::Automatically ::JVM ::1170 
::nwosuTB96 ::ZhangGW08 ::Replicated ::Tamino 
::WilschutFA95 ::98 ::4497634 ::DeWittG92 
::David ::1144 ::dbpl ::Tsukamoto 
::Internet ::1363 ::Raymond ::Indriyati 
::ThomsenPL08 ::FlajoletGPR93 ::593 ::Andrey 
::914831 ::edbt ::Three ::201 
::FarragO89 ::Infrasturucture ::SolworthO91 ::Nambiar 
::acr ::150 ::Levy ::BohannonPRSSS96 
::ISOMER ::Ziv ::Zhiyong ::BrinkhoffKS96 
::481 ::Markos ::tcs ::Vazirgiannis 
::based ::Srinivas ::Gagan ::Dependent 
::Hypermedia ::Zeldin ::Kambhampati ::Terlecki 
::Common ::MoonWL01 ::Shift ::519 
::Martin05 ::Asynchronous ::Cao ::Leong 
::BertinoK89 ::4497587 ::Takuya ::Babu 
::Ishikawa ::BentleyF79 ::ShaullSX08 ::ddb 
::Yongqiang ::11 ::BerchtoldKK96 ::1325 
::Greco ::Infrastructure ::Michail ::127 
::Exemplar ::Framework ::tse ::Regnier85 
::Sergej ::1387 ::4497620 ::Needs 
::1461 ::195 ::FranklinC92 ::15310488 
::Collaborative ::161 ::Yokota ::How 
::Elegant ::4497604 ::SelingerACLP79 ::Antoshenkov92 
::947 ::914840 ::4497568 ::Bringing 
::GrabsBS01 ::Goethals ::Uemura ::Windows 
::SakuraiPF05 ::Vista ::Bhargav ::Transform 
::Hanyu ::Weiyi ::BargaP95 ::Latent 
::PhanL08 ::Tasks ::Stefanie ::Varadarajan 
::1136 ::ONeilQ97 ::Strong ::Nori 
::sp ::Generalization ::220 ::Kumar 
::MohanKSW06 ::BouganimFV96 ::MolinaS87 ::Jiexing 
::GPIVOT ::GravanoGT94 ::Sreenivas ::Eadon 
::Sampling ::Gting ::1267 ::Cesare 
::Luk ::Resilient ::1131 ::W 
::Yueguo ::376 ::StonebrakerADLO94 ::Haixun 
::PhanL08 ::AndritsosFM06 ::Closest ::Jimeng 
::ApersHY83 ::QShuffler ::OrfaliHE96 ::RoussopoulosL85 
::YanZHY06 ::TheodoridisSS98 ::1123 ::JagadishOVZZ06 
::Domenico ::22851131abs ::FAST ::Cormode 
::GardarinGT95 ::Inferring ::Kou ::Elmagarmid 
::Ryo ::Spatiotemporal ::Jayant ::933 
::4497506 ::WuAA02 ::Yueguo ::HammerST05 
::P134 ::Now ::Liqin ::ReichertRKD05 
::Bundles ::Mourad ::Overlapping ::BonczKK96 
::Correlations ::Denzel02 ::Documents ::Sakurai 
::Arnd ::Shao ::1145 ::Bonnet 
::Conditional ::Testing ::22850619abs ::4497527 
::XiaZT08 ::Mannila ::Silberstein ::630 
::PalopoliTU01 ::22851135 ::Items ::Manish 
::Ziv ::4497534 ::Bogdan ::GeZ08 
::Tzi ::4497439 ::Soumen ::TsatalosSI94 
::Revisited ::AliZTK08 ::Classification ::Verifiers 
::Le ::What ::Imperatives ::Nikos 
::Clusterin ::168 ::JefferyAFHW06 ::914863 
::LjosaBS06 ::HeLC05 ::50 ::Bloom 
::bancilhonDK92 ::E ::BohmHLW08 ::188 
::Airoldi ::Model ::MUSE ::AkindeCJK01 
::4497589 ::1477 ::Compiler ::Correlation 
::Adjoined ::Katsumi ::Maya ::Optimization 
::RamanathZFH05 ::top ::Serialization ::asplos 
::Migrating ::Campen ::4497578 ::P324 
::support ::914809 ::Dennis ::SrivastavaHMKT06 
::Recycling ::Nguyen ::Hwanjo ::Extremely 
::BernsteinGWRR81 ::Ullas ::Steven ::Implementation 
::Changes ::SarawagiS94 ::4497611 ::Kapantaidakis 
::Id ::453 ::Lieuwen ::jiis 
::Iman ::Ranked ::804 ::Fits 
::LangOS97 ::P599 ::ZhangLKW06 ::1500 
::ChaudhuriW06 ::Jim ::Dik ::Cheong 
::STAG ::Nagesh ::Building ::Vagelis 
::Acharya ::Hierarchies ::Ramamurthy ::Interface 
::166 ::Prototyping ::Damianos ::Leymann97 
::462 ::274 ::Lo ::Analytical 
::ZhangCMS97 ::BunemanDS95 ::Lars ::Willem 
::Oriented ::1073 ::Sketch ::XM 
::RDBMS ::Ming ::IBM ::V 
::242 ::HjaltasonS95 ::QoSMig ::One 
::661 ::WangXLW08 ::Roussopoulos ::Abiteboul97 
::487 ::307 ::Mengsheng ::415 
::Mladenic ::540 ::914845 ::Ramamohanarao 
::dbpl ::Timely ::Grouping ::SkytJP02 
::Tears ::Cudr ::Comer79 ::ChengYDYW08 
::icde2006 ::dimensional ::Memos ::And 
::Mahajan ::GutingAABDHHST05 ::Kundu ::503 
::Ravi ::Elmagarmid92 ::Shkapenyuk ::Wlodek 
::Samples ::LimN01 ::Yamini ::MegalooikonomouWLF05 
::Torp ::HillyerS96 ::XPlainer ::481 
::Bulut ::15310617abs ::1136 ::Rosaci 
::WuWLM06 ::Queries ::Kevin ::1118 
::Delivery ::Essence ::Marlow ::Specialization 
::WangZZ06a ::Sensing ::LB ::Loh 
::Luis ::249 ::Labrinidis ::Object 
::45 ::Tetsuya ::IvanovaKN08 ::Walk 
::Synchronization ::KriegelHS91 ::Sugimoto ::Laks 
::NFMi ::Chen05 ::15310485 ::t 
::75 ::CormodeKMS05 ::Chong ::563 
::876 ::SG ::Summarizing ::Acyclic 
::15310488 ::564 ::DohertyHR96 ::Chaudhary 
::Mobile ::Centric ::1083 ::Yasin 
::GovindarajanMV06 ::636 ::4497516 ::WhangKW94 
::GareyJ79 ::Bedell ::Alink ::Ntarmos 
::626 ::Method ::535 ::Bruce 
::1379 ::Sumit ::WiwatwattanaJ08 ::4497516 
::OLTP ::4497420 ::Dominant ::ShrivastavaMR08 
::Yao ::SchmidtJS06 ::GPIVOT ::91 
::Bohannon ::Susanne ::Frdric ::57 
::Henk ::KriegelKPS08 ::Ewen ::Tomasic 
::307 ::Maximal ::Across ::218 
::Fernandez ::DogacBO06 ::Partitions ::Anastasios 
::IlyasA05 ::High ::853 ::Nath 
::lisa ::22850949abs ::Smalheiser ::Newton 
::sigmetrics ::Views ::StoumposDKD08 ::Intuitive 
::CareyFLS91 ::RDFS ::P086 ::Jindan 
::ijcai ::Mirek ::Offs ::643 
::Fathima ::Laura ::Seluk ::GuoSBS05 
::Committees ::433 ::Transcoding ::Xiaojin 
::Producing ::926 ::56 ::783 
::ShuklaDNR96 ::15310496 ::FAST ::Integrating 
::567 ::Norm ::Methodical ::MansuriS06 
::Desmarais ::Mani ::22850057abs ::Broken 
::Wolfgang ::with ::MozafariTZ08 ::Zadeh65 
::430 ::P209 ::217 ::Annotating 
::Piatetsky91 ::Detection ::865 ::Effective 
::WangRM06 ::Yiming ::Haritsa ::Molina83 
::Shasha ::Feltes ::4497426 ::122 
::Isoline ::Ayad ::Optimizing ::1547 
::ChangYDA88 ::Ashish ::iandc ::PreparataS85 
::popl ::Klaus ::179 ::JayapandianJ06 
::NakamuraAOS93 ::OptimAX ::655 ::HartDV88 
::ijcai ::pages ::Idea ::384 
::Gyllstrom ::914862 ::1552 ::Strategies 
::Alexandros ::Bloom70 ::Raghavan ::1136 
::Gmach ::4497618 ::Zukowski ::BouazizKPW97 
::CandanPS96 ::Networks ::Bedell98 ::AutoLag 
::Duplicates ::Practice ::Explaining ::Isaac93 
::Measuring ::Nehme ::Kristal ::IvesT08 
::Stockinger ::Guy ::Building ::1116 
::Kobayashi ::High ::P316 ::4497612 
::QoS ::Hulgeri ::564 ::Overlay 
::4497481 ::pdf ::4497407 ::Approximated 
::15310492 ::914838 ::Lopez ::Smoothing 
::4497488 ::1124 ::Quality ::543 
::Yokota ::by ::Interface ::Hybrid 
::Ljosa ::LometT95 ::OSSM ::Savage 
::Sreenivas ::1375 ::Gu ::Zurek 
::341 ::elmagarmid92 ::Hara ::QPipe 
::1042 ::Osmar ::Kazuhito ::Protection 
::Goldin06 ::Sougata ::ChenLGKP94 ::914848 
::King ::176 ::IoannidisP95 ::Elements 
::298 ::Increasing ::Hiroko ::4497457 
::Flow ::Lists ::MehrLLS08 ::Khatchadourian 
::Alborzi ::22850230abs ::Gerstl ::LiuM96 
::Douglas ::JoshiJ08 ::Satisfying ::Directly 
::ChangSZS97 ::914875 ::Ravada ::Huan 
::Prabhakaran ::Riccardo ::LehnerHS02 ::Obstacles 
::ShatdalN93 ::Cahill ::BINGO ::BorgBGHO89 
::1620 ::RastogiMBKS93 ::Kumaran ::Chen05 
::Prodromos ::Directions ::Sugata ::218 
::Pradeep ::Shahabi ::Panagos ::Kementsietsidis 
::CNN ::Ruddy ::Sensing ::186 
::Reichert ::Latha ::Jansen ::BlakeleyCERW05 
::724 ::596 ::Khoussainova ::Meta 
::LuoJHYW06 ::Naphtali ::Sanjoy ::Richard 
::Vijayalakshmi ::Freeston95 ::Yuen ::Malik 
::Hman ::TaninHS05 ::1624 ::SchmidtJS06 
::170 ::22850372abs ::Crowley ::523 
::22850705abs ::AgrawalS89 ::GuptaJM96 ::Koch 
::Approximating ::273 ::Ben ::Kazumi 
::914808 ::Ramesh ::15310369abs ::OrfaliHE96 
::Ying ::MalkemusPBC05 ::BonifatiBCC02 ::15310278 
::1436 ::Progress ::Skyt ::Series 
::Oracle8 ::4497473 ::Unsafe ::Serge 
::Cornelius ::Zheng ::100 ::Signatures 
::icde ::UNIDOOR ::598 ::15310265 
::Level ::Maarten ::ijcai ::Event 
::Souripriya ::CandanHS98 ::Salka ::Alan 
::AkindJLS02 ::Mark ::crossref ::Seluk 
::Sunil ::Planning ::Elena ::Hammer 
::Boulakia ::Linga ::BernsteinL96 ::Jianzhong 
::Potamias ::Leo ::1109 ::1462 
::Example ::Kha ::Test ::Vassiliadis 
::Cox ::518 ::Automated ::AmzaCDKLRYZ96 
::Arif ::Blocks ::ZakiP05 ::Xin 
::KappelS91 ::832 ::BrantnerHKM05 ::Roberta 
::AslandoganTYLN95 ::HowardKMNSSW88 ::Filho ::901 
::Khaitan ::Allen83 ::Guan ::osdi 
::Experience ::Widom ::362 ::KellerB96 
::YangW01 ::LeymannR97 ::4497527 ::816 
::1324 ::Almeida ::1591 ::Author 
::ZhangLXKW06 ::Revision ::Interesting ::Shedding 
::Yu ::Farrell ::Rights ::StonebrakerC05 
::KhaYU01 ::Johann ::Database ::Andrea 
::1357 ::Prodromos ::Policies ::GummadiLGSH05 
::22850190 ::435 ::Akiyoshi ::LianCY08 
::End ::Bonchi ::Dik ::LevandoskiKM08 
::433 ::Siersdorfer ::Protection ::Orphan 
::SteenhagenABB94 ::Extract ::15310212abs ::Wing 
::Leakage ::Markos ::Scene ::Satoh 
::1144 ::Tao ::1169 ::229 
::HardwickSRM97 ::Watanabe ::Prasanna ::Candan 
::22851104abs ::833 ::Join ::Vanitha 
::118 ::Lai ::Molina02 ::Arocena 
::SakuraiPF05 ::1098 ::ChapinHRG95 ::Judice 
::Savage ::Gen ::File ::Density 
::P297 ::Seeger ::Gail ::4497495 
::Filters ::654 ::World ::Guohong 
::Hendrik ::Hiroshi ::4497418 ::Byoung 
::LiL08 ::599 ::O ::Minos 
::112 ::914824 ::Venkatasubramanian ::Krithi 
::Protecting ::Arnab ::Skeen ::XQSE 
::Lot ::Venn ::DohertyHR96 ::Certain 
::140 ::BonczQK96 ::pe ::Kriegel 
::Diagnosing ::549 ::178 ::Regnier85 
::Catlin ::String ::Lang ::Sullivan96 
::databases ::Intelligent ::43 ::Kazuhito 
::Taniguchi ::1623 ::Dinh ::Heterogeneous 
::Similar ::Wenliang ::P446 ::Maurice 
::Bressan ::214 ::Revision ::Goldstein 
::FernandezFLS97 ::Automated ::Rosa ::Neeraj 
::Stavros ::Prioritization ::15310280 ::Oguchi 
::Amlie ::Jianyong ::Puniyani ::PHASME 
::Surrounder ::ZhangGW08 ::Snodgrass ::6 
::HouJ06 ::15310053abs ::1082 ::22851126abs 
::Gsli ::Seltzer ::Jialie ::Lo 
::Dadam ::Qigang ::Il ::1388 
::Verifying ::Product ::22851133 ::15310235abs 
::Lyman ::TAILOR ::Habich ::Mitschang 
::Hershberger ::Mathew ::Elizabeth ::4497517 
::260 ::Pattern ::914842 ::Papakonstantinou 
::14 ::Vee ::22851147 ::CastellanosBR08 
::Ladin ::Michal ::50 ::Hsu93 
::Previously ::Galpin ::Sharoes ::Cai 
::Shift ::4497582 ::Chandel ::22850230abs 
::TheodoridisS96 ::Dialect ::Spatio ::Kiernan 
::Determine ::ChristophidesCM96 ::Kreutz ::Hulgeri 
::WolfsonCDJM98 ::CabibboPT06 ::RiTE ::inWireless 
::Franoise ::Standard ::Jianmin ::YiuJHL08 
::Variable ::EsterKSX96 ::Easy ::Historical 
::GeorgakopoulosHS95 ::422 ::Harchol ::22850157abs 
::QiaoIAA05 ::BulutS05 ::Allen83 ::MIX 
::Griffiths ::Nicoleta ::Olteanu ::Ruoming 
::Torlone ::AkindJLS02 ::4497422 ::MolinaKS98 
::Computations ::Haibing ::Flattening ::QiaoIAA05 
::556 ::4497508 ::Mingzhe ::Welsh 
::is ::1568 ::1137 ::Answers 
::Ullas ::Yuqing ::Functions ::326 
::MartinGH08 ::Scene ::Vaupel ::Roland 
::ZhangLKW06 ::Rich ::31 ::Houle 
::Parking ::Cui ::Pekka ::513 
::Weaver ::Sunbir ::1603 ::686 
::Consistent ::High ::Nassima ::Postgres 
::BerchtoldKK96 ::Schema ::Stonebraker ::Luping 
::Jianliang ::RFID ::Predator ::Matching 
::SeshadriLR97 ::Partition ::FerhatosmanogluTAA01 ::Navathe 
::Specific ::YuPK05 ::Bernstein ::914876 
::P296 ::22850968abs ::Porkka ::IndexFabric 
::Cochinwala ::Ma ::DBXplorer ::Qiao 
::P601 ::Snodgrass95 ::Dewri ::4497614 
::4497477 ::Chawathe ::Burke ::Ashraf 
::Uchiyama ::Cleaning ::Schroeder ::Constraints 
::Jiang ::RastogiMBKS93 ::668 ::Anomalies 
::Crawler ::HOPI ::Dikaiakos ::Minji 
::15310273 ::Bohannon ::Dittrich ::358 
::KemperK93 ::4497570 ::22851145abs ::inWireless 
::Ifrim ::Ganesan ::XParent ::Gautam 
::Shen ::Gmach ::Snake ::Franois 
::Utkarsh ::Shinjiro ::Closure ::1147 
::1382 ::Laura ::Barker ::Netz 
::1495 ::Mahadevan ::Dittrich ::HanF95 
::1548 ::AdaliCCES96 ::1107 ::SherkatR06 
::22850446abs ::MyllymakiL96 ::1519 ::data 
::Spyros ::Map ::Composition ::Stavros 
::Stacie ::158 ::Rundensteiner92 ::Clemens 
::972 ::Meichun ::KhoussainovaBS08 ::Antoshenkov93 
::NAPA ::Abbadi ::Amol ::Gertz 
::Wook ::Quanqing ::Kazuhito ::Greene89 
::1450 ::Allen83 ::GuoSBS05 ::Eenjun 
::Propagation ::GuptaHR98 ::Pandey ::1420 
::Correction ::Kha ::Jagadish ::Postgres 
::278 ::streams ::Mic ::TataFS06 
::bda ::Expressions ::EltabakhOAELASB08 ::AttieSSR93 
::Oguchi ::Strict ::839 ::Bartlett81 
::William ::Sankaranarayanan ::Extraction ::FerlezFLMG08 
::BrantnerKMH06 ::CandanHS98 ::ChandraV85 ::Lyman 
::1092 ::jcss ::Join ::Marios 
::IvanovaKN08 ::Carla ::AbiteboulHB99 ::LeslieJBY95 
::Transformations ::Jeffrey ::under ::Graph 
::1615 ::369 ::Suman ::25 
::Enabling ::Environmental ::Sudipto ::Lal 
::Jia ::Shifting ::Schneider05 ::Sensing 
::Zwol ::Sensor ::Prediction ::22851061abs 
::ijcai ::BOXes ::McCannSD08 ::P601 
::Sameer ::Agesen ::1032 ::Pudi 
::Mendez ::Anciaux ::Hajj ::Conceptual 
::AnciauxBHPA08 ::ManolescuP05 ::JinA06 ::SilbersteinBEMY06 
::Video ::Elements ::Employing ::Enumeration 
::Zhaohui ::PhanL08 ::528 ::Incremental 
::SchallehnSS02 ::Gadia86 ::Jiangchuan ::BertinoK89 
::Chain ::1998 ::ContinuouslyMoving ::Morishima 
::LinJF94 ::Ip ::Jeonghee ::Derivation 
::Functional ::CandanPS96 ::914823 ::InstantDB 
::Discriminative ::Leo ::aaai ::with 
::FungWY05 ::Herbert ::Extended ::ipsj 
::Provable ::XiongA06 ::Ellmann ::Mladenic 
::Pekka ::tcs ::ChenJOT08 ::StockerKBK01 
::Filling ::Range ::Krauthgamer ::Ander 
::Sizes ::JagadishMS95 ::Vijay ::Seidel90 
::Correlation ::Yalamanchi ::Bosworth ::333 
::Alexey ::235 ::892 ::ATLaS 
::Na ::914836 ::4497498 ::Detection 
::Wolfgang ::PudiH02 ::Prasanna ::22850791abs 
::83 ::Tatemura ::Enderle ::Leskovec 
::Denzel02 ::15310269 ::Goldstein ::Amol 
::P108 ::LeslieJBY95 ::GeorgakopoulosHS95 ::Fei 
::IvesT08 ::Yong ::Data ::KhaYU01 
::Panagiotis ::Social ::BonchiGLOPT06 ::Savasere 
::EvdokimovFG06 ::Chiueh ::OgleS95 ::4497405 
::Practice ::Zhiyong ::ChangC02 ::GabowT89 
::Vishal ::KhaYU01 ::Experiment ::Selections 
::Kwang ::Gauss ::Yeol ::Yaping 
::4497498 ::RastogiS98 ::Koki ::Form 
::4497508 ::BohlenBJ98 ::Streaming ::Dakka 
::23 ::BohmPS06 ::Recently ::sp 
::Ramanath ::AgrawalJKL06 ::Xinqiang ::Thanh 
::426 ::XParent ::270 ::DongDong 
::816 ::903 ::BernsteinGW93 ::Operation 
::Tamir ::ADEPT2 ::LoR94 ::ChrysanthisR90 
::Blakeley96 ::Jinping ::Provide ::Committees 
::Specific ::mit ::Jinchuan ::Quantitative 
::744 ::LuBZ06 ::595 ::4497454 
::KashaniS06 ::DeRoseCGSDBZ08 ::Hang ::edbt 
::Predicates ::A ::Papaemmanouil ::code 
::Transportation ::Xuemin ::Aleksandras ::Cerquitelli 
::DeWittFMV90 ::JoshiJ06 ::LieuwenD92 ::Bulk 
::Dongwon ::Bulut ::KohLHA08 ::914870 
::22850322 ::Quickly ::Jagadish91 ::BargaL01 
::BunemanDHS96 ::Rudra ::Mortazavi ::Problem 
::4497577 ::DeFazio ::Aggregate ::Kashani 
::Markus ::Stephanie ::CarminatiFB05 ::650 
::NambiarK06 ::15310453 ::Weld ::Monotonicity 
::473 ::Louiqa ::HornickZ87 ::Cliff 
::588 ::Integrate ::H ::Abdelmounaam 
::1124 ::BernsteinL96 ::Babu ::Medical 
::125 ::Adjourn ::Terms ::Unknown 
::Meng ::Kanellakis95 ::274 ::Deb 
::ChenLGKP94 ::Dunham ::Linkage ::Xuegang 
::Andreas ::914845 ::Quantiles ::LiuLG08 
::395 ::Larson ::Srinivasan ::1612 
::Opportunities ::Isolation ::aware ::SubrahmanianJ96 
::Hernndez ::22851145abs ::Semantic ::Detecting 
::MANETs ::Substructures ::386 ::External 
::Qin ::Siberski ::PapadiasTKZ02 ::4497595 
::Schneider05 ::Edoho ::Eran ::Cobena 
::Cubes ::Shim ::2006 ::Service 
::Gill ::Panos ::Page ::Miller95 
::Cliques ::Tirthapura ::Henrich94 ::Krithi 
::Yihong ::49 ::22850680abs ::Closed 
::ups ::Miah ::Kashima ::Thakkar 
::Labeling ::RiTE ::1576 ::Giorgio 
::CaiHH08 ::Rosa ::Conceptual ::HartDV88 
::Yong ::Actionable ::YinC05 ::1579 
::ZhangGW08 ::Furfaro ::Block ::1336 
::356 ::Hambrusch ::Viglas ::BaralisCMPRR97 
::if ::BouganimDV96 ::Yibei ::TheodoridisSS98 
::P259 ::Ioannis ::Triantafillou ::190 
::Lijiang ::Shinn ::BertinoK89 ::RoussopoulosL85 
::1415 ::Pull ::Zadeh65 ::1249 
::Balaporia ::1498 ::Experience ::LiCKB06 
::466 ::P294 ::Tsukamoto ::BINGO 
::360 ::Silva ::GalAX02 ::Rabinovich 
::Declustering ::Javeed ::22850471abs ::Patterson 
::IvesT08 ::Ming ::Rosaci ::Ganesan 
::LakshmananRS08 ::1387 ::Unsafe ::Moshe 
::Man ::Bartlett81 ::Sanghyun ::LiCHH97 
::Anonymous ::1113 ::Coordinated ::22850417abs 
::Krishnaswamy ::Raman ::Music ::Toward 
::BayerHR80 ::Mozafari ::LakshmananSGK98 ::Nassima 
::267 ::The ::AugstenBDG08 ::15310419abs 
::Jiang ::Update ::Gauss ::Yunyue 
::granularity ::Chong ::Idreos ::Accelerating 
::McCannKSVSD05 ::Extra ::Strength ::1145 
::Sentiment ::Simmen ::BancilhonR86 ::FaloutsosRM94 
::Bhalotia ::Jianlin ::Now ::4497628 
::Xiaojin ::Handling ::Stolte ::P108 
::1160 ::Itemset ::Sihem ::SchiwietzK93 
::Chiticariu ::15310187 ::Margo ::Overlay 
::BestPeer ::Bilke ::GuPYC08 ::Charuta 
::Make ::Roller ::Repairable ::cite 
::Dongwon ::BodenCFKSSS95 ::WangBTD08 ::4497398 
::KistlerS91 ::22850256abs ::Padmanabhan ::Tightly 
::Banich ::MogiK96 ::WachterR92 ::545 
::Alternative ::243 ::EvangelidisLS95 ::Rys 
::Elizabeth ::4497432 ::Bohannon ::CastellanosC05 
::105 ::AslandoganTYZR97 ::Henrich98 ::Zhuang 
::Pavan ::Malkemus ::Active ::Mano 
::Alomari ::245 ::914814 ::Anthony 
::XiaZ06 ::Party ::Sujata ::BarbaraI94 
::9 ::tkde ::4497609 ::Hauswirth 
::22850355abs ::Charu ::Ugur ::Products 
::XQuery ::Lieberman ::Features ::357 
::DCbot ::Parallelizing ::Oguzhan ::425 
::22851111abs ::914836 ::Krauthgamer ::Snodgrass87 
::EvdokimovFG06 ::Dixit ::Deep ::Tucker 
::1525 ::23 ::Kishiko ::Moshe 
::Babu ::GhandeharizadehHJ96 ::IoannidisP95 ::Christos 
::1596 ::Qing ::486 ::4497428 
::22851140 ::Integrating ::188 ::Searches 
::ER ::Directed ::Wendy ::Carmem 
::Author ::Wolski02 ::Butterfly ::Kanellakis95 
::Ashutosh ::column ::ChaudhuriGK06 ::Push 
::LinVM06 ::cosit ::982 ::NaumannHTHM02 
::Associative ::LiZBSZN06 ::Progressive ::search 
::X05o ::4497434 ::Mirco ::Harald 
::Franois ::Materialization ::Tucker ::Counting 
::149 ::Gryz98 ::Zhewei ::Hope 
::InanKBS08 ::253 ::BeckleyER85 ::Savage 
::Banerjee ::Brown ::KornackerB95 ::Cudre 
::IP ::TangYOW08 ::Economically ::fayyadPSU96 
::Building ::WuDY06 ::283 ::22850816abs 
::323 ::Quantitative ::1081 ::Bei 
::FeeleyMPKL95 ::cs ::WuWLM06 ::Nagesh 
::Boedihardjo ::Xiaoming ::ChenOO08 ::Minghua 
::Terzi ::BancilhonDK92 ::Theodore ::486 
::DeRose ::Subrahmanian ::Tag ::Semistructured 
::Baker ::366 ::Subhash ::Sampling 
